(22382+0j),(26236+0j),(41766+0j),(44393+0j)
(-47.77119904278422-56.95233488598962j),(-78.55966125477428-37.48613581628892j),(3.5773645553456497-16.07503251474752j),(46.752565740311326+37.66106326976675j)
(-2.396874047342246-59.06526070616209j),(-61.16571304918676-97.98039856357838j),(23.831926565515598+32.39492100676845j),(20.438029929989018+66.57309619009631j)
(6.306153325255611+7.342203221083426j),(-24.002379348237387-55.312447513463155j),(0.016503536755120507+15.557133181489318j),(8.994011851243085+19.238832958959488j)
(18.02186150683901-53.06730663858083j),(34.99680972498119-62.07713321650709j),(-29.749393137451605-12.768662088500129j),(-13.088495517528179+38.27587307031233j)
(16.550873816050633-85.72481458509012j),(8.866891745016858-57.116762662887666j),(5.288097751075448+5.981105825985658j),(-20.452232797981573+44.742003237547394j)
(10.982525623395759+2.570187947290969j),(25.043396340821907-21.14330461179435j),(4.784235650160811-13.014650319829377j),(-45.27348785415835+9.362791435175058j)
(-13.142537830816895+33.73786684122158j),(62.43410034183679-30.503121741118008j),(-3.228653332301619-10.667895886390983j),(-22.399394120269783-3.309376922213119j)
(-1.1902384879839314-20.42940143407875j),(-2.015841168054042-10.330307903734914j),(-9.46046838144355-37.60896389964734j),(1.4850499938785022+3.5152248476727053j)
(18.278312972775154-0.1439126055598079j),(-17.538840113280173+10.30793181184984j),(14.478002902317751-12.080594818447818j),(-15.208292797366049+10.601166919620034j)
(43.62570212756327+8.292428340797255j),(-1.1358432020178952-3.738653770130381j),(16.710125621209954+1.8878081526152783j),(13.577533687825053-28.48784345279824j)
(-22.440812588574314-12.43394930770057j),(-6.216330417222315-34.96327960446651j),(-4.475348332205409+16.419349258721862j),(0.2021145445368342+12.707220117957345j)
(-18.934109701544042-3.419924433853067j),(24.32615217767218+2.938112068841515j),(-13.953455684840137-12.22346119046172j),(-7.837282632915539+4.616621199411208j)
(13.06230589874906-4.788038730916689j),(13.291796067500641-2.1796275840160853j),(23.006577808748222-9.767835300682249j),(-5.118033988749916+21.73554259907566j)
(17.033099696298784+15.231025673961744j),(-1.5079909847309132-28.970509623943023j),(1.6049930731882038+6.3306952471179585j),(-9.711361901027782+22.77498817779393j)
(-9.992924799601752+13.089997592946965j),(31.697350251675687+12.17209525914831j),(-19.105227294958524+13.059191605927067j),(1.435325299716986+14.325222732750653j)
(6.094658216023375-34.68829338901275j),(0.028532047941975947+24.021569379852792j),(-1.2431825784205994-13.160188504890257j),(-31.09513907238217+9.829161228924288j)
(24.99814560083542-24.633687289129597j),(7.347881772513617+5.96925950212303j),(9.065483064004209-27.127686278271575j),(-16.49893648175913-22.497738321162714j)
(-16.370555779632703+4.531301363820262j),(-15.661771908686973-11.644710105443771j),(-0.8058919589536035+26.16396442284816j),(0.24442000455966628-5.706006649125268j)
(-37.329592749050114+7.849138581682389j),(1.3814617846468096-29.79378369932704j),(3.4379088928677404-2.617733009225267j),(7.0043823157030936-6.275702982153213j)
(-20.83122898286547-2.811113094205738j),(11.95454766822013+16.542475708049835j),(-17.083575645318888-29.6971530321537j),(23.474132702318457+2.66898876823191j)
(15.671944470024826+15.790127380959966j),(-24.185412938627145-16.395893015027156j),(9.2980410957019+8.846865198175566j),(-22.921918261122887+8.389529044946295j)
(20.12627681919075-0.31854036863793134j),(12.727748201765674-15.856267920171948j),(-4.122457870319519+24.563376684150782j),(-11.375953883200914+8.684593635945216j)
(-3.456051719642108-6.196077609808098j),(23.788359908124598+16.551305640242546j),(-14.77266380409054-17.16279586384901j),(19.77233729418956+6.175100851774511j)
(-5.105863298931537-23.9347441926747j),(3.729227919129313+0.25912277019034136j),(-3.894294610088219-12.28000335257981j),(-26.888911448179798+11.58129558711451j)
(11.403467747500851-7.570985856750184j),(-14.019998178295305+9.787684157552565j),(5.155970720596894-2.9311075812443237j),(44.77777950245017+11.605786073258104j)
(-17.332815729997527+23.466142206512103j),(0.4721359549995874-13.763819204711837j),(1.2639320225002564+8.698265922369586j),(-0.35410196624968115+6.967666314932614j)
(4.370839825844836+10.527563242931798j),(16.837288116481314-1.1229265979343186j),(-17.184306387398543+1.2776658403853958j),(10.131740981748464-31.303415325805183j)
(33.27892794489695-23.137222516022117j),(3.347299625866338+0.052070645525075676j),(13.993311282049156-4.739373400155564j),(-12.779629370696814+27.165233953251125j)
(14.944054959889623-9.853906922960588j),(-23.14180451714583-28.31147985882932j),(5.1378774425918206+15.14009290082709j),(21.201289008586624-34.704574865960446j)
(-9.856171426378978+4.9021606480784214j),(6.248753238575773+0.06836588423553014j),(7.278975463857023+14.75293070107847j),(23.924277332907423-3.486302062857491j)
(-57.286359875470396-20.080139827443904j),(3.3566431626995588+6.951469411393342j),(-7.895299247812489+3.7877294003475352j),(11.048441705695332+12.583844831699366j)
(23.543140128126407-7.721742382242559j),(-5.768633930611289+11.108143689504837j),(-0.44976326697822877+4.937837830801944j),(-1.4954603321788884+6.621625811688034j)
(32.06593575249843+25.291382641684685j),(-11.508417614163674+2.2119837163477083j),(7.642523876826839+14.129090152629441j),(-19.01838758152652+1.692068714359829j)
(-19.064804287889636+43.3247166352548j),(11.529390986318493-17.704612644107662j),(3.03793237079112+2.4398680268582087j),(-9.452193510163394-17.311980957883357j)
(14.988343097314702-20.392644962030317j),(-0.3465405605228611-0.27038748685092084j),(-1.235666521213794-20.98148820245395j),(16.318045474646766-0.884525625609534j)
(9.321346923258236-29.561136358010287j),(-18.844786139147203-8.031126795440992j),(14.349782913144347-10.24981078573202j),(-21.366383863726654-9.298519906857862j)
(4.109457628235461-4.113281345018813j),(12.570710935482314-13.572274845540372j),(-3.231393140175765+7.439368841282594j),(13.430269380729559+8.597846453033608j)
(-1.4151316695712683+25.61795637254428j),(23.412774054145856-23.634032880877964j),(-15.313183781667895-10.475448019442158j),(-9.306863323779364-23.808631505684147j)
(-7.062305898749056-14.127090468714423j),(26.708203932499373+9.233050611525758j),(-15.006577808748215-13.678062492134824j),(-2.881966011250107-9.490320749256483j)
(19.34569678551793+3.2062968837472443j),(-10.31013439882463+1.5204790495298113j),(5.960860394112842+2.679186568264887j),(-14.061525752792932-12.519977108855267j)
(10.101642301897993+12.37851968084676j),(-12.339203529594847+13.710730258699613j),(-1.4883951523895629+33.00098803692673j),(-0.7023797156079075-1.8451735295291058j)
(-14.133971610756806-0.4072663757495789j),(8.313390548964033+15.807052117460085j),(-20.997970792133515+6.53943388840261j),(-6.0145224318467605-5.596490883079568j)
(-6.193988667249148-22.76653375784511j),(-6.212499390009376+38.08918740163758j),(18.078521370676825-5.4134737776264j),(-9.435826543349807+15.28484462846942j)
(-3.9149817896421357+8.519776294094921j),(-26.444460164884447+5.943653386687538j),(1.8471940001255867-33.3449143800506j),(18.995659599591736+5.198164996738907j)
(-17.053747039026753+47.00744188246186j),(0.569065656091432-13.245162668450646j),(-9.013402471168888+35.06598915122203j),(5.9933530983668675+8.003672760650844j)
(-11.35673838578457+5.875609760622517j),(7.204933700120855+14.004006299813193j),(-8.254092473767656-6.851968332671648j),(3.2301020144831343+2.964576949726373j)
(12.256372858553519-33.89521075269167j),(-1.3624840347018266+13.09916690891158j),(-6.941587186651405-14.429381335804452j),(-9.85999725147062-16.392676113956398j)
(19.04942316504742-1.5858354076952725j),(-12.963379007656973+0.2564231933848431j),(6.52144784920741+12.44506099388375j),(7.4909674514430185-8.294930209324665j)
(-5.387125239979117+14.69982826555535j),(5.400030474622442-20.163995857665213j),(-3.1994651749635574+15.02159030361602j),(1.3976244483285027-12.623926900793116j)
(-34.69695277322421-17.81576567804452j),(19.78770725758659+10.832558067948929j),(-30.132295882271592+3.9392690223159015j),(-16.89200662191888+12.108872949046248j)
(12.621866316866415+15.399328135008062j),(-14.015221543299404+13.327290312552945j),(9.147727205646833-8.755221131009229j),(-21.281380777959516+15.765674580386662j)
(36.332815729997286+23.703167930548034j),(-8.472135954999732-3.249196962329155j),(5.736067977499607+9.318807324102787j),(6.354101966249237-4.894039857188774j)
(11.679554890403768+13.835651099986746j),(11.313556236752067-18.14405802668081j),(-3.1194811481970035+5.90656214771732j),(36.58970338043736-12.2064583371081j)
(-3.5352576499604638-31.492487823154356j),(-1.472871012006058+29.5260553096533j),(6.192943125937978+10.464352616394603j),(-17.219034777473862+25.194122883870435j)
(22.603987177762335-26.958834167022168j),(12.233231086034259+9.391981433052955j),(12.910227815668918-5.123090249242443j),(21.42772942280098-16.175775292955887j)
(1.1273942330955768+18.327053560450228j),(21.175644370125454-18.60604849050356j),(22.409126123761872+31.976583825065603j),(-11.065475821947429+32.12941859043587j)
