(5584+0j),(11978+0j),(30800+0j),(32460+0j)
(-77.68091828608553-59.89188840419767j),(9.968648456732765-42.46791368519525j),(14.047125348534195-21.544556937215923j),(207.7521457806402+115.01398130478844j)
(11.473703836982203+57.55544341107967j),(4.069636481931513-16.05685654261903j),(48.55856855795117-34.98697784069101j),(-141.7632113043439-375.6801670096993j)
(-32.101058714381566-106.32270956511317j),(25.42355818843066-9.382318527228836j),(14.31960894904887+81.41010318231096j),(33.31846568213314+231.57335281560975j)
(8.982788262542288-35.38313688145669j),(10.576982096731273-22.416778692258546j),(-5.991332479728076+42.91037503615771j),(181.4516489134913-276.9875227963878j)
(120.14725737677577+5.264758369057944j),(11.656809062901054-13.88899444869493j),(-127.1592817680737-18.414565240080204j),(-35.16627021287658+25.084616780709183j)
(-48.838759796405384+37.453513714278216j),(4.327032523862272+4.809999008302026j),(90.93762970822354+7.8983083566646615j),(-47.23461693467743-49.70762500144922j)
(-29.142781521100233+67.69942190259775j),(-1.769066180452656-2.041986065254396j),(107.7720695341111+5.189147299644066j),(-496.08333627461957-452.69704140532366j)
(-6.833865012230934-121.55981922721577j),(1.3203777842956637+4.92149445640039j),(-24.28983192462246+45.90257717004741j),(167.16262474195202+490.5595797374026j)
(23.679505826010484-7.947739058223381j),(-5.066161433886464+6.802201592700753j),(20.810690217820593+0.2275538478569093j),(-2.997226824349582-130.66007060460078j)
(108.62644852708314+24.445791212766977j),(-5.140770919572203+6.592590050702972j),(-79.2033809139317-70.78727006252473j),(-330.2854775621446+295.50785697527954j)
(-67.03157987623877+34.62652735592245j),(2.8125514109896628+12.52685944790905j),(164.35869206511333-8.156359038343048j),(-361.26101426576486+9.052258376763092j)
(-24.67087713116399+45.236317864807106j),(19.154087346008396-4.48039658208736j),(140.4245122831012-25.019982807528354j),(-718.4184958707224-236.42596052549246j)
(3.1838104743518407-118.4328896949884j),(6.934453807159965+5.690817481405982j),(-518.7113935592381-480.17806867235754j),(2836.706565438003+3464.497149088901j)
(28.08921995563832+31.118443871219558j),(13.183312968041145+4.788993659476375j),(9.794067023383484-103.94619770805443j),(-16.887128329499575+305.3435543174862j)
(93.45646051983096+35.032587441570655j),(12.792360568597474+4.566478722481069j),(-49.68361671923594-168.89251716833797j),(-328.151137468672+805.4745386529513j)
(-91.01589670374379+51.764263707357j),(9.420411429599792+13.433529691024818j),(170.32049842339947-36.52852299655499j),(-316.19626534640145+130.46654813609223j)
(-20.32972398671948+16.384959269658737j),(2.6201333460032514+16.901278214033766j),(86.37969840814918-67.07971671651157j),(-530.1436736676912+92.41483537500108j)
(26.76530330424788-117.22281856038205j),(2.0127537192661293+13.229323762813092j),(189.36704861908856+249.60466741333664j),(-1092.0556789776097-572.227688538152j)
(38.499999999999986+66.68395609140177j),(16.999999999999993+3.4641016151377606j),(-55.000000000000014-204.38199529312755j),(298.49999999999994+659.0453322799578j)
(77.35911150760796+63.61973891179955j),(13.230410049570786+25.369562697660403j),(-97.94982376027413-218.14968468113415j),(-7.848755583873157+1080.6814888769072j)
(-103.06152041521068+34.66681035776773j),(13.899955404525656+14.796679915636076j),(114.28227903288962+40.9022690664976j),(129.04759306111873-252.25898679074834j)
(3.513711540296697+5.0472602742819j),(6.058272625431863+14.596944245047023j),(-32.79980218486805-40.87193909900867j),(13.872219512916757+85.67690550312187j)
(28.707302486638035-89.90085437422965j),(4.158951989789889+34.32933817952468j),(-52.43662196226117+138.95208246429516j),(191.45040888514606+6.598236131009401j)
(49.57153380184354+96.63886836626378j),(7.877208114298412+19.37955982023479j),(-140.4864328001196-224.61397018566745j),(696.7010418453551+634.3971890510062j)
(42.9256036598423+70.27760162872546j),(18.462432155522276+36.43363246235692j),(-149.40809558057072-175.9797247806376j),(394.34357740595976+898.9221867711481j)
(-105.06628012955164+64.24596568957149j),(12.932061148366548+63.492666835315795j),(42.06632600283061+526.8510051701242j),(583.6457406390726-2917.626856740485j)
(16.19941260522986+51.680699854960004j),(10.579205568899567+86.36327516981498j),(-133.4717192908128+56.65339298903499j),(451.79005548742634-354.6554603854807j)
(39.592087887911845+153.6896101594192j),(24.00439228695742+267.18974944317824j),(-155.84748122990445+173.6033454114959j),(761.7502012300328-279.4040881269225j)
(39.592087887911845-153.6896101594192j),(24.004392286957433-267.1897494431783j),(-155.84748122990447-173.6033454114959j),(761.7502012300332+279.40408812692226j)
(16.19941260522986-51.680699854960004j),(10.579205568899567-86.36327516981498j),(-133.4717192908128-56.65339298903499j),(451.79005548742634+354.6554603854807j)
(-105.06628012955164-64.2459656895715j),(12.932061148366545-63.492666835315816j),(42.066326002830664-526.8510051701243j),(583.6457406390726+2917.6268567404854j)
(42.92560365984231-70.27760162872548j),(18.46243215552228-36.43363246235691j),(-149.40809558057072+175.97972478063755j),(394.34357740595976-898.9221867711481j)
(49.57153380184354-96.63886836626378j),(7.877208114298412-19.37955982023479j),(-140.4864328001196+224.61397018566745j),(696.7010418453551-634.3971890510062j)
(28.70730248663802+89.90085437422964j),(4.1589519897898874-34.32933817952472j),(-52.436621962261206-138.95208246429527j),(191.4504088851462-6.598236131009287j)
(3.5137115402967183-5.047260274281893j),(6.058272625431863-14.596944245047005j),(-32.799802184868+40.871939099008614j),(13.872219512916558-85.67690550312159j)
(-103.06152041521068-34.66681035776773j),(13.899955404525656-14.796679915636076j),(114.28227903288962-40.9022690664976j),(129.04759306111873+252.25898679074834j)
(77.35911150760795-63.61973891179956j),(13.230410049570798-25.36956269766043j),(-97.94982376027411+218.14968468113415j),(-7.848755583872986-1080.6814888769075j)
(38.50000000000001-66.68395609140177j),(16.999999999999993-3.464101615137764j),(-55.00000000000004+204.38199529312746j),(298.5-659.0453322799576j)
(26.76530330424788+117.22281856038205j),(2.0127537192661293-13.229323762813092j),(189.36704861908856-249.60466741333664j),(-1092.0556789776097+572.227688538152j)
(-20.32972398671947-16.384959269658722j),(2.62013334600325-16.90127821403377j),(86.37969840814911+67.07971671651147j),(-530.143673667691-92.41483537500096j)
(-91.01589670374378-51.764263707356996j),(9.420411429599795-13.433529691024827j),(170.3204984233995+36.528522996555j),(-316.19626534640133-130.46654813609234j)
(93.45646051983096-35.032587441570655j),(12.792360568597474-4.566478722481069j),(-49.68361671923594+168.89251716833797j),(-328.151137468672-805.4745386529513j)
(28.089219955638317-31.118443871219544j),(13.183312968041147-4.788993659476374j),(9.794067023383462+103.94619770805437j),(-16.887128329499404-305.3435543174859j)
(3.1838104743518425+118.43288969498843j),(6.934453807159963-5.690817481405979j),(-518.7113935592381+480.17806867235754j),(2836.706565438003-3464.497149088901j)
(-24.67087713116399-45.236317864807106j),(19.154087346008396+4.48039658208736j),(140.4245122831012+25.019982807528354j),(-718.4184958707224+236.42596052549246j)
(-67.03157987623875-34.62652735592246j),(2.8125514109896685-12.526859447909036j),(164.35869206511336+8.156359038343084j),(-361.26101426576474-9.052258376763575j)
(108.62644852708311-24.44579121276696j),(-5.140770919572203-6.592590050702981j),(-79.20338091393171+70.78727006252473j),(-330.2854775621446-295.5078569752799j)
(23.679505826010484+7.947739058223381j),(-5.066161433886464-6.802201592700753j),(20.810690217820593-0.2275538478569093j),(-2.997226824349582+130.66007060460078j)
(-6.833865012230959+121.55981922721577j),(1.3203777842956614-4.921494456400401j),(-24.289831924622476-45.902577170047344j),(167.16262474195196-490.5595797374028j)
(-29.142781521100254-67.69942190259773j),(-1.769066180452663+2.041986065254405j),(107.77206953411111-5.1891472996440555j),(-496.08333627461946+452.6970414053236j)
(-48.838759796405384-37.453513714278216j),(4.327032523862272-4.809999008302026j),(90.93762970822354-7.8983083566646615j),(-47.23461693467743+49.70762500144922j)
(120.14725737677577-5.264758369057937j),(11.656809062901049+13.888994448694902j),(-127.15928176807364+18.41456524008022j),(-35.16627021287675-25.08461678070927j)
(8.982788262542293+35.383136881456686j),(10.576982096731268+22.416778692258553j),(-5.991332479728015-42.9103750361577j),(181.45164891349128+276.9875227963877j)
(-32.101058714381566+106.32270956511317j),(25.42355818843066+9.382318527228836j),(14.31960894904887-81.41010318231096j),(33.31846568213314-231.57335281560975j)
(11.473703836982194-57.555443411079665j),(4.069636481931504+16.056856542619037j),(48.55856855795119+34.98697784069106j),(-141.76321130434386+375.6801670096992j)
(-77.68091828608556+59.89188840419766j),(9.968648456732758+42.467913685195256j),(14.047125348534223+21.544556937215855j),(207.75214578064012-115.01398130478825j)
