(9276+0j),(15878+0j),(47756+0j),(50820+0j)
(46.870155757898374-42.88997059072007j),(-26.3327609616031-18.55108197676845j),(1.7746692302984002+62.17143231832301j),(229.3514701574993+7.997594439602029j)
(13.78292509807756-60.60447201186308j),(65.42963990375307-128.84615177096046j),(-23.463994210364895+18.373813299985184j),(377.8031167665911-213.48777440609445j)
(20.927524218180224+7.17251273848586j),(20.570590077653378-35.606786473547714j),(101.23908602282881-23.628618519884927j),(568.7221710157928-288.7408304585309j)
(39.498178319322136+17.50384958670101j),(30.612734473964373+18.017651814967763j),(-54.93093499018218-12.63405371746586j),(284.27414869240124+123.44503092518127j)
(20.72814046566252-55.1184847955464j),(32.099385251801415+31.79691102516756j),(-3.4343944529264214+72.11884723317563j),(471.9489950230031+261.39057618155323j)
(57.283063106933014+19.594507873256486j),(-16.733635250816178+27.325674001076834j),(-131.5100647476129-6.689767889945365j),(265.40138595663666+162.21484443604135j)
(-17.1984279128758+72.13559362359146j),(-0.47855430914662733+115.40102135902487j),(-94.57114274614202-84.86612795086889j),(140.75910465599446-106.50621642058503j)
(42.660201355338955+20.75672513966107j),(-16.46815167543936-28.778102510286537j),(-294.3665529009493-162.87849729337242j),(499.96068859443164+165.3503490238536j)
(18.502413284813997-62.16967276073896j),(-30.95299444533839-24.92702752152992j),(8.149597178457043+89.65177944287845j),(319.36410508229073-159.16654162033063j)
(22.375286514201715-27.06056245328491j),(-22.02856796837206+12.153668271106675j),(42.994891118637+111.23249509529477j),(615.8935539981255-311.99730118704684j)
(-41.15692316714558-39.62026178708051j),(105.9039058548189-54.012623798467736j),(44.18078835933821+92.66805635220089j),(933.5657831574608-365.7562797589718j)
(75.67533756182513+55.99464380457536j),(8.632959965608052+29.384320453386547j),(-64.28254610118711-103.98959747065066j),(-215.2866281781071+496.1397586400225j)
(18.05580210230438+17.693583827393752j),(8.11895321049051+62.22888791776403j),(-145.08315720831635+12.209147190620897j),(321.0368579990728+323.98293405230174j)
(21.777200205038262+11.604828179855112j),(74.22124633727499-6.0380883357713735j),(-155.4557298495107-70.07496881398441j),(149.5148832658109+126.94893445189271j)
(-13.942449232145918+48.68984308137091j),(35.80108456307619+3.8927743353478466j),(13.858204002061939-39.124262863082876j),(170.9889085125892-354.84906281324095j)
(-16.089500297723855+46.665021967463886j),(-4.847756439966474+113.45903421520462j),(-123.891388593056-142.51534382394675j),(499.358662571045+208.31378029857606j)
(21.635051300829303-31.01447616584635j),(32.2204203733487-9.68613470853185j),(-29.17576921977971+190.72263655014177j),(734.3756300331739-305.2833421530629j)
(26.875027150322694-37.734342545709886j),(-23.88540801891628-43.762354178325054j),(-171.7593511961618+179.91049748284166j),(1359.785287002865-313.4044738106156j)
(-14.599048033917382+62.30731726377729j),(13.35659065915465+33.65283074851902j),(-395.25681123025413+95.28937770941852j),(2533.638348967274-314.50742384229494j)
(2.181165533441+19.39898591205491j),(129.2455720893123-10.728862013847532j),(936.8203845077654-293.2173664036024j),(-6006.314178290131+856.0401939333544j)
(30.287752964107085+47.18195379349976j),(2.135098401747996+23.713609070573227j),(86.96168377690265-100.5738318185316j),(-1293.5492322708974+356.2470709019583j)
(35.50272834854948+42.38699857955575j),(-3.9390455999363+30.241335081285495j),(117.93882948779384-47.185852853523656j),(-902.5062742250457-69.0051933137828j)
(-40.032049555528445+25.92686574888041j),(96.17813194845266+8.965721332670856j),(263.02972988116255+169.149699594653j),(-449.30841890465354-710.9918286457755j)
(-37.179721108325+65.55254661647218j),(23.159986814897252+20.387439939689855j),(124.11035655421347-66.80536892500405j),(-476.50296285147897+195.80837142813635j)
(-17.422788975751594+15.280078885638176j),(-15.69420945521452+124.56031776034074j),(21.23303623324881+215.28421093720505j),(-21.52565842686988-220.17746073565348j)
