(7829+0j),(14790+0j),(50480+0j),(53548+0j)
(-3.426107029068362-132.58396830983324j),(-126.57281824273537-68.60070885591054j),(-168.47401378089444+23.50561361234429j),(-117.4108568609918+107.31076929877258j)
(58.4984344067312-19.566062542956427j),(-64.49507208800867+95.82698685712273j),(-90.78238513862453-26.502045913832134j),(41.100080234174925+147.69053392963758j)
(45.017812647127286-62.585140543723575j),(125.07255052198374-19.025783908605565j),(-160.3564019245908-70.48836182595522j),(-79.01370586028786+199.52866007024087j)
(6.7609712494553165-79.7556863687245j),(-3.493092259761845-6.943023389643452j),(-10.214334979527877+25.993268396290077j),(232.5692686471524+119.6050181341376j)
(21.488207540122133-5.917159134945809j),(53.04487707915043-48.83151190505995j),(14.995888712332931+81.35662772870523j),(303.5167539052537+55.824607145147155j)
(3.294767140422543+4.0682390693855055j),(82.00870282803794-60.350037208908944j),(-79.76372809684582-42.11375636872606j),(155.3120766997556+166.04728552475774j)
(-19.55901764632563-17.50455296037872j),(-28.08549477688257-151.1798751265778j),(-9.674430580764238+83.51824365614647j),(248.31847257830668-94.31328215726398j)
(78.00649166609307-0.6162915919871779j),(-65.71681816305227-14.427071176550076j),(-11.236801329028879+87.01083003374976j),(117.40962290184723-235.5134290649035j)
(51.323105778430964+41.48195550656688j),(-59.23412824175237-36.927013683076055j),(-97.33145631692233-285.2974199451294j),(234.9785658296451+621.5472601113072j)
(0.021609123501284966+4.137532965744946j),(23.401309600053768-35.03385464841207j),(-62.658828922869304-123.21002717545609j),(41.69662300282148+120.25560953722822j)
(94.48908929230957-30.337558454378904j),(-34.50348486631457-61.01547465109049j),(-56.48549811509614-157.6048526810252j),(53.26932979911527+288.9310984137735j)
(12.87249036423966+58.27703756422873j),(100.23051452767822+26.405204541172722j),(94.18188368379532-209.1453760924228j),(-744.6999203312706-402.66338061822273j)
(-37.96710763156787+15.64872808049357j),(117.62840426072069-20.191801062817426j),(-37.003818309412125-170.81511433585575j),(-168.07849368598966+295.9276404634669j)
(72.36789663330114+5.7552257326042415j),(73.9809704591753-88.09908288700613j),(-115.99530085479637-101.33540647664398j),(78.80073597447699+528.8932956358144j)
(-0.6004562658024639+69.99534292378439j),(8.878961081402892+35.541187154740705j),(25.063876330258665-198.8581786913914j),(-351.8236268011714+474.5470510782761j)
(18.256792125130694+45.822964633135015j),(114.78669947125249-47.638993616075865j),(-136.76179048313406-70.48147345174146j),(134.5308175830761+638.4211224706419j)
(94.60790685593783-20.79913477043836j),(18.65051798546323-11.948817424223762j),(-271.3340593108347-17.168209325979902j),(436.44640944315086+548.1067619896756j)
(2.6043974348841608+20.23407424369386j),(-9.408943629597957+78.71089757857625j),(48.00222536845787-256.9165954420926j),(-445.35784337040167+1074.8944574530167j)
(45.978955961434636-18.992076900516473j),(114.58696698975908+37.459800909467695j),(-26.48681935284757-220.229627926546j),(-271.3163309142384+1267.9922828640933j)
(34.81439139059159-74.01940054129477j),(-33.864525380527674-61.09459070109099j),(190.474191535253-629.8936762006546j),(-1505.4437258707144+3456.258463306657j)
(-44.035842227391186+51.01515602920627j),(64.88264383713931+139.8141334376357j),(-291.55923813650725+760.4433551835j),(2560.365277358831-4854.291609600774j)
(-14.03299246626451+65.01416548891667j),(104.46187274115599-1.0525224210982032j),(-37.99798220370437+214.40346618978612j),(860.0420726157666-1614.885118999172j)
(-51.057794127815754-21.1368121251119j),(-60.537796846434595-15.318143096706295j),(-40.2297042455827+15.341075774119332j),(475.38785948636473-561.864273682065j)
(-14.980328364898167+80.89766323990585j),(-96.95003140879379+181.89215329151853j),(166.61988933429149+169.8621979958604j),(179.7407280528152-1295.8983993814827j)
(39.72464617237092+87.3997018034426j),(88.86066417380503-22.236311401103514j),(41.96785343134083+14.03257397339475j),(163.68279872002915-484.09124629187016j)
(-14.940861509751926+5.487599661191563j),(-110.18618874116692-15.456977106772786j),(-165.6147837877858-200.37263172575877j),(508.3449812756634+225.0337234711201j)
(26.609023337459263+42.63195768721328j),(-7.225655816048878+95.91524376474665j),(35.18939443464359-29.502284840242297j),(0.6322944220466127-314.9249019548989j)
(49.919917654953+2.3238296394958615j),(124.96526426788819-30.503560539637j),(-168.70916106345794-169.58970781488034j),(612.9173307843257+120.27775568994707j)
(-16.642313228944516+15.920616026615612j),(-62.99169721655616-79.91707658266375j),(-591.3860912320143-342.2646463099585j),(2667.0337880756397+557.3048407324831j)
(-17.514911749826254+50.65808070743245j),(38.642161298863925+86.02091573956781j),(178.78990819972583-28.265773862748603j),(-916.585263757042-184.00877965360706j)
(50.76457581954162+10.539712979140553j),(78.60169630006982-44.695041309321255j),(11.023144799704255-45.168284014736166j),(-127.3453095661767-116.29573345970428j)
(-10.49540186765961+92.89312877671227j),(-54.84737877435967+16.50732776546384j),(166.45117904006185-126.0620140900842j),(-956.6610585415157+162.39151447322922j)
(61.063519310299526+35.063535372128676j),(-35.23934684427048+83.39807253803286j),(-126.69262770556014+256.1334718729265j),(1051.0056617507767-721.1644419302502j)
(77.31511016088737-26.659653743016488j),(23.78604363810316-21.998009516048757j),(-49.77336161144101+221.15510371911003j),(510.3184339510573-685.7016259941212j)
(-4.732866047806056+16.68352640291733j),(-70.65511440323371+18.034263632607523j),(103.16679410319921-13.359080877352511j),(-192.72379086292767-85.87470879688215j)
(-3.7563005073438376+16.631845282354636j),(65.98228957634828+72.33934171501318j),(7.651634612484784+262.6656577327774j),(180.92171127881227-953.731320264937j)
(-3.7062167621580464+22.78261878096749j),(19.4577728407706+2.936668521751649j),(105.170539363762+114.91776981813629j),(-163.10426359989629-593.3884405233725j)
(-69.84225271229224+102.34009083269251j),(-29.17062903622112+27.18500747971009j),(220.38990309849873-327.42230034203436j),(-201.7885101246091+946.563484291557j)
(-15.092030858680275+92.5716131404291j),(7.0577844804462515+95.3159117281071j),(180.11860209719822+48.163836742122804j),(-384.76648758967326-615.3888241676545j)
(-8.898776147388705+116.4370026630541j),(10.455082991282648+13.902502493124821j),(210.3076598760825-34.53144616134392j),(-457.9636351481978-382.5199743362324j)
(-69.13374918045542+119.39600084197426j),(-11.719342731656738+78.12233834666688j),(767.4528095210451+558.4306745190484j),(-3148.575047358432-4012.0883989066j)
