(11300+7.105427357601002e-15j),(18478-1.2079226507921703e-13j),(56216+7.958078640513122e-13j),(59634+1.9895196601282805e-13j)
(37.46627046324974+32.04767880334585j),(-13.932215730141738+63.429522249205235j),(-213.30163039894683-127.15044622439477j),(1335.6596753549297+764.6192726465652j)
(53.08764334278938+107.69754430776914j),(29.254102439016435+44.711537467147465j),(1169.7625312086193+194.57576018483917j),(-7275.010612627202-2802.3259637677556j)
(-20.441240077880437+14.06308883535533j),(24.785710462930272-43.94194398450449j),(64.1332914224665-93.69632696476806j),(-613.0675703818077+46.47298982649443j)
(16.145319553839514-3.238138832230497j),(46.03386796754138-10.095874639601204j),(-21.42853699068154+49.95566797303024j),(135.04312689772462-2.329549612219921j)
(43.629528268472136-3.4700041045314336j),(21.29706122688235+27.586280781841097j),(-96.92830524438766+8.534688048902147j),(96.18656192831718+373.1566361719184j)
(-28.649146642235277+70.43218451263604j),(-16.43801313007782+71.55407542513967j),(223.8109701991541-89.96846221674562j),(-745.3820876987313-288.5416394412032j)
(15.348658303698578+16.05416173073498j),(5.34882258160431+45.439865018361644j),(131.74560106800655-160.97644522145006j),(-236.58980738739146+439.6383794282374j)
(-3.84842216074792-10.361612635695785j),(-17.724366442428117-43.20825027224185j),(29.47660011008785+146.4651746364863j),(246.5845548941399-7.217841593830542j)
(-30.427627303655044+24.58921924570543j),(-24.651156772924956-19.551672551720877j),(-15.492857943801159-94.3062516792j),(183.17595687445956+394.3895349331452j)
(-30.59257895655782+13.133032222520223j),(-31.83910969693037-19.363234669132375j),(231.8606475454904-84.57868437155193j),(-361.552581903955+300.88043000275746j)
(2.792525019431923+20.81366306570679j),(1.9308264597449245+24.64548685164609j),(358.85908823035817-425.9276766967998j),(-865.5979405386571+2220.7288491237928j)
(50.87901115025421-13.460719847891127j),(21.324699959396213+6.47358256502284j),(-310.077471503497+320.1555949387607j),(821.7269825387611-1418.6731951044799j)
(26.558113544811246+1.2618338471588797j),(-8.59298161347405+5.086434417679245j),(-249.9489407757854+112.07641258646152j),(724.5918932993377-385.78773052050326j)
(-4.3269995378376365-21.04396008422493j),(64.43547312414164-21.83331356065424j),(-22.949065186834588+168.53975561519314j),(336.0217483855587-652.0934766172268j)
(-56.79852522427828-38.99972164663134j),(72.5470883226369+23.0488151405756j),(-45.22251072121327+488.03862343894104j),(1443.5080672040594-1386.059329920202j)
(35.778624729232696+20.56685607683369j),(-1.1787825559667988+44.81277217252323j),(5.615059981271398-7.614358983801476j),(-78.77703409708961+373.909879292302j)
(46.81521394663545+11.650208018416079j),(-34.32475859068303+7.516014349040237j),(-240.84620505903823-73.55255743253085j),(526.98466588733+501.14015289684517j)
(-16.690819316393704+28.541424611881734j),(25.83973791884399+37.52429075711422j),(5.272636677968709-32.05230415047432j),(178.19322676504135+45.569687791771365j)
(15.516108726614448+22.918786743797284j),(13.99230580604674+57.159607533983305j),(-182.9596904079164+155.25298102947522j),(626.0321130969285-291.64531094801373j)
(60.26995560009245+35.48722360929423j),(-15.73189401894209+56.77598672041887j),(-46.76387040254677-78.37720674238595j),(41.87411413902558+254.75226676745746j)
(88.43539872779418+20.58698376472404j),(-4.517056341458126+23.542998125799762j),(-391.13532340943186-415.0749069936741j),(1545.2512407247264+1111.0176155829645j)
(39.16338199315074+42.83646770174965j),(-48.18116028200398+53.79157724240452j),(-80.64078089628589-83.72579764809682j),(426.6501513765294+712.638358453255j)
(-9.570239294062597+27.659672937047198j),(-49.03519025011361+36.625422701099794j),(-282.0867883367055+47.86117452724211j),(1002.4916583851331+507.0100262879476j)
(-20.83902310167156+16.636053905583907j),(83.94833789873032+5.995116638927067j),(-307.9649937160325-188.88029494270123j),(1402.1144071389203+1556.071161843166j)
(-27.480287273435483+90.25858455639968j),(84.20932118680314+71.19515236939613j),(852.625082450077+401.8177680589484j),(-3859.3921617962314-3555.1629678682066j)
(-37.8079431520266+84.47604930458316j),(-35.04461002027508+81.92719142268783j),(257.4222172480927-61.45067599335472j),(-833.7961042137774-280.8667561941461j)
(9.687148636604725+81.37704417899226j),(-39.01747927444886+81.91561127750155j),(-13.434418542731876+72.2260521040688j),(-25.90763051649725-281.4427318793567j)
(69.19325564087451+225.74359087274144j),(66.38343092134477+162.13258870766566j),(-104.25280767320947-126.49412936130716j),(-33.450886511300695+257.327969675616j)
(5.548731816355314+530.580322388716j),(51.917115558252476+594.8061145984219j),(253.1922987953959+83.07427110534323j),(-800.8411834483725-509.0723207628724j)
(5.548731816354575-530.5803223887153j),(51.9171155582531-594.80611459842j),(253.19229879539324-83.07427110534j),(-800.8411834483742+509.07232076287295j)
(69.19325564087438-225.74359087274092j),(66.38343092134501-162.13258870766498j),(-104.25280767320953+126.4941293613081j),(-33.45088651130048-257.32796967561524j)
(9.687148636605222-81.37704417899235j),(-39.017479274447325-81.91561127750082j),(-13.434418542729919-72.22605210406755j),(-25.907630516499324+281.4427318793576j)
(-37.80794315202667-84.47604930458309j),(-35.04461002027539-81.92719142268746j),(257.42221724809394+61.45067599335635j),(-833.796104213776+280.8667561941478j)
(-27.480287273435486-90.2585845563999j),(84.20932118680403-71.19515236939652j),(852.6250824500752-401.8177680589498j),(-3859.3921617962333+3555.1629678682043j)
