(5624+0j),(11542+0j),(53035+0j),(55503+0j)
(59.93269332209369+82.93566716713023j),(81.83508054104345+88.71494122369536j),(22.081755911430832-72.45216533810225j),(-685.8942800835855+127.07366542613897j)
(56.86108541799782-46.8990120255756j),(20.878765209706778-53.99648271749395j),(-32.07259839411236-46.022900796805075j),(-491.0157383174858+280.7753194026553j)
(-23.254440546843583-6.9545380143554105j),(-9.554832030925674-35.51075589058533j),(-53.304811241225146-134.1041517869979j),(-410.9822425687312+205.34373721103412j)
(-33.206617985281724+24.490058980042246j),(-32.63293641905669+72.58900314015813j),(55.1717567219313+24.361306584315617j),(104.06683288721621-6.996025546181016j)
(1.9443752476849259+5.3993151026371695j),(4.176341916116565+18.66405534607943j),(44.46994132781555-30.874377029428693j),(125.29383154636412-207.32105495696547j)
(65.57035932713084-58.32302792473955j),(-2.906645351631914-0.17563227874909915j),(-46.5597339139367-36.53177462048652j),(-100.62863771600414-307.742558387352j)
(-1.0068892951178636-10.846638258463393j),(-14.424294703280664-34.288395179022075j),(32.94497136061226-3.118446024397471j),(-72.84890111802633-669.544265332815j)
(4.205771365940053+1.0358983848622447j),(-54.99038105676658+2.2320508075688767j),(51.65956342879204-34.88337651123217j),(-329.5479096680292-513.4690713431428j)
(6.836654479073564+16.099467904696446j),(-29.27724679629776-17.414603157020025j),(-117.42623017864902-277.01988148449425j),(-204.26308408653315+2.5719233009914433j)
(-19.869212988406016+2.211232704559933j),(-25.814532342072766+2.6145883478149456j),(204.48620839150934-9.661375528097352j),(-559.6437156604843-542.8450801909889j)
(15.074121906465551-8.668336755200828j),(22.371873979158256-17.346189949195498j),(84.73238400339463-58.642340526475664j),(-475.54828413542236-211.39055636322837j)
(-7.485281374238573+28.213203435596423j),(-5.020815280171311+44.020815280171306j),(209.2670273047588-101.9827560572969j),(-675.5828278447964-318.0731598529185j)
(-6.037468911511387+1.632280761188051j),(-30.415587950274997-18.31044095546699j),(-10.907705376914961+115.89045702021889j),(759.2671655853858+252.87984883120743j)
(16.001397837250543+0.6142820380945233j),(-12.591604042339867-5.586103894848257j),(34.776238401741026+34.63279977564964j),(466.9385069587001-41.50261332276352j)
(14.213616000093358+15.83568799392408j),(17.506317235745307-16.950789825673922j),(95.5861568107583+32.611456689665346j),(205.55062240928487-281.1273058025207j)
(18.5-18.186533479473155j),(11.5-9.526279441628844j),(-38.5+149.82239485470788j),(623.5-579.3709951317894j)
(-15.040792485857603+20.128449915495352j),(-29.94618749352873-11.527720288961481j),(134.94519048345478+83.53767695844671j),(92.08161120104569-607.0898279865787j)
(-36.656970613344505+2.450663319676723j),(-38.25605795403135-1.1191582354768617j),(153.45742494712857-109.55335165029761j),(-285.71628704557963-337.55987754659435j)
(-15.91186881567315+2.2325655732766885j),(-1.159031815018146+1.110220772938689j),(134.3902131319922+277.2054554252344j),(24.402150494412695-1081.2378741246216j)
(-8.56863714332668-9.411742308132906j),(-38.53619562294986+47.0296186446316j),(97.03716496849026+203.10526896435826j),(-381.5553130454738-941.302680585407j)
(-17.17345553910701+11.590055110018367j),(-23.520850360061964+26.66514884863267j),(236.42020511380878+463.98159769326026j),(-620.8226230816335-2403.8714195038656j)
(8.663812081919325-9.25806712272983j),(-22.786269272272513+16.20430116060952j),(-388.4055878468284-908.8082975754983j),(1685.2918455041247+6909.115480419948j)
(9.472845543677883-17.534901784127353j),(-10.708083877102336-33.01222955417023j),(-119.30373009186916-238.92194307360944j),(611.8759556111656+1963.738051505149j)
12j,(15+25j),(-69-4j),(401+1034j)
(23.479794209589-14.218427720136434j),(8.130637643004917+6.440860266039289j),(-296.50489898173464-87.91259409502071j),(1021.6236579655786+1272.4127973167413j)
(0.12754387533022893-9.570332256133074j),(-16.18862117909284+2.4035186941559785j),(26.717743761942437+8.304176934273883j),(199.61213087076985+463.9869512694704j)
(22.93375796465032+15.538504831879042j),(-17.06550814936691-24.442515876324215j),(105.75786354940918-72.94057264930677j),(-181.87872015198252+410.3095677099785j)
(-11.914702358277914-21.359183424875255j),(-9.659956799756761-29.84602570238627j),(-114.81284632513572+25.742511557697632j),(511.56083791789246+487.44823801235293j)
(0.6644871086989177+1.4173819953188005j),(-23.138267280070245-23.10842173442763j),(19.46531537355549-105.25136333996142j),(-379.0191602714641+635.481615511736j)
(-46.92376519039905+20.433419376973625j),(-36.85664041817674+33.16511301198504j),(37.596398922033785-151.1757180143838j),(-369.0044923408415+924.2373792230745j)
(14.585711088199252-21.216258081062207j),(-19.960975853119187-1.4954689286088154j),(-681.6989418978403+332.41346114847124j),(1899.666396286568-1501.6894400036217j)
(3.5+12.990381056766578j),(14.5+11.258330249197702j),(-159.5-161.94675050769j),(118.5+598.4235540150471j)
(5.700674963036791+10.07613301621047j),(17.065778460387115+22.740266728921974j),(-196.5487691124945-72.61232578826062j),(186.99956865984075+539.4969739692386j)
(25.2526538905485+8.07297537098001j),(8.622107323090264+17.653963170052034j),(-240.24399673174298-440.4750876264196j),(8.618705874435364+1850.2565729187115j)
(-40.527097453617586-28.937282100155493j),(-45.46035043227902-8.665871148491746j),(10.858032591760562+52.67671212693266j),(223.08001114522455-271.52522017475036j)
(9.485281374238568+14.213203435596427j),(19.020815280171306-19.979184719828684j),(36.73297269524118-13.982756057296902j),(-2.417172155203332-174.07315985291868j)
(12.845083660404821-26.04646164536791j),(5.775832866101439-12.631679201568172j),(-68.34184471815833-180.64427653588268j),(245.59101539135244+560.5872603000162j)
(-24.561753275632817-14.97109011393212j),(-3.5364790143664013+12.429029570511162j),(129.46866299813547-19.41304151775348j),(-480.95160284930944-103.76943036114054j)
(15.876471555765804-19.316941322509546j),(-48.80956752559609+11.732297520291592j),(84.96748624307565-152.4404900070908j),(-374.39475472091704+298.04238175447847j)
(19.794228634059948+7.964101615137753j),(-29.009618943233416-1.2320508075688767j),(-327.659563428792-350.1166234887678j),(891.5479096680292+650.4690713431428j)
(25.814475092070335+7.1121132016343624j),(-27.222961667405137-25.214859100551415j),(192.33730853517918-269.39323985223353j),(-832.7778303553464+484.1864620105878j)
(46.010376476612706+39.65972813255735j),(-9.980656276159994+22.1086389687128j),(107.50591004477425-238.15414098457256j),(-808.650582897574+778.054698382316j)
(1.2376891388931606+57.45681036298763j),(-13.606655406449546+0.9123233990351771j),(622.2638213439653-627.6971641216585j),(-3489.802512367144+2118.2261966517676j)
(-32.31004251311367-25.562499903215397j),(-5.1709111582366845-28.535352512824005j),(-367.3960753652858+307.7240639909763j),(2921.9276422403645-1231.7469441439407j)
(14.866721123330736+15.337057458012886j),(-10.344090833884028-25.162576492826496j),(-139.4519011846832+94.77685182576442j),(1287.7912335406718-505.62909689339426j)
(-6.475526839007582-2.570261007601302j),(19.416633317347348+29.628360658256582j),(37.27332941935556-42.26664769944615j),(639.1498676192487+260.33032666380484j)
(-6.527159355999921+9.874359820644564j),(-18.2473704668966+19.812346142352904j),(-65.7318129966435+278.98438283353903j),(877.009173103892-804.3661257049947j)
(1148-2.842170943040401e-14j),(1456+9.769962616701378e-15j),(59+0j),(595+0j)
(-6.52715935599992-9.874359820644564j),(-18.247370466896594-19.812346142352908j),(-65.73181299664347-278.98438283353914j),(877.0091731038923+804.3661257049948j)
(-6.475526839007582+2.570261007601308j),(19.41663331734734-29.62836065825658j),(37.27332941935554+42.26664769944612j),(639.1498676192489-260.3303266638047j)
(14.866721123330736-15.337057458012877j),(-10.34409083388403+25.162576492826496j),(-139.45190118468315-94.77685182576444j),(1287.7912335406718+505.629096893394j)
(-32.31004251311367+25.5624999032154j),(-5.170911158236687+28.535352512823994j),(-367.3960753652858-307.7240639909762j),(2921.9276422403645+1231.7469441439407j)
(1.2376891388931632-57.45681036298764j),(-13.606655406449548-0.9123233990351789j),(622.2638213439653+627.6971641216587j),(-3489.802512367145-2118.226196651767j)
(46.01037647661271-39.65972813255735j),(-9.980656276159992-22.108638968712803j),(107.50591004477428+238.15414098457262j),(-808.6505828975743-778.0546983823161j)
(25.81447509207033-7.1121132016343624j),(-27.222961667405134+25.214859100551408j),(192.3373085351792+269.39323985223353j),(-832.7778303553466-484.1864620105878j)
(19.794228634059948-7.964101615137754j),(-29.00961894323342+1.2320508075688772j),(-327.659563428792+350.1166234887678j),(891.5479096680292-650.4690713431428j)
(15.876471555765804+19.31694132250955j),(-48.809567525596094-11.732297520291585j),(84.96748624307567+152.4404900070908j),(-374.39475472091686-298.0423817544784j)
(-24.561753275632817+14.971090113932124j),(-3.5364790143664004-12.429029570511158j),(129.46866299813547+19.41304151775347j),(-480.9516028493095+103.76943036114035j)
(12.845083660404825+26.0464616453679j),(5.775832866101436+12.63167920156817j),(-68.34184471815828+180.64427653588263j),(245.59101539135256-560.5872603000163j)
(9.48528137423857-14.21320343559643j),(19.020815280171306+19.979184719828687j),(36.73297269524119+13.982756057296896j),(-2.4171721552033816+174.07315985291854j)
(-40.5270974536176+28.93728210015549j),(-45.46035043227903+8.665871148491746j),(10.858032591760601-52.676712126932685j),(223.0800111452242+271.5252201747504j)
(25.25265389054851-8.072975370980018j),(8.622107323090262-17.653963170052037j),(-240.24399673174298+440.4750876264196j),(8.618705874435221-1850.2565729187118j)
(5.700674963036789-10.07613301621047j),(17.065778460387122-22.740266728921974j),(-196.54876911249454+72.61232578826062j),(186.99956865984097-539.4969739692385j)
(3.5-12.990381056766578j),(14.5-11.258330249197702j),(-159.5+161.94675050769j),(118.5-598.4235540150471j)
(14.585711088199245+21.2162580810622j),(-19.96097585311918+1.4954689286088207j),(-681.6989418978403-332.41346114847113j),(1899.6663962865678+1501.6894400036217j)
(-46.92376519039905-20.433419376973625j),(-36.856640418176745-33.16511301198504j),(37.5963989220338+151.17571801438373j),(-369.00449234084147-924.2373792230744j)
(0.6644871086989177-1.4173819953187934j),(-23.138267280070245+23.108421734427637j),(19.465315373555534+105.25136333996143j),(-379.01916027146416-635.4816155117362j)
(-11.914702358277914+21.359183424875255j),(-9.659956799756761+29.846025702386267j),(-114.8128463251357-25.74251155769764j),(511.56083791789246-487.4482380123527j)
(22.93375796465033-15.538504831879042j),(-17.065508149366906+24.442515876324205j),(105.75786354940915+72.94057264930667j),(-181.8787201519825-410.3095677099783j)
(0.12754387533022715+9.57033225613307j),(-16.18862117909284-2.4035186941559763j),(26.71774376194245-8.304176934273894j),(199.61213087076973-463.9869512694702j)
(23.479794209588995+14.218427720136429j),(8.130637643004917-6.440860266039291j),(-296.50489898173464+87.91259409502075j),(1021.6236579655788-1272.412797316741j)
(1.7763568394002505e-15-11.999999999999996j),(14.999999999999996-25j),(-69+4j),(401-1034j)
(9.472845543677874+17.534901784127356j),(-10.708083877102332+33.01222955417025j),(-119.30373009186914+238.92194307360933j),(611.8759556111654-1963.7380515051493j)
(8.663812081919328+9.258067122729825j),(-22.78626927227251-16.20430116060952j),(-388.40558784682844+908.8082975754982j),(1685.291845504125-6909.115480419948j)
(-17.173455539107-11.590055110018362j),(-23.520850360061957-26.665148848632665j),(236.42020511380875-463.9815976932602j),(-620.8226230816333+2403.871419503865j)
(-8.568637143326683+9.4117423081329j),(-38.536195622949855-47.02961864463158j),(97.03716496849026-203.1052689643583j),(-381.5553130454739+941.3026805854068j)
(-15.91186881567315-2.2325655732766956j),(-1.1590318150181433-1.1102207729386873j),(134.3902131319922-277.20545542523445j),(24.402150494412467+1081.2378741246216j)
(-36.65697061334451-2.4506633196767265j),(-38.25605795403135+1.1191582354768652j),(153.45742494712857+109.55335165029761j),(-285.71628704557963+337.5598775465943j)
(-15.040792485857605-20.128449915495345j),(-29.946187493528722+11.52772028896148j),(134.94519048345478-83.53767695844667j),(92.08161120104563+607.0898279865786j)
(18.500000000000114+18.186533479473184j),(11.500000000000114+9.526279441628834j),(-38.5-149.82239485470788j),(623.5+579.3709951317894j)
(14.213616000093356-15.835687993924079j),(17.506317235745296+16.95078982567393j),(95.58615681075833-32.61145668966536j),(205.55062240928453+281.12730580252054j)
(16.00139783725054-0.6142820380945255j),(-12.591604042339865+5.586103894848254j),(34.77623840174103-34.63279977564961j),(466.9385069586999+41.50261332276344j)
(-6.037468911511391-1.632280761188051j),(-30.415587950275004+18.310440955466987j),(-10.907705376914961-115.89045702021893j),(759.2671655853859-252.87984883120743j)
(-7.485281374238573-28.213203435596423j),(-5.020815280171303-44.020815280171306j),(209.26702730475873+101.98275605729687j),(-675.5828278447964+318.0731598529186j)
(15.074121906465553+8.66833675520083j),(22.371873979158252+17.346189949195505j),(84.7323840033946+58.64234052647572j),(-475.54828413542214+211.39055636322837j)
(-19.869212988406012-2.211232704559933j),(-25.814532342072766-2.6145883478149443j),(204.4862083915093+9.66137552809738j),(-559.6437156604837+542.8450801909886j)
(6.836654479073568-16.09946790469645j),(-29.27724679629777+17.414603157020025j),(-117.426230178649+277.0198814844943j),(-204.26308408653335-2.5719233009912443j)
(4.205771365940053-1.0358983848622456j),(-54.99038105676658-2.232050807568877j),(51.65956342879204+34.88337651123217j),(-329.5479096680292+513.4690713431428j)
(-1.0068892951178618+10.846638258463397j),(-14.424294703280669+34.28839517902209j),(32.94497136061226+3.1184460243974j),(-72.8489011180261+669.5442653328155j)
(65.57035932713083+58.32302792473955j),(-2.9066453516319166+0.17563227874909604j),(-46.5597339139367+36.531774620486544j),(-100.62863771600422+307.74255838735195j)
(1.9443752476849285-5.399315102637162j),(4.176341916116569-18.664055346079422j),(44.46994132781557+30.874377029428658j),(125.29383154636403+207.32105495696533j)
(-33.20661798528173-24.490058980042246j),(-32.63293641905668-72.58900314015813j),(55.17175672193132-24.3613065843156j),(104.06683288721626+6.996025546180988j)
(-23.254440546843583+6.954538014355403j),(-9.554832030925674+35.51075589058532j),(-53.304811241225096+134.10415178699793j),(-410.982242568731-205.34373721103415j)
