(19039-3.517186542012496e-13j),(28935+4.973799150320701e-14j),(84005.00000000001-6.536993168992922e-13j),(87964.00000000001-1.2505552149377763e-12j)
(29.65664542163539-178.44818807467018j),(-40.21071003826438+43.206984503009814j),(25.630816044109185-7.053986437548251j),(-646.4029811909451-157.32665276967882j)
(-63.1941059853897-143.24189916369315j),(-4.798979086925035-66.3672592241549j),(-47.92338218502683+65.45804581225033j),(-646.671275593289+162.44059333697814j)
(-29.150864823015862-140.14122148521125j),(-60.81688181443273-91.56222990641608j),(13.959459988418482+15.419345151670331j),(-698.8704213335722+15.270295768576673j)
(22.509646195268445-116.85627174838356j),(3.368552492912613-54.425663057175896j),(47.79565776030729+62.029738763543776j),(-382.0603891773501+26.937708402659368j)
(-29.57926043573464-74.33506640789913j),(-17.11101401148194-34.2778387720134j),(-46.27647404283908-80.86010178505312j),(-642.5500731670681+4.97302517954455j)
(-17.79595159420718-16.305174620126063j),(-39.872681403643696-50.810327959031994j),(211.66609732230052+63.16621540368912j),(92.35121438866766-324.3303516961244j)
(-34.33602439579047-43.613607083570656j),(-26.218545728115703-7.546418015297647j),(86.22287057830397+41.96919623334138j),(-8.559807375054524-32.27139482534169j)
(-40.73921114850852-73.56146553983848j),(-66.18688599302277-10.693126903492796j),(109.83942391322631+23.07656725380176j),(-248.0136585665662-253.81896916201296j)
(4.545619890600785+4.8906258797503135j),(-45.92274612624455-45.28124257478699j),(225.3530896300471-101.599894307772j),(-39.13322038271866-446.9790131203102j)
(7.118509198590737-3.2739746752936267j),(-44.14984005354975+63.17697955551665j),(134.25739944891936-10.198194476474704j),(52.03914697447154-112.11162714423693j)
(-49.94324270872956+17.775253985446305j),(-75.06844756257081-20.238738595585108j),(196.6678451973494+90.00600919785549j),(64.3884938828322-560.5591174611737j)
(-55.99783246348848-42.09539867149455j),(-40.98218130441032+1.1082756608279407j),(164.49561156480584+43.09943141587965j),(-53.006469365959646-178.40989054947528j)
(57.10980825757792-0.6782695178718718j),(-3.1268071479857884-35.338244916884655j),(128.20332767439186-36.83869686816708j),(-386.21985778346163-72.51245212056385j)
(11.360603744308914-14.324856747428022j),(6.986996939820074+28.989803888967167j),(400.59168264814065-246.46494799959532j),(-633.1534294109581+245.30039238589256j)
(28.82383066376375-64.0100596709618j),(-36.8689313996758+83.16734807179103j),(-86.14991669594049+215.7958042052053j),(257.9108544373123-307.39917913758296j)
(-28.512995011564705+44.35830115354463j),(30.40637404629961-9.603720507231682j),(31.192046492910663+62.25212549025746j),(-308.0826502711741-415.9982193074816j)
(-23.020363490772716-39.4994400360355j),(-50.68728731590472+29.276253740499474j),(11.226255123076271+135.60132192531594j),(-120.08268217610622-101.45517627435376j)
(11.674645273621984-38.368917979251556j),(-21.89215995352886+2.9528983556313104j),(-51.277680733099885+41.71539703106216j),(-231.03981843425586+74.74108793519498j)
(-37.42271548485003+3.1588000295998153j),(-14.297092398267603-2.1777357783953963j),(112.81022166973432+142.9203463714489j),(-190.60427876698674-299.25970816808314j)
(-26.815484290465868+28.682213052153273j),(-49.15361206634903-37.42057049865927j),(-223.0464430009368-23.40518907510267j),(-700.204164212723+1765.0153817454175j)
(-64.08602709847521-77.27831535609467j),(-48.58997324361137-70.38681156666412j),(-14.484858895877595+15.90389851096651j),(-621.2324106258676+330.3760547947322j)
(-63.42530106646646-93.7099644173072j),(-39.06894665139439-80.76256873414232j),(-61.48886169541764+171.73536511960293j),(-188.26423915341218+158.70575478276174j)
(-50.09336695275874-11.206224254112156j),(38.80183600394774-29.598343570878093j),(-37.71464024734486+174.85617337574064j),(-171.34017234452676+178.82878681788924j)
(36.86069439655857-37.113060393709716j),(-41.08465128120582-32.549757802590435j),(19.142935139408397+69.1517839005537j),(-638.0786988495721+62.98381545425036j)
(33.471550261417335-6.417913664483177j),(-75.83030551385546-30.022611585308457j),(-212.36053908619024+28.513135845198356j),(-193.79925191700136+337.86982472526495j)
(-40.22941783819956-38.853798921254516j),(9.563789212789505-27.473005147843832j),(89.46230901633112+99.42512483479051j),(-638.0288814648742-444.7853240575871j)
(5.9553414061944885-15.509619263625684j),(-19.682690145695595-31.413402960631455j),(116.05828902588839+167.70561216508045j),(-416.41231626471546-762.8382254651137j)
(63.9978096761952-51.86002154031254j),(-40.647367843442645+18.55483000657386j),(73.9689393111322+213.01885978881137j),(-501.60913176354813-674.4651384191238j)
(13.501067779834084+15.457106451486494j),(-64.746427231856-13.219098378478444j),(138.83980820212378-373.0932746934326j),(-867.9512307010973+111.52761824532426j)
(-55.34872912364884+32.46649599052856j),(-43.25156338287943+21.673755423606643j),(89.19819928201977+15.37923107153534j),(-369.1263966693578-605.8435545010027j)
(4.0031133687309595-41.724031828392114j),(-50.28311474840411-59.088520273604715j),(205.9638479992866-22.126194634633762j),(-1124.278085054514-763.4633087502506j)
(-35.57985647440894-39.2679151836041j),(36.28871722925414-52.10196587444772j),(309.6498318779494+60.93980863823077j),(-1100.4847080750312-1132.0828065206115j)
(-51.408925577320765-56.80547996460608j),(-2.923633321965383+95.85303700948421j),(192.46553305713115+181.68389086710687j),(-1198.130613811933-1564.8709714517627j)
(-36.586676528351305+13.491598871742864j),(-9.619587457251198-22.750115368673693j),(1346.245815395403+1345.68906503367j),(-6878.909288237314-9986.384546393572j)
(-42.67331339092466-6.111344086143255j),(-14.196886886901325-13.136379502031499j),(-152.4884045381042-260.33532946668714j),(1010.7306624728437+1513.0805703932112j)
(-2.9592095902450604-39.968913951282246j),(8.014915382475039+49.809848351226215j),(-59.87316963300452-286.7348050088584j),(59.17585022197167+1008.557154410954j)
(2.362523003668702-34.101860385540036j),(-8.392673320413675+39.89848890486536j),(74.20892618052243-95.84352236331834j),(-20.564837690530155+401.6777012356446j)
(25.25263735460295+2.4174263213598994j),(-26.32177614660688+18.312188678241387j),(-12.151723991746485+10.291422106732352j),(182.341129118187-32.382520406296976j)
(-67.88963397153931+31.432353819591633j),(-49.70783583734472-7.296096848955822j),(216.444108857034-82.34010402805848j),(-578.9140751943509+132.6431226095127j)
(-21.596697044756766-25.49737083868702j),(-101.87121243726192-46.19894456445377j),(-251.21746654774645+181.1066634467462j),(1041.5996834971802+536.7216703785141j)
(-9.411299958803918-24.828315379560806j),(17.255541279063642-94.73575217999648j),(-78.4927038055036+50.70824055847595j),(410.7510878021783+525.4143752496003j)
(-7.720086972990444-32.99939166613482j),(25.957413234621736-59.29957455743771j),(67.26919910351862+123.8280284554659j),(-26.968692084798533-43.947911248477894j)
(-20.155564812444315-71.4881902330482j),(-90.88696520899171-56.86933228504159j),(267.76427436143405+390.45559558102553j),(-288.942714528824-638.5437207635196j)
(-38.323457546793314-35.43356129662594j),(15.520216951839792-83.46336894042564j),(19.67843267315713+47.54158015561338j),(-256.53747202023555+405.3719556065753j)
(-11.52566577340717-76.91771546928618j),(29.716234825970282-64.02296171412581j),(-55.88750199960256+261.99352200502034j),(166.43701872865103-346.4879876199185j)
(-31.23213498396173-101.77537808826354j),(-31.173271161532313-43.60801051850587j),(54.554495882607874+169.4128076105523j),(-473.1638654631364-22.785405087453054j)
(5.886455176237931-29.597811358689295j),(-9.793250696481294-42.361917603231575j),(329.3449154580568+45.69276395389717j),(-1314.4331828301042-135.6502978185718j)
(30.655109161560887-53.13781667924779j),(-44.64028376916417+27.7464471553523j),(654.4125919287628+363.0771488958327j),(-2934.3240985585253-662.3141339783915j)
(-22.493208198095175-25.367969721231493j),(-113.83898770720224+14.702891781526901j),(-692.9993472264686-333.45792427219095j),(2853.183542804506+754.3253244541592j)
(-3.3046444696493324-2.554667596452416j),(-94.99632832108955-95.69398495286353j),(-129.14728699510985-4.81591127723572j),(704.3696078253632-256.0814864669229j)
(-34.29543755090222+32.37607518524811j),(12.750413049514401-19.976611218119853j),(-224.51495867711708-130.54549616659463j),(446.62955831908675+260.7064070116967j)
(-0.529878537302366-1.8288809632879663j),(-10.327508120374887+5.848447357221351j),(-70.2019349787052-210.43708291955045j),(186.53031521037178+414.32558684996894j)
(-6.048955016624978-47.12103256254321j),(-0.8639419182550476-89.35438355413834j),(-138.89948064012643+48.024162018675575j),(208.3388027197095-274.96358035899993j)
