(8914+0j),(10095+0j),(18557+0j),(19824+0j)
(-1.5468448602605314-17.32649427443042j),(-0.5503890808796879-30.967833255996396j),(9.662323269023343-1.0487689462030643j),(22.947380422171868-6.094416221121963j)
(12.31071710832055-12.372780288771557j),(28.88940245531129-20.73263841127931j),(9.978474940416437-1.2645983172601998j),(9.51166377881372-8.663522471232643j)
(22.244422717877967-10.856962308514486j),(32.70740061193228-0.15121057705778007j),(11.917494845436952-11.479027575746871j),(0.5394788493578968+6.085654094193952j)
(22.770998222472546-15.638265758536784j),(21.71905593763314+5.327744531452662j),(19.051287450091078-9.956018644290525j),(7.585258788354629-13.354161837661557j)
(28.106099083299114-7.1101731093324565j),(4.003581777683394-1.1598441751040065j),(-5.8435120165345324+8.900977912780126j),(5.407159250686618-8.91700900944424j)
(17.166907981375335+24.611708852390297j),(12.784293277994859-12.947111999365628j),(15.94112552151152-6.734940473814889j),(10.091466960774417+2.3898902394066273j)
(-5.365470705014568+10.991331412000694j),(32.85606034046684-3.2800478850855743j),(17.876477094914385+2.378482407224169j),(34.47404361769394-7.646276026046591j)
(1.980804361138774+3.5520246220692853j),(24.164097266635046+22.11336265377733j),(21.428239014294533+13.971507370456814j),(11.786697610921463+13.530774235735091j)
(-2.880066215404222+4.320433198883097j),(6.316103554423365+23.065890514970175j),(5.135048210161458+3.3381586946017965j),(13.908606947014771+21.56949608088786j)
(-7.0046489796252445-3.7295793388479037j),(-12.66145791084+13.063026148046466j),(19.006437827146783+4.6852830929382066j),(16.733224994589364+26.482859958768163j)
(5.218847050625366+13.473792917540097j),(-1.5065778087482937-6.498393924658139j),(19.3991869381244+23.710900608497038j),(23.145898033750402+18.506590050441684j)
(22.38235894465469-14.321236109487817j),(45.599673431740314+4.326505012670365j),(13.150474093272244+17.506443575939816j),(18.03639097744685+5.065319546070513j)
(19.210120515645347+14.651684666376001j),(25.78050252890116+18.98454271154919j),(15.319942117437376+12.32862532953585j),(9.551620714270234+5.101177979773036j)
(1.5436163638362865+1.7738158159695914j),(5.7750339222794+29.55753787397074j),(13.918151276986318+10.617580796602379j),(-11.611667012668683+7.774656652070839j)
(14.868896506097144+1.9303313752519635j),(-2.8426790215207802+21.591353144946872j),(6.234691144243243+2.2669882559992516j),(7.739931127010095+0.646560888798108j)
(18.196307732229855+4.61336578763262j),(5.192703599056532+1.851478265677244j),(5.35858052730693+5.448776116557424j),(7.844201603576815+17.002844995249877j)
(-1.9971633268714957+13.886193157820511j),(28.844637912212356+11.726502015972017j),(20.706324823580005+13.027585703974452j),(6.703340215331435+15.561275646135464j)
(21.76776161323165+14.873019436729338j),(12.701415192013364+27.77598167849657j),(14.262824442083847+17.536626963602828j),(12.013661467283232+25.763481799066636j)
