(68069+1.8474111129762605e-13j),(78101+1.9184653865522705e-12j),(159049-4.618527782440651e-13j),(171499+1.0373923942097463e-12j)
(10.050823903769672+42.460333443763595j),(37.47492528851312+1.4988293249338724j),(14.065324853404187-69.94531543507318j),(14.106508480573414-3.087965690340136j)
(41.49675765725424+20.860768291600664j),(75.24103592976343+22.810542310988684j),(-9.749898273037534-94.23497423491972j),(-34.928203415832655-53.357916301849244j)
(-138.77164792039105+48.65819239114204j),(-155.850859582156+101.17457126600301j),(18.982682671032627-47.457461723589915j),(83.38380372848539-46.655605894384344j)
(3.8366199291158836+163.4952014930643j),(-17.869932703846644+204.10223736198628j),(-5.963080066825068-68.63684891450285j),(11.193417327599484-126.74727228888948j)
(29.404083293587437+79.74713435563304j),(27.40505986922129+63.46054982268261j),(-11.868296801112834-63.898250978658716j),(-38.66180731327181-94.08620005543737j)
(-7.9760410348810105+184.1125158229214j),(28.537888001837253+249.30063180160093j),(-49.74218258021574-91.59413992813529j),(-50.705661834745214-149.24245104514068j)
(66.35866843838852+209.48846164486082j),(117.74464208268374+211.02651640685377j),(-17.989560967930156-78.96986763448785j),(-49.582393178622844-158.18561261941085j)
(19.047560009567317+91.28930079962504j),(21.2151703237746+122.67909687418712j),(-38.21793678459766-97.48063010117377j),(-52.09150032640624-166.41538998396956j)
(-54.84750373539727+110.64330056678506j),(-85.73123776961036+104.832094570828j),(33.407289951291226-93.43822861334922j),(3.2942684780687728-76.45219632650773j)
(19.47727580950677+95.50702483769557j),(10.61876037987517+99.05010088313293j),(-7.182549821097567-68.98673558140116j),(7.239277127776138-59.25152593210356j)
(1.4567599028154152-81.19521620291782j),(5.24801678688564-31.942767991272227j),(-26.59828458876084-34.31984794496614j),(16.963807889661798+0.1680069238944113j)
(-121.03527434990966+127.15869601979836j),(-133.44659737418695+122.08946927857203j),(8.413863385774386-47.26551155913391j),(52.129503007404494-63.061006647235644j)
(-27.370896188302986+159.61427849282813j),(-15.231362690149993+196.44254345150463j),(7.1199169701531115-38.80238974229042j),(25.3455785656666-113.0577007192759j)
(-78.32557717298427-12.574714156011815j),(-115.51326415373856-3.872640372985053j),(45.007680268054344-23.451459733725816j),(47.59337541465942-79.462596341857j)
(-124.28530412474711+88.34786885842139j),(-150.93718868221694+111.39042680524773j),(12.367295974144081-65.50460311426222j),(75.56244982906406-53.27052653099244j)
(-88.07680220604547+125.62443745956577j),(-55.407412244125844+111.2287746665544j),(52.935843822307135-47.59426025742814j),(63.491000764993515-98.19141667262083j)
(-37.2641987938843+117.01475659536933j),(-57.139014094708386+104.51229159809643j),(-6.582645308165968-24.45184762796525j),(42.18169536699313-111.68917339333278j)
(-145.42295903182634+67.26363579442533j),(-159.19744762568888+111.22519476699523j),(49.38885564212404-36.76957861381348j),(80.83434379916781-52.93003070877689j)
(-43.806671613922006+109.55670826985713j),(-78.60114346128816+156.65829210373866j),(8.246306954371875-57.82502548935952j),(74.46438710223538-123.61896962884144j)
(-14.40921178822904+1.458020048868407j),(-46.67724354076145+14.965061753783342j),(25.210181321039006-43.34903207398126j),(8.957143817530286+6.284755028623085j)
(-15.40135022107173+84.8332541232616j),(-57.46017587356666+132.08257712039526j),(-30.033934154971845-5.43716047873178j),(8.471062104877774-73.33515781189091j)
(19.828740580856905+83.68612833221272j),(34.411428123742155+145.83018686702295j),(-1.8039311941505964-72.42908720891819j),(-0.5708308418149528-93.54667495317837j)
(-15.65155594338659+48.74875824569732j),(-50.186341045383+91.65276594002091j),(37.174754316142476-25.00755386724809j),(24.444039239204976-79.96674925889438j)
(-22.394294475243058+22.658403570701843j),(-14.466895292563207+41.075082558626264j),(3.0458159117104735-66.41257570606474j),(26.2224479513007-41.597498913612j)
(30.202372684508724+87.51823203983983j),(38.81813607895501+106.56030641829523j),(15.568571478575205-63.50658031623927j),(-3.399818876744092-90.81312184807888j)
(50.059135137588605+61.20588077823293j),(84.14458670465146+100.57573318708668j),(-48.40826968103402-63.37342813801714j),(-40.96531184403247-96.72762794682471j)
(-25.351489358667635+18.107807390113578j),(-60.269419440276266+39.64565066153634j),(17.35129771453201-70.45394848535993j),(-13.729966478073749-25.375014963305752j)
(12.288033349245453+28.100514753553107j),(6.366256559011669+31.67699028932479j),(-4.305197795588057-35.12112965756106j),(-17.4222761223675-69.79712937829095j)
(-10.091337476545318+0.8423353508154405j),(-35.881630900829805+8.215846313418457j),(-9.933474067956489-9.602441420023474j),(30.996409853296917+29.63497124132399j)
(17.88022468158391+52.630524153913115j),(23.073040115669496+105.73440917839639j),(25.529075575838824-76.05178447414926j),(13.025721086031666-85.51443055372647j)
(-29.836809775484273+8.679906025594903j),(-53.742506134857635+34.160958418924054j),(32.47875649330889-8.56769484938231j),(17.540676018145597-2.014934081619238j)
(-70.54070238022342+71.19285731689946j),(-69.35279217923573+99.37468420563864j),(47.516837251118204-67.57457973189737j),(86.73723560951662-84.2935806359787j)
(-34.944938232808276-18.57403620306831j),(-0.7311524306756585-17.403040268842762j),(34.6652174382697-29.164105759542235j),(28.846059499636688+5.56683227266824j)
