1,M,21,Y,4,data/user_tests/u_1
2,M,21,Y,5,data/user_tests/u_2
3,F,23,Y,4,data/user_tests/u_3
4,M,22,Y,5,data/user_tests/u_4
5,M,20,N,4,data/user_tests/u_5
6,M,23,Y,4,data/user_tests/u_6
7,M,23,Y,4,data/user_tests/u_7
8,M,21,0,0,data/user_tests/u_8
9,M,21,0,0,data/user_tests/u_9
10,M,21,0,0,data/user_tests/u_10
11,M,21,0,0,data/user_tests/u_11
12,M,21,0,0,data/user_tests/u_12
13,M,21,0,0,data/user_tests/u_13
14,M,21,0,0,data/user_tests/u_14
15,M,21,0,0,data/user_tests/u_15
16,M,21,0,0,data/user_tests/u_16
17,M,21,0,0,data/user_tests/u_17
18,M,21,0,0,data/user_tests/u_18
19,M,21,0,0,data/user_tests/u_19
20,M,21,0,0,data/user_tests/u_20
21,M,21,0,0,data/user_tests/u_21
22,M,21,0,0,data/user_tests/u_22
23,M,21,0,0,data/user_tests/u_23
24,M,21,0,0,data/user_tests/u_24
