1;M;21;0;0;data/user_tests/u_1
2;M;21;0;0;data/user_tests/u_2
3;F;23;0;0;data/user_tests/u_3
4;M;22;0;0;data/user_tests/u_4
5;M;20;0;0;data/user_tests/u_5
6;M;23;0;0;data/user_tests/u_6
7;M;23;0;0;data/user_tests/u_7
8;M;21;0;0;data/user_tests/u_8
9;M;21;0;0;data/user_tests/u_9
10;M;21;0;0;data/user_tests/u_10
11;M;21;0;0;data/user_tests/u_11
12;M;21;0;0;data/user_tests/u_12
13;M;21;0;0;data/user_tests/u_13
14;M;21;0;0;data/user_tests/u_14
15;M;21;0;0;data/user_tests/u_15
16;M;21;0;0;data/user_tests/u_16
17;M;21;0;0;data/user_tests/u_17
18;M;21;0;0;data/user_tests/u_18
19;M;21;0;0;data/user_tests/u_19
20;M;21;0;0;data/user_tests/u_20
21;M;21;0;0;data/user_tests/u_21
22;M;21;0;0;data/user_tests/u_22
23;M;21;0;0;data/user_tests/u_23
24;M;21;0;0;data/user_tests/u_24
25;M;21;0;0;data/user_tests/u_25
26;M;21;0;0;data/user_tests/u_26
27;M;21;0;0;data/user_tests/u_27
28;M;21;0;0;data/user_tests/u_28
29;M;24;179;89;data/user_tests/u_29
30;M;23;181;84;data/user_tests/u_30
31;F;23;163;76;data/user_tests/u_31
32;F;24;173;60;data/user_tests/u_32
33;F;24;158;45;data/user_tests/u_33
34;M;23;163;75;data/user_tests/u_34
35;F;20;160;89;data/user_tests/u_35
36;F;20;170;89;data/user_tests/u_36
37;F;22;155;84;data/user_tests/u_37
38;F;22;160;89;data/user_tests/u_38
39;M;18;165;60;data/user_tests/u_39
40;M;20;170;45;data/user_tests/u_40
41;M;19;175;89;data/user_tests/u_41
42;M;20;173;84;data/user_tests/u_42
43;M;20;180;84;data/user_tests/u_43
44;F;18;165;45;data/user_tests/u_44
45;F;21;158;75;data/user_tests/u_45
46;F;21;159;75;data/user_tests/u_46
47;F;22;170;45;data/user_tests/u_47
48;F;22;172;89;data/user_tests/u_48
49;F;22;165;89;data/user_tests/u_49
50;M;20;167;84;data/user_tests/u_50
51;M;25;172;45;data/user_tests/u_51
52;F;19;157;45;data/user_tests/u_52
53;F;20;158;45;data/user_tests/u_53
54;F;19;172;60;data/user_tests/u_54
55;F;22;160;60;data/user_tests/u_55
56;F;18;165;60;data/user_tests/u_56
57;M;18;170;89;data/user_tests/u_57
58;M;20;180;89;data/user_tests/u_58
59;M;22;182;89;data/user_tests/u_59
60;M;19;178;45;data/user_tests/u_60
61;M;18;176;45;data/user_tests/u_61
