(14281+2.9309887850104133e-13j),(17266+6.927791673660977e-13j),(37462+8.206768598029157e-13j),(41448+1.3500311979441904e-12j)
(-0.2064356050359324+17.02351031114808j),(-22.19579293811144-5.614923470716936j),(15.608730321560898-50.80666238149168j),(21.34397885557985-66.08728566911708j)
(65.89299088424296+30.84629088603682j),(55.77400300405327+2.9840873111077784j),(25.790573822187433-9.233299315902944j),(25.0593533822802-47.89541382044642j)
(36.01075619005412-4.861959005605157j),(14.252553718020675-9.317860670840773j),(25.84045588278983-13.346754485009935j),(6.121451439967239-32.027740021968j)
(-7.885547783868331-24.55704163070822j),(-20.176135595388278-36.06851212642722j),(-3.2726616448962917-15.205492452090128j),(5.805484666375343-23.160052117734963j)
(-17.482475641100606-39.53327586045268j),(37.017209551559276-18.93731216547266j),(34.16691107599068-21.01731320418599j),(29.058137597455456+4.067814988182651j)
(-25.918064295849533+10.609385234925616j),(-10.751937736296997+15.168528951790893j),(5.756126907331874-9.394973730042812j),(4.161447640407902+1.426711216783751j)
(13.911754647008769+4.816826148278698j),(-16.094787932674077+5.326696998915938j),(19.349566224419426+0.8150476739586066j),(21.309536439811872+1.1800930943141381j)
(21.330910809900825+7.475627583110404j),(35.44952304119974+26.65790213386413j),(12.445862157284152+4.992322923738925j),(9.112989276117492-10.710388390336043j)
(26.505549988088063-0.684654239088168j),(-3.271732931955219-20.783395350624165j),(-4.520516721301043+3.6818104490158325j),(26.68087328571475+13.638991996679508j)
(19.09347291196163-18.394375865350312j),(45.13185806670604-3.4781457563900915j),(-4.548151300589852+7.449904550354252j),(2.1812312455806815-27.32223102868149j)
(-4.47362578853299-2.4596847676170484j),(6.366041849730435-0.26713658547070795j),(29.164823014395193-6.420159962761948j),(35.61397530942675+3.057685513052099j)
(4.090136902551967-4.616806256271149j),(28.899163599217857-20.33471977808886j),(17.31943759723477+10.806063116386943j),(27.579037779222034+3.9792549198553395j)
(-0.9540387158425778-15.745838451217898j),(16.3548655101367+17.678627086270783j),(4.174779272468917+0.531973228131635j),(15.331586646116612+10.433644776126688j)
(-11.846634211294672-9.710099696634387j),(-1.6196491271300475-4.044471761881125j),(5.949839550609827+8.883701537851213j),(19.818147622259364-10.82937853016954j)
(-18.117132087341286-16.422282012678167j),(22.06516747496551+6.728630376428834j),(39.574696434560764+9.689395071825167j),(32.661697757616366+3.838158728935209j)
(-6.203677247280364+22.19153273169678j),(-15.683313528020436+35.77297329819907j),(37.012441965535594+5.698848318139282j),(11.135844075032173+9.751987020219639j)
(17.504002484904795+28.74047418890227j),(8.950220872323221+10.151946040368744j),(25.925575022188053+16.676192197445218j),(18.306480470186003-3.809780180607386j)
(15.158216081625678+22.350205522728494j),(47.291133896524286+33.08731491325595j),(13.834558301388256+1.6584767881893967j),(32.26523854000598+12.655970441652997j)
(13.596430432984139+3.8233697787602257j),(15.94718001896336-9.577208500893638j),(18.062425697082528+7.908009953977751j),(20.330139602336082+31.915962342100432j)
(9.679345335630154-18.102466274584845j),(39.882581665120426+6.400092679242278j),(9.507773831523032+17.73846630522101j),(31.864498558460333-5.270522981096237j)
(-8.21177767781733-11.290653763307624j),(-4.0797080642470736+7.058137114583215j),(26.928642279677504-1.2481196274844564j),(23.624002523396953+14.66694369191207j)
(-9.848903425975879-19.19771534868982j),(-2.712272117025549-37.56523243780582j),(24.007056903351568+14.219604820518946j),(6.0456637386782335+15.392146814485471j)
(-26.176526352794284+6.16973229446316j),(21.44738958396826+24.464331874433896j),(11.782052250867581+11.122532385539552j),(7.485475495695621+18.013901384575092j)
(-3.060751675146752+5.828015563946847j),(2.785484079592085-15.37253370124652j),(31.507951327414933+7.64724152673373j),(23.119686922353253-2.5864414892668632j)
(-6.932656355991744+0.524063471278948j),(-4.506774132343299-8.738529927557837j),(36.82642898391959+0.39787882032265864j),(13.023742051307078+1.9723463731136939j)
(-13.202223149835678+11.029940729552608j),(-9.678404106560377+25.416908982999963j),(23.504211331451145+12.480026230867637j),(16.446737213717636+6.380095465424087j)
(-1.0002342616109448+6.353690985321588j),(9.296341306176338+11.374654248937878j),(25.051472558647667-7.849363490395183j),(19.80641236252188-0.45371691017195515j)
(16.38130315609648+14.080154975992853j),(39.81304403094714+11.96029482124312j),(9.659825959139908+6.481444933991968j),(22.92722943114159+10.668359154347918j)
(17.788020854437917+8.873571066691746j),(-5.146247873631892-22.90040961526411j),(17.161365127190585+16.990093403700314j),(8.140977794043396+35.22336270796101j)
(18.306097798518877-10.759161305030501j),(7.24408847198227-17.807645899820983j),(19.406474204360467-26.735275252269616j),(15.012260113703125+2.5428088446676216j)
(6.016270961638183-23.524257502316072j),(-1.4415532756992564+15.600286486220268j),(-8.613548284513614+7.31513465255058j),(16.33075451521817+13.674538453023375j)
(-28.36090261891262-12.52630375771244j),(-6.653865153560632-23.00793876892234j),(18.133581599019337+11.686219337970142j),(9.625665885469587+6.5976043623147j)
(-18.00566978649702-6.976313294238859j),(9.532381182372397+29.340898063777473j),(5.2032727517071935+5.069960144482664j),(12.981649714262192+13.244266378854801j)
(-0.8746772397083582+13.97784740061561j),(4.087847569148323-0.34806688755694903j),(17.566379816804137+10.900894803008676j),(30.141326292831693+16.497182495118544j)
(10.11087741194328+14.93555459762535j),(15.622565808451956+23.142101144565864j),(7.016078384896307+29.92658388919042j),(0.7977251542989627+18.779855358138754j)
(22.010484144818797+14.941440899336861j),(-13.514539614145265+38.53077367643755j),(0.6619245190173191+6.851396596354889j),(13.114289717467909+14.628399235439542j)
(9.126406258763158+13.943052563885376j),(35.661250324065136+10.889641393508947j),(29.329468248112907+15.930589907277117j),(11.980902170601855+28.309378522627842j)
(1.4260770272944572-6.006541935350425j),(30.855244951263217+33.59629865518408j),(3.157563598067018+19.1066274138865j),(11.300086152856082+43.403282699169694j)
(9.06609133426368-3.3594344270212506j),(-14.437131080318686+24.740026089358093j),(18.730303921817686+29.69818457436849j),(16.848156298931578+37.084074305858536j)
(18.420157790061012+0.5273775174296134j),(17.77569120997814-8.679039810198876j),(-9.50572866537805+17.70268123142202j),(13.999729763226716+19.087237785781745j)
(3.570287601149836+4.415578915236592j),(-17.547318811354806+52.53517771465239j),(8.728398401124334+10.023600526738779j),(30.222004761088645+25.553321674515214j)
(-14.395992178917469-6.535752826604814j),(-5.2375774603400185+18.547308489342548j),(1.338035616512503+31.814469902703266j),(22.8507292254585+30.821903035123526j)
(-10.723214721509834+7.306762959304493j),(-2.0272573009227752+30.77435920118118j),(37.794401721484775+28.697215270921372j),(25.556420319335523+25.811264476066416j)
(-14.594733168477696+24.86328397139269j),(-7.775255540623224+27.209069611605997j),(31.381824036930624+32.54280126724187j),(37.576226155424976+48.68499791661816j)
(-2.859806462819224+23.690227886086443j),(6.97118476799935+38.10206430535844j),(6.376203252299566+49.80759355590205j),(19.225798081252748+41.05961109908753j)
(28.542650580776783-0.8133743245144274j),(13.170865002046678+69.54701280415186j),(27.354515255570515+30.99629399372471j),(30.96320130869344+43.39862309590447j)
(-1.6181153356431333-12.029992992901484j),(23.928838860686984+36.79820800483867j),(19.491263627796393+68.86949062436577j),(25.45444793437533+65.69593415733846j)
(-3.1142472148557316-11.248843002444918j),(26.034988010311558+35.64569811253101j),(14.929657999556465+74.00971553436518j),(13.212691556863689+81.36280859407287j)
(5.367753720296786-2.4534751349922463j),(-14.373841733213542+51.97781405678874j),(44.8517144036029+89.05180701097517j),(11.366046676218907+64.44135027143841j)
(0.12214784750300867+7.418217227773845j),(22.78768262991908+35.77668032274926j),(-2.894451702881369+92.65230145033051j),(31.238933419146377+99.04035349260359j)
(10.039162813898313-2.85750497118078j),(5.188376883438837+75.85691585287353j),(5.3159993259549445+108.6920552430202j),(10.508383829179976+124.77212110810578j)
(-12.657461908835415+1.6423729700783887j),(6.138408068309268+79.02789816823267j),(-12.4796789637802+110.7145202631606j),(9.371902746341178+126.77014207764125j)
(-29.260275500070065+3.9235815485980226j),(37.58746028656957+112.64458800378796j),(25.82582090898726+137.96595100817765j),(43.40598481644076+135.1138575384056j)
(-13.949240003295088+35.292853698701904j),(-2.8368267652661103+145.2609736077562j),(37.213663503831015+217.00642313199495j),(28.318894870091526+232.83989907586727j)
(16.306221519201053+94.79658968305637j),(45.104986526317276+242.04337429095568j),(26.303174335033873+368.9553743920618j),(30.51389719344857+383.61208482092593j)
(24.561462925242452+168.07891051839454j),(23.84630099676326+721.336305920797j),(24.81143405063483+1049.6599763545014j),(26.720833604955146+1170.0480153366693j)
(24.561462925242566-168.0789105183943j),(23.846300996763887-721.3363059207963j),(24.8114340506354-1049.6599763545005j),(26.720833604954805-1170.0480153366675j)
(16.30622151920081-94.79658968305569j),(45.10498652631769-242.04337429095585j),(26.303174335035976-368.95537439206004j),(30.513897193451243-383.6120848209264j)
(-13.949240003295097-35.292853698702174j),(-2.836826765265883-145.26097360775643j),(37.213663503831-217.00642313199643j),(28.31889487009333-232.83989907586738j)
(-29.260275500068918-3.9235815485978485j),(37.5874602865702-112.6445880037877j),(25.82582090898851-137.96595100817663j),(43.40598481644291-135.11385753840554j)
(-12.657461908835598-1.6423729700782836j),(6.138408068309262-79.02789816823214j),(-12.479678963780096-110.71452026315941j),(9.37190274634008-126.77014207764105j)
(10.039162813898578+2.857504971181612j),(5.1883768834389485-75.85691585287249j),(5.315999325954734-108.69205524301775j),(10.508383829180085-124.77212110810252j)
(0.12214784750267338-7.418217227774152j),(22.78768262991982-35.77668032274995j),(-2.894451702879813-92.65230145033338j),(31.238933419147983-99.04035349260568j)
(5.3677537202973085+2.453475134991639j),(-14.373841733213364-51.97781405679028j),(44.851714403603495-89.0518070109768j),(11.366046676219266-64.44135027143977j)
(-3.114247214856434+11.248843002444854j),(26.034988010310446-35.64569811253111j),(14.92965799955554-74.00971553436533j),(13.212691556861746-81.36280859407273j)
(-1.6181153356431828+12.029992992902171j),(23.92883886068654-36.79820800483832j),(19.491263627795043-68.86949062436395j),(25.454447934373043-65.6959341573363j)
(28.542650580776687+0.8133743245140899j),(13.170865002046433-69.54701280415264j),(27.354515255570092-30.996293993726116j),(30.96320130869372-43.39862309590657j)
(-2.859806462817919-23.690227886087378j),(6.9711847679975385-38.10206430535985j),(6.376203252301593-49.80759355590545j),(19.22579808125164-41.059611099088585j)
(-14.59473316847759-24.86328397139248j),(-7.775255540623409-27.20906961160604j),(31.381824036930027-32.5428012672438j),(37.57622615542465-48.68499791661849j)
(-10.723214721510347-7.306762959304763j),(-2.0272573009229085-30.77435920118102j),(37.79440172148571-28.69721527092038j),(25.556420319333768-25.811264476065567j)
(-14.395992178916599+6.535752826605165j),(-5.237577460339844-18.547308489342463j),(1.3380356165140235-31.81446990270169j),(22.850729225461507-30.82190303512236j)
(3.5702876011502833-4.415578915236597j),(-17.54731881135507-52.53517771465228j),(8.728398401123613-10.02360052673887j),(30.222004761088883-25.5533216745142j)
(18.42015779006091-0.5273775174300752j),(17.775691209978106+8.679039810199065j),(-9.50572866537877-17.702681231421384j),(13.999729763226348-19.087237785781447j)
(9.066091334263723+3.359434427021228j),(-14.437131080319013-24.74002608935809j),(18.730303921818102-29.698184574368582j),(16.848156298932242-37.08407430585687j)
(1.4260770272946202+6.0065419353514145j),(30.855244951263323-33.59629865518356j),(3.1575635980685295-19.106627413884933j),(11.300086152856467-43.403282699166255j)
(9.126406258763126-13.943052563885502j),(35.661250324065115-10.8896413935088j),(29.32946824811306-15.93058990727718j),(11.980902170602405-28.309378522627224j)
(22.01048414481885-14.941440899337259j),(-13.514539614143692-38.53077367643745j),(0.6619245190155699-6.851396596353461j),(13.114289717468989-14.628399235441622j)
(10.110877411943843-14.93555459762548j),(15.622565808451709-23.142101144565334j),(7.016078384896695-29.926583889190997j),(0.7977251542991892-18.7798553581395j)
(-0.8746772397083777-13.977847400616021j),(4.087847569147921+0.3480668875566131j),(17.56637981680477-10.900894803010472j),(30.14132629283235-16.497182495121173j)
(-18.005669786496934+6.976313294238892j),(9.532381182372232-29.340898063776187j),(5.203272751707587-5.069960144479214j),(12.981649714261463-13.244266378852494j)
(-28.36090261891363+12.52630375771213j),(-6.653865153560838+23.007938768922955j),(18.133581599021397-11.686219337971172j),(9.625665885472277-6.597604362314631j)
(6.016270961637845+23.524257502316704j),(-1.441553275699757-15.600286486219876j),(-8.61354828451411-7.315134652549811j),(16.33075451521843-13.674538453022397j)
(18.3060977985191+10.75916130502999j),(7.244088471982846+17.80764589982109j),(19.406474204361384+26.735275252270913j),(15.01226011370258-2.542808844666064j)
(17.78802085443788-8.873571066691595j),(-5.1462478736318795+22.900409615263857j),(17.16136512719095-16.990093403700786j),(8.140977794043197-35.2233627079618j)
(16.38130315609642-14.08015497599327j),(39.81304403094651-11.960294821242949j),(9.659825959140171-6.481444933992581j),(22.92722943114146-10.668359154347375j)
(-1.0002342616110886-6.353690985321135j),(9.296341306175977-11.374654248938004j),(25.05147255864802+7.849363490396216j),(19.806412362520042+0.45371691017582894j)
(-13.202223149835488-11.029940729552813j),(-9.678404106561565-25.416908983000095j),(23.504211331450445-12.480026230866972j),(16.4467372137163-6.380095465423295j)
(-6.932656355991848-0.5240634712781849j),(-4.506774132343065+8.73852992755869j),(36.826428983920565-0.3978788203206536j),(13.023742051307693-1.9723463731109003j)
(-3.0607516751469745-5.8280155639469235j),(2.785484079591683+15.372533701246013j),(31.50795132741341-7.647241526733362j),(23.119686922351555+2.5864414892668988j)
(-26.17652635279442-6.169732294462467j),(21.44738958396907-24.464331874433853j),(11.78205225086931-11.122532385538385j),(7.485475495696149-18.01390138457504j)
(-9.848903425975434+19.197715348689716j),(-2.7122721170242343+37.565232437806344j),(24.00705690335273-14.219604820519336j),(6.045663738680254-15.392146814485503j)
(-8.211777677817555+11.290653763307395j),(-4.07970806424673-7.058137114584057j),(26.9286422796769+1.2481196274815654j),(23.624002523397536-14.666943691912346j)
(9.679345335630003+18.1024662745839j),(39.882581665120355-6.400092679243755j),(9.507773831522695-17.738466305222737j),(31.864498558462568+5.270522981094697j)
(13.596430432984143-3.823369778760605j),(15.94718001896381+9.577208500893008j),(18.06242569708194-7.908009953977989j),(20.330139602335667-31.915962342100507j)
(15.158216081625449-22.350205522728537j),(47.291133896524634-33.08731491325485j),(13.834558301389634-1.658476788187997j),(32.26523854000593-12.655970441652991j)
(17.504002484904397-28.740474188902127j),(8.950220872322719-10.151946040368989j),(25.92557502218679-16.67619219744489j),(18.306480470184457+3.8097801806056886j)
(-6.203677247280304-22.191532731697173j),(-15.683313528020623-35.77297329819947j),(37.01244196553462-5.698848318140136j),(11.135844075032438-9.751987020221161j)
(-18.117132087342334+16.42228201267693j),(22.06516747496395-6.728630376429998j),(39.574696434558604-9.689395071827617j),(32.6616977576129-3.8381587289378967j)
(-11.846634211294123+9.710099696633986j),(-1.61964912712965+4.044471761880529j),(5.949839550609888-8.8837015378508j),(19.81814762225946+10.829378530166903j)
(-0.9540387158433954+15.745838451217063j),(16.354865510136687-17.678627086270655j),(4.174779272468386-0.5319732281315401j),(15.331586646116511-10.433644776125657j)
(4.090136902551884+4.616806256271169j),(28.89916359921723+20.334719778089404j),(17.319437597234444-10.80606311638563j),(27.579037779222077-3.9792549198540605j)
(-4.473625788532971+2.4596847676184073j),(6.36604184973003+0.26713658547110297j),(29.164823014394912+6.420159962763393j),(35.61397530942536-3.057685513052321j)
(19.09347291196208+18.39437586535027j),(45.13185806670626+3.47814575638985j),(-4.548151300589085-7.4499045503549395j),(2.1812312455815235+27.32223102868277j)
(26.505549988088216+0.6846542390888661j),(-3.2717329319552118+20.783395350624517j),(-4.520516721302177-3.6818104490165666j),(26.68087328571438-13.638991996678207j)
(21.330910809900153-7.4756275831113195j),(35.44952304120044-26.657902133864162j),(12.445862157283914-4.992322923738527j),(9.112989276119311+10.710388390334025j)
(13.911754647008777-4.8168261482789685j),(-16.09478793267499-5.326696998915951j),(19.349566224418542-0.8150476739577046j),(21.309536439813332-1.1800930943148487j)
(-25.918064295850673-10.609385234925252j),(-10.75193773629832-15.168528951790954j),(5.756126907331389+9.394973730043755j),(4.161447640404833-1.4267112167838483j)
(-17.482475641101036+39.533275860453216j),(37.01720955155919+18.937312165473735j),(34.1669110759894+21.01731320418775j),(29.058137597453968-4.067814988180906j)
(-7.885547783868862+24.557041630708017j),(-20.17613559538973+36.06851212642589j),(-3.2726616448973553+15.2054924520871j),(5.805484666371924+23.16005211773214j)
(36.010756190053904+4.861959005604556j),(14.252553718020353+9.317860670840568j),(25.840455882789612+13.346754485009019j),(6.12145143996696+32.02774002196612j)
(65.89299088424362-30.84629088603713j),(55.77400300405414-2.984087311108346j),(25.790573822188296+9.233299315903569j),(25.059353382279895+47.895413820445626j)
(-0.20643560503577502-17.023510311148115j),(-22.19579293811181+5.614923470715883j),(15.608730321561357+50.806662381489396j),(21.343978855580133+66.08728566911496j)
