(5527+0j),(6966+0j),(16482+0j),(18557+0j)
(81.10951751052775-71.69220529815632j),(113.22369855432595-103.97976105665515j),(37.26893718320662-25.31174311671087j),(-3.8463109581974795-7.162826223360198j)
(1.2932598344355757-33.61979185426884j),(-23.515287308419857-55.623616788003545j),(43.710543423667865-12.650577954545922j),(40.05838793703816-1.1583219105714413j)
(-2.526759475694071-21.93871676881319j),(26.801279044948807+9.20852878282729j),(39.5175717004468+3.6433558123867194j),(23.999326922845754+8.163704811326774j)
(74.05327995162749-13.31677726417885j),(71.67057837914868+11.287542312985423j),(29.948818174102342+11.226291802983383j),(0.512537913223742-0.04834767492279468j)
(29.95545875820993-41.94620775082922j),(53.81096805509449-65.24997387717194j),(10.182147437999152+3.950836769619672j),(-9.682001671966477+23.71755226890333j)
(-5.311658505122921-31.90324492217855j),(-28.148925860743656-33.33331210917222j),(28.589708757511772-2.0894631524614447j),(24.955299041279858+27.675966490423896j)
(-6.656440697591279+0.6034228196978195j),(9.479426188898515+9.347680008964662j),(33.770241820425326-4.175258800408455j),(3.5111221042780016-15.795570603482192j)
(27.725691215582547-26.774931318477478j),(8.016652745506342+20.396003523421825j),(41.09364909827533+5.052109703763975j),(24.04900797028969-4.337131743601207j)
(0.45143726601902934-1.15230360691762j),(48.204936250987956-11.99849394484097j),(33.63290904473355+16.308012139068147j),(31.348528368487965+4.783935682965058j)
(6.378027265942187+5.067417211181823j),(3.6740747448127777-3.2241804478787213j),(14.700149781940794+7.8350574573934j),(23.72480762086075+23.80168126534241j)
(-2.4891924265591996+10.725832615925306j),(10.305446141565687-3.532424039702221j),(24.499033978066773+10.823668123478221j),(9.365994425786516+46.218663278566325j)
(29.345620032820257-32.21026268189355j),(10.266208753298415+16.38328080144999j),(36.87323798563177+5.33465214296975j),(-12.482914351779673+30.48990135383304j)
(1.9520056626601061+14.168617471920363j),(34.69051759273395+17.847509959565215j),(31.484202051318675+26.49868562192606j),(18.17288155211635+17.800416586580948j)
(22.810962433477584+3.69296569511852j),(28.962263292055695+3.3124769006473613j),(18.7014146511533+23.736977508870375j),(35.01386903718412+10.242838051961524j)
(5.74323809036282+13.961985796150932j),(14.975401934013961-21.027396350409205j),(22.405634468078482+18.242466109418636j),(14.696365632773311+29.207936109439373j)
(5.469707132582258-22.73388448959568j),(-0.8173951675246958+39.3844199270342j),(22.08994579772853+28.951029346090962j),(26.59628582861965+42.38211726627982j)
(-0.7414523638192954+9.144397828867108j),(24.066544410281697+38.224771145646415j),(33.559722815621484+25.232466183339163j),(18.749753227597452+36.53979037714001j)
(31.108626951390313+10.517821691658554j),(43.48060370948875+14.285607730209215j),(27.148615957887536+39.96493533403729j),(11.32989489849624+57.64469253466277j)
(5.5850959624302146+27.554723966557773j),(12.996025946975184-3.6891648664518737j),(27.638343348523513+39.842936238059266j),(5.204255359142238+21.797377212043486j)
(7.0028455012519935+9.216068602680782j),(-13.7820377804682+40.12477054699326j),(17.882775224910098+50.76578049178957j),(12.745116172156845+43.607226228064235j)
(13.345478264113353+18.84802072567159j),(13.558310519045506+52.34642657558088j),(19.02834352842092+71.15386927422145j),(20.975008858536967+61.913925880626394j)
(11.141060212994295+3.954328908727957j),(46.27209942749984+84.18603787007288j),(47.86837905573215+101.54348289393867j),(20.149715740286933+106.94030035883958j)
(20.499353099152287+38.8404610193929j),(28.040911404604245+73.83983930752368j),(34.699933348633046+182.4935390915557j),(28.70659406808025+177.59898915743184j)
(15.254838323206268+82.67929830748034j),(-1.232300978130361+290.20915704015863j),(25.205741365983542+511.9530527472901j),(6.646474302861111+514.800537081305j)
(15.254838323206268-82.67929830748034j),(-1.2323009781303593-290.2091570401586j),(25.20574136598354-511.9530527472901j),(6.646474302861107-514.800537081305j)
(20.499353099152284-38.8404610193929j),(28.040911404604245-73.83983930752368j),(34.69993334863305-182.49353909155565j),(28.706594068080246-177.59898915743184j)
(11.141060212994294-3.9543289087279456j),(46.27209942749983-84.18603787007287j),(47.868379055732156-101.54348289393866j),(20.14971574028693-106.94030035883956j)
(13.345478264113353-18.84802072567159j),(13.558310519045506-52.34642657558088j),(19.02834352842092-71.15386927422145j),(20.975008858536967-61.913925880626394j)
(7.002845501251995-9.21606860268078j),(-13.782037780468215-40.12477054699327j),(17.882775224910095-50.765780491789556j),(12.745116172156845-43.607226228064235j)
(5.585095962430217-27.554723966557766j),(12.996025946975195+3.6891648664518755j),(27.63834334852352-39.842936238059266j),(5.204255359142243-21.797377212043486j)
(31.108626951390317-10.517821691658554j),(43.480603709488754-14.28560773020925j),(27.148615957887536-39.96493533403731j),(11.329894898496264-57.64469253466274j)
(-0.7414523638192936-9.144397828867099j),(24.0665444102817-38.224771145646415j),(33.5597228156215-25.232466183339113j),(18.749753227597477-36.53979037713998j)
(5.469707132582258+22.733884489595674j),(-0.8173951675246993-39.38441992703419j),(22.089945797728532-28.951029346090948j),(26.59628582861966-42.38211726627982j)
(5.743238090362823-13.961985796150934j),(14.975401934013968+21.027396350409205j),(22.405634468078482-18.242466109418636j),(14.6963656327733-29.20793610943936j)
(22.810962433477584-3.69296569511852j),(28.962263292055695-3.3124769006473613j),(18.7014146511533-23.736977508870375j),(35.01386903718412-10.242838051961524j)
