(8515+0j),(10313+0j),(24071+0j),(26758+0j)
(43.852422437058216-53.61585741767159j),(63.09728844910475-25.124643751643408j),(24.509622961743613-18.20351914899636j),(-16.95926945844288-24.10385168989668j)
(156.81370498524285+20.494592867645885j),(131.95641684375744+5.547074629162731j),(17.569249152800573-3.0286917094647343j),(-17.922624639148253-49.99077658959975j)
(59.63653945161777+0.8654017079855407j),(68.19618764842264+11.664890028073021j),(16.464463810812216+4.057802531216387j),(-7.557057091684019-8.721153974143782j)
(41.90531615660538-119.71300243738361j),(34.47791377755263-77.90436643606664j),(0.7761921238642913+2.079933861501015j),(3.9719282466956933+31.890105134504616j)
(56.53299138613535-38.70690700792403j),(52.87431742377699-37.585947296452744j),(17.278329525725972-8.011130632385077j),(19.282329001373984+7.910357743492099j)
(-32.08501424516651-44.64910963389649j),(12.792192522137967-42.79454231562778j),(14.734996453706522+1.235904971067324j),(43.04338249286231+21.60969035071409j)
(2.366280086015079-45.27763522396724j),(30.10538044744071-27.700591803099925j),(10.206374476164992+11.101629350199275j),(16.49130756318474+29.67399945915554j)
(33.18309017012283-9.435462202970264j),(16.587801526875335+0.13539407318424423j),(17.093234830158316+12.651943708010151j),(0.9321436471938931-4.3374762197036745j)
(19.382775931873184-1.3931548709319461j),(9.196432147985998+1.770484088998181j),(14.581391544567808+17.417761838343957j),(19.87982816482171+28.59292459691242j)
(5.603886036613606-23.467581533307936j),(36.69132740007887-8.596675579006018j),(13.275892237004804+3.7520615820083236j),(15.529044557540994+17.725868897441707j)
(16.750525548497436-46.282778865935015j),(17.439890947191323-12.761775662445245j),(20.930804232406956-0.6964659317814785j),(26.080353717899378-7.150819968116721j)
(0.06040135540324343-22.347735167828844j),(17.70759652080804-21.72885360713962j),(23.113521491328754+0.8568258859662876j),(31.445499648553675+30.24714321401171j)
(-8.976847304241446-36.68786380761669j),(17.440997228298308-12.916865648122691j),(20.01342008017919+10.368906089848277j),(-3.662574295545669+13.625953090111203j)
(-14.897379174683866-24.159332899966028j),(-6.099910194481865-2.230009727040148j),(23.287150427810833+7.827159949399032j),(25.03149362315941+15.91234432310096j)
(8.517220926874415+3.836982214621537j),(5.0729490168751+2.7876572500036136j),(14.88196601125037+11.987951712088453j),(30.39918693812433+22.08630212733246j)
(-14.498349875986639+19.74926576876j),(13.399205624176485+6.262845539521135j),(17.77585321945817+7.765505511575695j),(22.245836282579116+0.18383651880711405j)
(10.113787800422244-18.40956972784505j),(7.946384490987844+0.886906014553678j),(16.16552568608632+4.314385993426079j),(15.376097675873563-17.333089183299215j)
(29.959755878201527+2.7944691736209286j),(13.489711247701933-7.724263024307855j),(12.105932003871446+10.357953028478939j),(24.26663663550204+9.090943220168036j)
(11.673138214486732-10.168613329541394j),(7.919562766568406+3.3525762620787596j),(14.292740476819569+12.065089808333171j),(0.9261467403042225+19.58869993050066j)
(14.035892321361931-10.366969357918288j),(13.615039458096906+13.188098388989738j),(19.165942384273173+15.782573068536273j),(0.7733990886268405+29.1611625963947j)
(14.647675058919226-12.405512072343775j),(14.402794093387897+10.723890930561481j),(11.015865967011086+17.826644658680532j),(7.913320457132455+35.33592051472539j)
(19.982837373555824+13.638738627490593j),(20.779659689565154+23.43168433180843j),(17.172815694291042+13.997457238043566j),(9.344425486652586+18.46793793220533j)
(-13.143920014920612+0.8620805124966537j),(11.23882555965483+14.844069516360129j),(19.075475030204174+7.323965826211108j),(13.860339443294558+23.960100816630074j)
(23.12140904627805-12.238697683009942j),(13.371226620985256+31.465463996307964j),(16.099781093509208+22.531358515310973j),(17.040637443623194+23.73830987837767j)
(37+20.784609690826528j),(23+20.784609690826535j),(12.499999999999988+30.31088913245536j),(7.00000000000003+29.44486372867094j)
(7.211203431405405+7.6356615170026885j),(19.281926540389804+25.36897955872044j),(16.520145005857742+30.528235267697323j),(1.8101659356552542+14.958673173096104j)
(25.061433898006356-1.2573536578310458j),(30.94159889158178+20.106727568530054j),(8.490678192445024+42.74897567348029j),(20.819571938125726+34.97285704836273j)
(23.094763843709345-2.1999992533216357j),(23.384704090823604+14.672573687609521j),(5.743727442013388+37.54375974919671j),(8.514878593017855+21.541008786221433j)
(6.6805622282521355+22.37528871807576j),(1.2194171339643667+27.416312727334503j),(14.88510312877975+49.20278137643305j),(34.28733874258989+40.06970050412893j)
(-6.0172209268744155-14.714875721006887j),(8.4270509831249+35.895389217230985j),(17.118033988750085+50.78177836339168j),(18.10081306187476+55.70857437002125j)
(23.114060223839545+3.564162986101488j),(26.26619378940657+45.88457273224995j),(22.327496194104288+59.42381318399701j),(17.938460772209062+37.55337883711409j)
(2.69359056189305+19.150778778952812j),(31.911802091313916+38.215220428464995j),(22.432024813413847+64.15260345420816j),(21.765416280987964+57.54176218459449j)
(-9.041856005108095-6.692475877029796j),(14.751010325857113+36.37722306513813j),(17.915574445291846+89.55858812307804j),(6.754839038253577+80.44107283917704j)
(3.261716401156164+30.71548655539604j),(7.0968117286327965+62.83402734159831j),(10.285062172904318+88.56886173962654j),(8.573310144223504+101.07419512836984j)
(6.827230255889134+20.410142409827735j),(6.319315718047225+92.87743426527203j),(5.279835852996022+143.20493778921167j),(22.41522735245818+140.00302285389168j)
(-3.2431203700248865+10.135791081967998j),(22.65124998113151+156.9433192070656j),(10.47779499745609+242.20227084909953j),(21.393341272809344+267.8868621898275j)
(16.31949690757031+81.29390883184543j),(4.549727468777566+465.6815369675147j),(8.937982850938717+735.6475979946529j),(8.894825497616093+755.1124649820096j)
(16.319496907570315-81.29390883184544j),(4.5497274687776255-465.68153696751483j),(8.937982850938702-735.6475979946528j),(8.894825497616093-755.1124649820094j)
(-3.243120370024881-10.135791081967998j),(22.65124998113151-156.9433192070656j),(10.477794997456094-242.20227084909953j),(21.39334127280936-267.8868621898275j)
(6.827230255889135-20.410142409827742j),(6.319315718047215-92.87743426527203j),(5.27983585299604-143.20493778921173j),(22.41522735245819-140.00302285389168j)
(3.2617164011561517-30.71548655539606j),(7.0968117286327885-62.834027341598336j),(10.285062172904315-88.56886173962653j),(8.573310144223502-101.07419512836987j)
(-9.041856005108098+6.692475877029796j),(14.751010325857115-36.377223065138125j),(17.915574445291853-89.55858812307804j),(6.754839038253586-80.44107283917704j)
(2.6935905618930427-19.15077877895283j),(31.911802091313923-38.215220428465j),(22.43202481341385-64.15260345420815j),(21.76541628098796-57.54176218459449j)
(23.114060223839548-3.5641629861014827j),(26.26619378940658-45.884572732249936j),(22.32749619410429-59.423813183997005j),(17.938460772209076-37.553378837114096j)
(-6.0172209268744155+14.714875721006887j),(8.4270509831249-35.895389217230985j),(17.118033988750085-50.78177836339168j),(18.10081306187476-55.70857437002125j)
(6.680562228252134-22.375288718075765j),(1.2194171339643685-27.416312727334496j),(14.88510312877975-49.20278137643305j),(34.2873387425899-40.06970050412888j)
(23.094763843709327+2.1999992533216446j),(23.38470409082356-14.672573687609521j),(5.743727442013382-37.543759749196724j),(8.514878593017867-21.54100878622141j)
(25.06143389800635+1.2573536578310471j),(30.941598891581787-20.106727568530054j),(8.49067819244503-42.74897567348029j),(20.81957193812572-34.97285704836273j)
(7.211203431405401-7.635661517002717j),(19.281926540389808-25.368979558720433j),(16.520145005857728-30.5282352676973j),(1.8101659356552222-14.958673173096145j)
(37.00000000000001-20.78460969082652j),(22.999999999999993-20.784609690826528j),(12.499999999999996-30.310889132455358j),(7.0000000000000115-29.44486372867093j)
(23.121409046278043+12.23869768300995j),(13.371226620985258-31.46546399630796j),(16.099781093509193-22.53135851531097j),(17.040637443623183-23.738309878377635j)
(-13.143920014920605-0.8620805124966608j),(11.238825559654806-14.844069516360122j),(19.07547503020411-7.323965826211122j),(13.860339443294503-23.960100816630074j)
(19.98283737355582-13.638738627490604j),(20.779659689565154-23.43168433180844j),(17.172815694291007-13.997457238043694j),(9.344425486652565-18.467937932205473j)
