(6574+0j),(7671+0j),(12200+0j),(12982+0j)
(7.47243313771207-6.436469758954832j),(-0.5056641035848486-5.274568565977367j),(1.3708173819386165+10.306754491365538j),(0.23804706023857136-1.4338156800937014j)
(0.514781719258508-12.719071366161886j),(4.6010552252157595+7.689147794993288j),(3.9601020859777236-11.443920652730432j),(-6.584083189687362-7.5295852412444715j)
(-0.43176215637086646-10.121445640788734j),(11.094560012529442-12.611061349574381j),(-7.249356504003315-1.9237152507055075j),(19.5091330756928-23.13450784938655j)
(-3.6669630083246147+9.376060264836084j),(-17.0368697172604+1.1373557860723553j),(-3.302929299201651+0.8829602014308735j),(-8.923704174124623+7.463136495520388j)
(7.572650225988273+2.442233884071551j),(9.44726857883513+9.290717810300285j),(-9.904353225355685-12.025779521674274j),(3.7069130386950846+8.561690903829218j)
(-0.8555992896978069-6.28434863865411j),(2.636671152708118-19.317287647884427j),(1.9081397059237588-2.8800335386333464j),(-5.853871196597311-11.377335700222403j)
(3.4325311120272683-1.6283013904853603j),(-11.276184997550647-3.7042605033499014j),(6.953522391366789-2.707216604583283j),(2.9861285609136106-5.12903370631216j)
(-3.0513268061026793-5.031117328647406j),(12.319584804311376+3.7989953167154553j),(-8.054371434713289-0.05769888838148207j),(-0.7745315602844585+9.740230595001403j)
(2.2934280310062976+5.074452592043658j),(-5.4464493511127365-14.755295270891565j),(3.099080759258424+5.662309388703205j),(-11.466018305913554+4.770549192113109j)
(-3.1129902987995592-3.11513929583822j),(-5.4426503398365185+8.504032160126973j),(-0.24076300354340674-4.363750471262854j),(-4.703271487865436-14.580857172460684j)
(-5.244797137227113+6.830068344498819j),(12.704101449602843+4.181544343571168j),(-12.776668011740393-0.5200752134334681j),(13.854685256416033-4.128018057434259j)
(0.8553553133964442+10.3145270452098j),(-7.553014508011131-1.133270566342624j),(0.04884886230320262+3.103884676799821j),(4.092477836409898-0.4479390477529517j)
(6.349473016550366-0.9604418680801339j),(2.2683686852385483+10.605801785068774j),(0.43624803328574036-7.6901718940605j),(-2.0159315352630793+6.2713296089365045j)
(0.2592369578002831+0.17765133251699083j),(2.926146054634046-12.895630717465188j),(-2.3169738757874256-6.510595410474793j),(-4.045179381481262-4.080724727691095j)
(-0.8487386080381629+1.6472223298857005j),(-4.143712306236133+8.929259252773408j),(-1.600596425706519-2.7575284157494204j),(12.462895222493428-13.06061886474302j)
(-9.74238551727538-7.135045947452903j),(12.03796783058283+12.57843573682256j),(-4.611495050406859-6.370064241690453j),(-9.106206835500132-2.5961718595013217j)
(8.904782378351875-4.819401491305327j),(0.3577120322784144-15.505880201939888j),(8.171305600956337-2.1901607420414537j),(3.724147626727147+6.66492073457081j)
(-9.700109070255202+4.150365819879456j),(-1.9888905023431391+3.6913761893749406j),(2.109442009448827+4.366594751845805j),(4.898369989130515-11.405990187758906j)
(340+0j),(389+1.7763568394002505e-15j),(536+1.1102230246251565e-15j),(560-4.884981308350689e-15j)
(-9.700109070255202-4.150365819879456j),(-1.9888905023431391-3.6913761893749406j),(2.109442009448827-4.366594751845805j),(4.898369989130515+11.405990187758906j)
(8.904782378351854+4.819401491305328j),(0.3577120322784424+15.50588020193989j),(8.17130560095643+2.190160742041458j),(3.7241476267270173-6.664920734570805j)
(-9.74238551727538+7.135045947452903j),(12.03796783058283-12.57843573682256j),(-4.611495050406859+6.370064241690453j),(-9.106206835500132+2.5961718595013217j)
(-0.8487386080381336-1.6472223298857038j),(-4.143712306236111-8.92925925277341j),(-1.600596425706506+2.757528415749424j),(12.462895222493431+13.060618864743024j)
(0.2592369578002831-0.17765133251699083j),(2.926146054634046+12.895630717465188j),(-2.3169738757874256+6.510595410474793j),(-4.045179381481262+4.080724727691095j)
(6.349473016550368+0.9604418680801314j),(2.2683686852385625-10.605801785068772j),(0.4362480332857299+7.6901718940604935j),(-2.015931535263066-6.271329608936512j)
(0.8553553133964442-10.3145270452098j),(-7.553014508011131+1.133270566342624j),(0.04884886230320262-3.103884676799821j),(4.092477836409898+0.4479390477529517j)
