(17731+1.5987211554602254e-13j),(20510+5.471179065352771e-13j),(32711-2.4158453015843406e-13j),(34631+2.2737367544323206e-13j)
(-165.3530828022328+65.39904340640773j),(-159.32006149419578+2.8059129811949353j),(22.969833628456264-11.083060951148392j),(78.23814564752587+18.002166122422565j)
(3.8899249234667623-54.25939807938464j),(19.60512138834318-61.018200033097784j),(-26.89548890570046+19.397025498541666j),(-26.277271027756917+21.19311693065113j)
(-40.31697180698718+10.029279284040976j),(-74.64680750142338+13.493032239636328j),(-4.330233808986526-11.991705581818039j),(29.44153286801086-5.772610266777475j)
(-67.66548202137716+67.00344192362611j),(-77.51807150773848+59.65261213756719j),(13.473074235403512-16.594134635975756j),(10.000067110868962-56.92868119509943j)
(6.270857067349999+20.646514458513256j),(-9.606291434966394+13.408552539482738j),(-5.646383826717554-8.751784105633748j),(-11.69073016569544-8.97521695465057j)
(-32.72473921726805+29.83205154450208j),(-12.279026096955699+41.618004479928736j),(-25.021676501534767-11.492893664127658j),(-8.36277010013905-39.58062698113046j)
(-31.265888007608297+46.294167669589434j),(-27.778763657793647+47.15849327344766j),(1.117443867903881+9.452157892881635j),(3.535653122902471-27.886792940522973j)
(1.4071023292054496+19.792160552552748j),(-6.552349929028308+19.399412815486144j),(-22.645117745153716-2.4394686431146226j),(-22.633508810900185-14.565761507861254j)
(-26.3024488417104+31.85956885971139j),(-6.614677546698768+40.88219610311964j),(-14.31683872607858-1.6831748965201028j),(-16.618537592406508-18.93360777717796j)
(-13.653199416092423+15.955987493955375j),(-9.645849134724237+20.901501957779598j),(-21.366019680216553-5.383390363593117j),(-13.253690245103556-24.979049136357535j)
(16.36143661917979+13.238755941244682j),(-22.807412195895562+25.551588283992842j),(-29.601806704693708-15.985576681583696j),(-7.6872048881824675-9.601271656630882j)
(-7.905580510361588+48.233048331380004j),(-37.78456921176709+25.269385514316934j),(-7.849600295428829-11.452397989205268j),(-26.165947410703428-8.368924960598289j)
(-23.8795769089204+37.62538394980122j),(-21.67429248273386+40.340804037830864j),(-3.980341167376862-6.856358751293443j),(-18.644157507127225-23.506549869611472j)
