(11408-1.8474111129762605e-13j),(19465+1.9184653865522705e-13j),(56399+8.242295734817162e-13j),(59781+1.7053025658242404e-13j)
(-10.359516934325125+6.148580696175365j),(-34.65746394501364-67.76352377329782j),(27.634873124334213-147.14581453766425j),(-116.55076331498799+460.7882167063589j)
(-15.212578015154351-108.64494888593937j),(16.92588061812134-15.748283787927203j),(161.10715189214028+399.7549353066467j),(-1069.7589196195454-763.3148736032978j)
(-20.341451195059168-56.10535892095959j),(-8.345127254247338-58.64494267516079j),(130.2138068770479+25.06392591843271j),(-779.7852703352719-113.41613101085255j)
(-4.2989399342785255-16.65046219573004j),(-62.948401192632325-17.174462647021425j),(255.72824055688596-247.0926606126297j),(-1366.4095617853154+486.5816582313803j)
(39.8131739671164-30.024397695502422j),(-38.18370444583107-108.53978932213788j),(422.2316333375429-320.1345963399848j),(-2647.2238336239075+678.7534564596721j)
(-41.22105587253664-178.42005684205301j),(-15.274577503665327-127.07948242903475j),(-819.4047116184752+421.5757784936283j),(4658.203309583391-1021.2927270116475j)
(-53.72542230491498-117.0036934858868j),(8.10004754184834-176.4694900821684j),(-104.91669407938583+80.0415299709303j),(1025.0499823671964-114.35575269158562j)
(20.18633268954533-167.3484186292028j),(-10.63201107572749-229.73219930374034j),(-262.2258626254889-68.18847217163781j),(1039.0227883544367+288.9567639199826j)
(-16.91036333359162-262.13703862214663j),(-70.88018250107311-374.78847770784245j),(-243.19426575082687-236.17185964861093j),(725.5704022839577+444.08373887922414j)
(-34.45821438262482-888.7650132918158j),(-9.661117006067286-1016.5069489701718j),(2.224836710126702+126.36941032865978j),(591.7034705872107-475.7101188105361j)
(-34.45821438262465+888.7650132918163j),(-9.661117006066661+1016.5069489701716j),(2.2248367101277964-126.36941032866133j),(591.7034705872103+475.71011881053516j)
(-16.91036333359105+262.1370386221463j),(-70.88018250107282+374.78847770784324j),(-243.1942657508268+236.1718596486109j),(725.5704022839583-444.0837388792247j)
(20.186332689545154+167.34841862920257j),(-10.632011075727902+229.73219930374077j),(-262.22586262548884+68.18847217163736j),(1039.0227883544378-288.9567639199825j)
(-53.72542230491457+117.00369348588711j),(8.100047541848909+176.46949008216993j),(-104.91669407938441-80.04152997092632j),(1025.0499823671955+114.35575269158943j)
(-41.22105587253735+178.42005684205324j),(-15.274577503665821+127.07948242903608j),(-819.404711618475-421.57577849362553j),(4658.203309583389+1021.292727011649j)
(39.81317396711631+30.02439769550271j),(-38.183704445831125+108.53978932213798j),(422.23163333753905+320.1345963399846j),(-2647.2238336239066-678.7534564596738j)
(-4.29893993427857+16.650462195729617j),(-62.948401192632204+17.17446264702054j),(255.72824055688716+247.09266061262838j),(-1366.409561785314-486.58165823138296j)
(-20.341451195058937+56.10535892095994j),(-8.345127254247288+58.64494267516156j),(130.21380687704612-25.063925918431202j),(-779.7852703352733+113.41613101085267j)
(-15.212578015153342+108.6449488859404j),(16.92588061812182+15.748283787928038j),(161.10715189214065-399.7549353066478j),(-1069.7589196195447+763.3148736032995j)
(-10.359516934324677-6.148580696175154j),(-34.65746394501241+67.7635237732976j),(27.63487312433631+147.14581453766385j),(-116.55076331498175-460.78821670636086j)
(-29.62259375937596+75.68047199079177j),(-31.480267950759185+51.56750621059798j),(226.31453197904096+9.250494266497583j),(-520.2081626770683+233.6008095892445j)
(13.63128699849988+0.13812896324193358j),(-16.029894789320384+62.76236299745817j),(-45.64005949482009+131.43574817479677j),(-150.16034853126513-184.21861239342587j)
(-5.1008873741796705+46.7613870100109j),(21.469340718998982+79.3438879395344j),(-159.6296685341585-15.625461761218048j),(221.2742474924484-154.48943745648867j)
(-47.16789020322693+20.03413461615046j),(-18.593249693646005+78.7181749829834j),(72.06849088139812+55.56423006546044j),(-153.95300330520342-278.40805112287535j)
(-28.20358175892123+88.53123266220408j),(-15.948307319117603+41.24947856516673j),(-31.14057314100623-376.41721028855494j),(1168.8774558342946+985.7284395105639j)
(30.845827760587557+0.886623441297596j),(7.469866957791346+35.495736522237955j),(-28.060301780527915+99.53379535932379j),(-290.53682810636485-228.804602764302j)
(-3.4111674149520184-22.46413602887828j),(-3.745065126243161+5.003594412051152j),(-30.60438100187114+236.9433577282457j),(-355.09009512715295-590.44978054453j)
(-55.16693075171085+10.64823566098423j),(-39.82665615070013+15.52615332421459j),(57.02909789040594+141.49275305586173j),(-280.65165961920223-261.40390205760855j)
(-17.779449682783135+113.68090468149408j),(-23.489458797776933-51.775603057891914j),(681.0866109813734-428.9879995109286j),(-3033.718408045271+850.1932032220137j)
(2.944130890856753+15.988150379606582j),(-4.018845538540327-34.643515424184045j),(15.40048758290816+17.758632587626085j),(-318.3211909443698-228.5518160693312j)
(-35.144852277032506+22.99342377168545j),(-27.90108676394027+56.5750579919206j),(200.1797166291328+113.66959750185279j),(-865.2387784400298-33.25708949775145j)
(15.315043914069424-4.958749832000707j),(13.527831125073831+76.33708412197386j),(62.625360313829766+166.12056211534252j),(-638.6392321997766-144.81604491299456j)
(-24.904307012233502+20.87917267338951j),(-13.051415097756102+8.85624415984805j),(0.3449085098503559-161.60390693447016j),(-296.5158918651814+44.272145211592346j)
(-35.17961707182118+4.300225386932769j),(-5.7996526548812035+58.70637320743437j),(54.419483416928585+88.09648385938823j),(-536.2448296862399-423.40629260178224j)
(-12.554815934419159+26.727426529561463j),(11.372743992687806+30.28147669205334j),(272.6835123083047-183.49922656631105j),(-311.550990471689+707.505070549785j)
(-20.199417729465384-17.469604767414108j),(-51.72218908697062+29.287350085928054j),(155.01746643513462+24.960671462133885j),(-890.4581572436568+161.3030889101328j)
(-7.604922619485712-8.72909036650576j),(-4.238309600966953+4.875136070819477j),(87.88528605636056+112.46149908437668j),(-1288.9792398817788-421.3363912564695j)
(13.553657644965414-7.557323400408578j),(1.734465691064319-6.094122435417138j),(512.3162336641216+198.60130932391777j),(-3336.4803658629335-589.1122407827235j)
(-63.16442690952699+33.22497985789152j),(15.389491502379393+3.485306554670662j),(-1107.8022072854283-268.0807448728114j),(7062.877589312244+632.1162226573651j)
(-35.907522487741+43.87494544664548j),(-21.114054374151664-19.652527440999062j),(-351.5553469269264-111.11513952537211j),(1941.7545132172115+127.44600161735104j)
(2.952035508799076+14.219390877802972j),(4.45621739820923-68.35972578266373j),(-167.509366161649+81.95159782958262j),(674.8444168386661-77.5284845754087j)
(48.21811041164726-25.931020770422563j),(-4.606523025383536+8.352990073373991j),(-193.32626072034543+225.41968552438865j),(405.58429222830546-205.77110592246754j)
(-36.15218074378009+9.404482882394587j),(-11.290377732601128+67.44382120982601j),(-17.283621885412437-136.55554327378948j),(386.69347203216336+92.42004090746661j)
(23.574291601184004+38.19147285303613j),(-75.12346242032824+113.43966466138954j),(-149.01532178745515-16.28166223921619j),(448.47403304592586-366.91115425112645j)
(-23.04427003438716+14.697291125346549j),(-3.5964693620745827+53.79210121144722j),(110.28516148550759-46.74641330648255j),(301.4517589292871+384.42543528046247j)
(-6.477029032530216-24.834271356309362j),(26.469658556957466+0.18409926483138483j),(-1.637669530789275+41.04095499091826j),(-14.924720605369926+299.3375943051287j)
(0.7287955139888478+34.497638597531385j),(-14.532629505249865+0.2583810352165212j),(-108.54828792441117-20.56376877081729j),(18.103034791249854-166.92981963877514j)
