(3593+0j),(7124+0j),(25405+0j),(27133+0j)
(-16.778346048859248+108.83670519899061j),(0.9547776124668292+39.680429138821964j),(-254.79483920329784+406.9115422692463j),(-292.5444621213088+600.1628867717848j)
(-36.46667518377231+64.89291601386132j),(-50.66886148378308+10.070974818516046j),(-50.49553472244671+41.831459203346554j),(-101.1772085074499+183.67038886056525j)
(-13.956221694593545+50.73246846642651j),(-5.344340395956884+29.916461930450136j),(-27.883650662831677+78.0615063393171j),(81.13183688277286+161.96706177280623j)
(-51.29009476685761-3.3863936834665616j),(-13.501704212821583-22.080634016727117j),(75.1300685703485+39.12703786540632j),(-298.00752847038905+304.5975282421045j)
(-54.097971837748254+13.89927627211577j),(-36.89352264114555+15.465997043659556j),(-94.7831988766997+21.137908228487888j),(100.27291602786431+111.40516213603325j)
(-21.220961281383108-36.16553217558038j),(6.472094214526008-15.083945674804824j),(-75.7867081659104+97.35643836237834j),(497.07339260762586+48.06577242992495j)
(-19.22998468844842+10.530163273936566j),(-39.87642497223557+2.833314887903228j),(-18.943241555842363-9.316726913837687j),(-39.68847680019755+276.6606248372568j)
(12.3850430626656-29.524927291982962j),(-3.4906999565600536+21.32805611207157j),(-103.60870091770178+78.96333871541589j),(191.13385447679136+187.7245167413298j)
(-30.742645786247977+9.470076335561414j),(-32.2811529493747-19.543403279313694j),(57.206651122492076-103.42518093198355j),(-399.4299300512139+620.7082618436651j)
(34.00795921985379+33.689518560581334j),(-9.530277886216108+22.55149027006179j),(376.9940238764327-402.1249240881747j),(-2568.2323828758304+2377.8913895151445j)
(-36.535067935633435+0.4338891112365957j),(-9.185868157446555-17.74279708834743j),(-113.05037133466608+141.51803697625425j),(775.0519767924643-389.6915778643925j)
(-30.24540442915761+61.777096340169024j),(-30.499118452166684+8.698413226988446j),(-37.71058459029569-89.62515311390325j),(35.04311143726767+341.2372155915865j)
(-45.995756149116126-37.43825151912197j),(0.9791012293091619-19.106017043259918j),(-88.59421946212424+54.25400196970555j),(339.7830978645306+35.496064652424884j)
(-67.46302858932951-8.632998856537952j),(-29.9476645538017-13.155531183551382j),(100.66955689742-186.37818523064334j),(-298.42047368048765+989.8671291480925j)
(8.000000000000005-32.90896534380867j),(-8.499999999999993-11.258330249197698j),(-176+143.7602170282168j),(686.5-669.437637125371j)
(-42.32272564595751-57.93550086114035j),(-24.222016493299368-25.932551136502244j),(-118.37538265066348+201.2388010453875j),(780.2655126632244-744.7220719208559j)
(10.488084318268985-16.17727701895535j),(-7.479005553447834-31.113837814565304j),(-75.81603501174389-94.59985737022384j),(177.1837782988911+369.70476835596895j)
(11.74264578624792-49.34893772107601j),(-22.218847050625413-44.93668198990787j),(-117.20665112249208+78.0271231635927j),(385.429930051213-130.28335917919858j)
(-16.19277633835637-11.478266212952398j),(-14.53521829634856-50.4627293920471j),(-6.194553768520635-252.43627178942413j),(88.79178254212823+1169.0513923111557j)
(2.0900126178944767-52.95589162942727j),(-15.076199472638315-78.65102174825718j),(-46.71082499973299-410.27245125989606j),(-139.04053315203362+2302.859294338058j)
(-47.57741259486574-86.32126790969635j),(-12.128635366402435-125.5789293463518j),(-40.11905658096222+231.0296670705703j),(477.7516590723336-1172.2075392679828j)
(-17.598672034604-304.7098471783155j),(-10.026415162031704-418.00251321495546j),(-76.42674684076135-107.70330361963659j),(332.1281469418023+269.00749063406994j)
(-17.598672034603993+304.7098471783155j),(-10.026415162031684+418.00251321495546j),(-76.42674684076137+107.70330361963666j),(332.12814694180213-269.00749063407005j)
(-47.577412594865734+86.32126790969635j),(-12.128635366402428+125.5789293463518j),(-40.11905658096221-231.0296670705703j),(477.7516590723337+1172.2075392679828j)
(2.0900126178944696+52.955891629427256j),(-15.076199472638324+78.65102174825716j),(-46.71082499973302+410.272451259896j),(-139.0405331520335-2302.859294338058j)
(-16.19277633835636+11.47826621295241j),(-14.535218296348559+50.46272939204711j),(-6.194553768520649+252.43627178942415j),(88.79178254212798-1169.0513923111557j)
(11.74264578624792+49.34893772107601j),(-22.218847050625413+44.93668198990787j),(-117.20665112249208-78.0271231635927j),(385.429930051213+130.28335917919858j)
(10.488084318268985+16.17727701895536j),(-7.479005553447816+31.113837814565322j),(-75.81603501174389+94.59985737022387j),(177.18377829889099-369.70476835596935j)
(-42.32272564595753+57.935500861140326j),(-24.222016493299364+25.932551136502237j),(-118.37538265066352-201.23880104538756j),(780.2655126632245+744.7220719208558j)
(8+32.90896534380866j),(-8.5+11.258330249197684j),(-176-143.76021702821677j),(686.4999999999999+669.4376371253711j)
(-67.4630285893295+8.63299885653791j),(-29.94766455380168+13.155531183551346j),(100.66955689741997+186.37818523064323j),(-298.4204736804874-989.8671291480921j)
(-45.99575614911617+37.43825151912196j),(0.9791012293091352+19.106017043259868j),(-88.59421946212426-54.25400196970553j),(339.78309786453065-35.49606465242488j)
(-30.245404429157617-61.777096340169024j),(-30.49911845216669-8.698413226988443j),(-37.71058459029568+89.62515311390328j),(35.04311143726753-341.23721559158633j)
(-36.535067935633435-0.43388911123659213j),(-9.185868157446558+17.742797088347437j),(-113.05037133466605-141.51803697625428j),(775.0519767924646+389.69157786439246j)
(34.00795921985378-33.68951856058132j),(-9.53027788621612-22.551490270061787j),(376.9940238764327+402.1249240881747j),(-2568.232382875831-2377.8913895151445j)
(-30.742645786247977-9.470076335561414j),(-32.2811529493747+19.543403279313694j),(57.206651122492076+103.42518093198355j),(-399.4299300512139-620.7082618436651j)
(12.385043062665599+29.524927291982983j),(-3.4906999565600545-21.328056112071565j),(-103.60870091770175-78.96333871541589j),(191.13385447679093-187.72451674133004j)
(-19.229984688448422-10.53016327393658j),(-39.87642497223555-2.8333148879032137j),(-18.94324155584239+9.316726913837698j),(-39.688476800197066-276.6606248372569j)
(-21.220961281383104+36.16553217558038j),(6.4720942145260025+15.083945674804827j),(-75.78670816591043-97.35643836237833j),(497.07339260762586-48.065772429925005j)
(-54.09797183774827-13.899276272115749j),(-36.893522641145566-15.465997043659534j),(-94.78319887669971-21.137908228487895j),(100.27291602786448-111.4051621360332j)
(-51.2900947668576+3.386393683466551j),(-13.501704212821577+22.080634016727167j),(75.13006857034853-39.127037865406336j),(-298.0075284703892-304.5975282421044j)
(-13.956221694593546-50.73246846642652j),(-5.344340395956895-29.916461930450126j),(-27.883650662831727-78.06150633931713j),(81.13183688277286-161.9670617728062j)
(-36.46667518377233-64.89291601386134j),(-50.66886148378309-10.070974818516046j),(-50.495534722446756-41.83145920334657j),(-101.17720850744985-183.67038886056514j)
(-16.778346048859248-108.83670519899059j),(0.9547776124668261-39.68042913882195j),(-254.79483920329795-406.9115422692463j),(-292.54446212130836-600.1628867717848j)
