(19464+0j),(22753+0j),(35449+0j),(36941+0j)
(10.525177182063839+12.064040053363543j),(27.24657692963029-11.658776763681068j),(-0.8131579559587523+2.7731527501547744j),(13.753391925600432+19.27639977973619j)
(12.70026957880583+32.08215210188677j),(2.1961248257955113+56.09547342987238j),(-6.735855709481262+31.91911141366109j),(8.822389477698941+4.884418469499089j)
(20.236992164012523-9.494445027780335j),(-5.8505528832589615+5.142810468197219j),(-3.768390308068859+6.21832233303941j),(6.559434949060655-8.922284976336615j)
(-27.39678850259088+20.53833253412068j),(4.377324931178919-14.932080737222039j),(3.4280523188640473-0.5349156377570313j),(-24.838766148378-5.870031087106705j)
(-1.2242147248602944-19.937345266343335j),(5.361934440039221+33.751579340915654j),(20.128257266242+3.125789580588081j),(23.511465482418014+26.46828630517547j)
(47.40107922249623-0.8199880098644776j),(-3.2024141489947553-14.335670910905382j),(9.003312946938342-2.8763712698274357j),(9.04454475432839-14.172619877226579j)
(-12.543490717108055+6.919981030030016j),(-4.191354468074499-5.246039798560273j),(-10.706559996206924-23.329026653462467j),(11.01828783246445-8.312115736139535j)
(-17.530725141353287+3.117827326167787j),(3.5325124692799363+25.39315792215765j),(4.684875453450331+14.355475546379038j),(10.75504584032933-13.201367645005156j)
(34.2905273689393+6.231567708509671j),(16.311280077962635-0.08133367151774484j),(-23.928066799199875+0.17791124697527216j),(-16.601034509443018+12.710048151718842j)
(7.903745574859933+21.06568479671604j),(7.195333358059919+19.744721153358384j),(6.023458830848156+20.392552941030047j),(8.388715408382229+3.3955048176477636j)
(8.527842303638877-23.24148639145088j),(-14.09278440030003-0.6019472902895764j),(-13.084357809450049+2.45414780663903j),(-31.14948413480206-9.379341081886611j)
(4.515975157921503+13.93564543247266j),(4.953727779697601+7.031756781295587j),(-0.4446492546421723-0.1296500813211412j),(0.7849284492117476-2.1903008923121656j)
(-35.380815310966156+21.275752322865014j),(13.180941953646261+6.466479572643969j),(7.104460630404212-12.671156984151384j),(2.507533831103826-5.284225837987419j)
(7.348797287356579-14.198312289865175j),(-9.262199376721385+19.627689452244013j),(10.543277308872401+18.342870494839893j),(0.32765523649998407+5.3841983763575945j)
(17.32626762909697+13.072310883279272j),(16.477169911165134+0.13596277090385023j),(9.85679692587361-33.686352389387096j),(-15.369915964006035+8.361687722697745j)
(-42.96910860419848+3.677443784197991j),(1.64170800371312-0.19389527090418424j),(26.293401939139585+26.322163369849317j),(-3.8080065339877365+0.6219014171687687j)
(10.701626501887723-20.5763491566442j),(-17.900114374363426+8.733204772545182j),(7.662504833881117-24.691038489430326j),(-2.1821648348533795-11.277387199806109j)
(19.280261911418517+38.4267551576308j),(7.987608173440089-15.0032016153971j),(-5.397428257409231+10.618805654957848j),(-4.951888514219713-4.459586293191677j)
(10.47668256087848-9.60247222026899j),(24.21238975426602+8.920065734469997j),(-3.1800293265956228+19.672791890499425j),(8.017730016022949+2.623861683193453j)
(16.55245042037882-41.56617964163854j),(-14.745269373438305+5.415653275320734j),(-8.6254923195429+25.984444329321008j),(6.019124021206608-11.22162921688548j)
(-19.045233226057906+12.133012085424582j),(2.0311700924527187-32.25736834591345j),(13.606359852430856-42.58316804911208j),(1.8226787609411899-19.84935352865102j)
(1.5801851768856672-2.3134862342964873j),(1.3072297799760673+3.3184463111813196j),(2.977158278567962+10.578476626464226j),(-15.708372110793928-17.141480333986213j)
(15.80976611631218-11.648899481069513j),(-17.633152629942987+14.686408430657274j),(-1.1946222816885728-1.838730480058464j),(-27.939730221049214-3.4265138967338533j)
(-11.793095689737356+5.17256502532566j),(11.906730314070046-3.974695343004902j),(1.1423404830677555-13.782369368941952j),(-17.724830855361006-44.05148408000721j)
(-18.96703823966337-15.326055677862302j),(16.33910592129789-13.300154076483771j),(-1.060670247589305-15.454337638756618j),(-1.9058861651833467+4.785312988223911j)
(24.31990765497281+3.706837839836345j),(-33.403308981139546+0.19959099647134404j),(-13.106298305526794-3.555259730001192j),(13.077167967026126-2.8461248858602213j)
(14.95126276582575+9.107496619597022j),(18.483438802683235-3.478406111014241j),(3.1436486287026106-7.940517213942584j),(5.129898698760505+10.367148825144318j)
(9.108725319524751-29.911277278327002j),(24.661554085996613+0.5787097708164057j),(12.633181675579408-4.668129355858042j),(1.9121500343549087-8.689364013987015j)
(11.20655178271484+2.51746127981482j),(-12.154131524786495+24.619737295034962j),(2.2712617891123745+4.173025671128243j),(-14.834500731266246+18.36664437444173j)
(-21.697237621450476+11.879774823155891j),(-6.4009439187647885+1.7856046124852631j),(16.042669963832825-4.235521474899947j),(12.775217262032013+11.818271089000563j)
(10.000000000000004-24j),(10-5j),(12.000000000000002-4.999999999999998j),(-13-18j)
(-2.5254736174375694-3.3785772631934137j),(-7.26454658278567-14.413809961280192j),(-15.038624240309446-23.321990460400105j),(7.297884214808164-5.666168493793986j)
(-39.798543291720435+14.464584452396931j),(-7.226881459332077+7.553298918221209j),(19.620295649638795+0.27984748572484186j),(7.507135685832542+18.244305017866523j)
(16.387388615042923+5.307692934596986j),(-10.63355759016639-7.184585367496252j),(-0.4612342985244915-3.6855076712961474j),(4.16919252178155+12.015238052034261j)
(34.408864108501795+30.56021032668506j),(-12.37890330909597-7.045959963166137j),(-1.0518126244310815-5.53591276050195j),(12.79444944813155-1.4298123249827306j)
(-4.657139695611136-5.777482650501581j),(6.047141297718895+7.020425546479849j),(-6.028325007096555-20.94370196299161j),(-5.03527468561947-1.8664100810348878j)
(-1.4696925687703235-3.4016546938186547j),(-5.837948685497089-1.2989103499706083j),(-11.90525939436975+28.70172030297626j),(-4.054107430614423+11.259593778878862j)
(3.622786158005626+31.227816869441483j),(-20.547624733367496-7.269211345406244j),(-10.19397670031526-11.290023966695921j),(2.9179227769955265-5.90710946157008j)
(-7.644424205953875+9.85633007677798j),(24.207434141201542-1.1431291831616806j),(26.071667331270366+0.9190042930522004j),(-3.9497269883806467+2.9885241237914695j)
(30.39235127037216-13.679497797906908j),(-38.94572566017882+5.320667740393346j),(-20.115857672959464-4.3181964469212595j),(-6.092249778765336+8.58298555829887j)
(-23.525029469776932+15.991726270317173j),(-9.408496804983695-31.197542019342297j),(8.138602147416812-24.09142463440881j),(-0.3923454757475602-15.623354140550052j)
(-8.844474494229262+10.587062761730134j),(15.903913822539728+19.60444513122139j),(5.8366927465408045+7.219466153853823j),(0.31343434580641816-5.521887343383732j)
(21.03144507811035+22.281516175071722j),(-18.314091816206243+0.22912427795004375j),(-35.9454011733879+6.668206785982953j),(6.771367845907845+3.133678718253857j)
(4.540201233689345+6.025166396442608j),(-25.014554518323962-17.88865590143194j),(-15.04311891107318-27.873408976384646j),(1.5291444048657468-31.751942264231275j)
(-16.49507860760725-16.520953102339902j),(8.666164171385295+17.78594958226631j),(16.593509880289044+16.039943481825258j),(15.66151124362526-2.472315537225631j)
(6.3586215987131-21.735320267320105j),(-25.134939746425275-7.160691007834085j),(-12.068611863697269-3.827543239552467j),(-3.864992792595365+21.51532840516751j)
(23.08220411907768+19.586954380461542j),(-15.214234924416992-22.624162576773884j),(-4.823113577175115+18.674500076686765j),(8.765819292972575+1.705654826155997j)
(3.994624151033463-10.111371346777794j),(8.207464913336139-0.664457179134234j),(-12.526584129520757+9.406218615272628j),(11.57770988542768-15.551354278363286j)
(-2.9652572878345325-31.976754506298924j),(-15.295937840770325+0.8735813573116253j),(13.069342011583094+11.188429135222009j),(16.388632501867775-10.368468847273455j)
(-33.75947315007228+25.72618753573089j),(-2.6049599665026726+5.067577092792942j),(14.431652177034213-11.464022855171688j),(-6.449046560314587+5.7161670510265505j)
(13.018786007434946+9.223414402388867j),(11.883705126315913+9.692613680111451j),(-8.660265932101153+0.9691020015416054j),(-7.602826391919514-6.475578079277965j)
(45.24610764054273+2.7027367180699655j),(-5.93297730060749-0.2896741625071768j),(-11.45688822204204+2.900034371003162j),(7.305957109146902-1.9272483859711933j)
(-23.209319287599094+13.171557839183444j),(-0.5456094694912643+3.8005470693771026j),(8.439909888885705-10.472401009816261j),(13.394861274386995+0.12542677704903715j)
(-8.066284466946492-16.55579795904523j),(-3.6196315145111053+9.812754555886666j),(-19.760471877085386+20.25926811018798j),(6.715517046205008-17.04819778060846j)
(22.46634937185818+28.982081516925593j),(10.503991943460651-19.819585515884633j),(-34.66237211138278-1.5939981561736172j),(-13.708324044256798-12.452983407617134j)
(8.008327000323703-8.960363554301905j),(-1.4874783751323264+8.264339102353935j),(18.052204871179356+28.113995056123024j),(-25.877834245869508+12.99125167123428j)
(-24.333411779178114+0.7038678213541711j),(-10.782230071195753+10.424149656079134j),(9.277821941559385+14.55186400841882j),(-10.810834390382695+10.715104881047182j)
(-15.035573045858735+7.8632813934121435j),(-2.7806299832180086-27.996604684486325j),(13.365654759404903-8.683710906362851j),(-13.077456818832546+12.043419090387111j)
(-14.622488198590185+20.449098579800463j),(13.819344265427581+0.5687674855853735j),(10.848286826281598+3.000132875216078j),(12.699293075562023-7.666163884372824j)
(33.01356905714272-12.93193350588068j),(13.062388015476216+27.103364467238112j),(-0.45451698408857055+12.006794068401074j),(-20.304981711366025-20.71461397692154j)
(25.163691855333116+8.237633440525784j),(10.101777130781418-18.797919928461432j),(-2.048646065965829-2.396486448206745j),(-33.802610582753644-10.960254450754508j)
(-2196-9.769962616701378e-15j),(-2841-7.105427357601002e-15j),(-2005+4.440892098500626e-15j),(-1595+8.881784197001252e-15j)
(25.163691855333116-8.237633440525789j),(10.101777130781418+18.797919928461432j),(-2.048646065965823+2.3964864482067476j),(-33.802610582753644+10.960254450754507j)
(33.01356905714272+12.93193350588068j),(13.062388015476216-27.103364467238112j),(-0.45451698408857055-12.006794068401074j),(-20.304981711366025+20.71461397692154j)
(-14.622488198590187-20.449098579800463j),(13.819344265427581-0.5687674855853757j),(10.848286826281601-3.0001328752160834j),(12.699293075562029+7.666163884372821j)
(-15.035573045858428-7.863281393412149j),(-2.7806299832179775+27.996604684486318j),(13.365654759405174+8.683710906362837j),(-13.077456818832502-12.043419090387117j)
(-24.333411779178117-0.7038678213541729j),(-10.782230071195755-10.424149656079138j),(9.277821941559377-14.551864008418818j),(-10.810834390382691-10.715104881047187j)
(8.008327000323703+8.960363554301905j),(-1.4874783751323264-8.264339102353935j),(18.052204871179356-28.113995056123024j),(-25.877834245869508-12.99125167123428j)
(22.46634937185818-28.982081516925604j),(10.50399194346065+19.819585515884633j),(-34.66237211138278+1.5939981561736172j),(-13.708324044256798+12.452983407617133j)
(-8.066284466946593+16.555797959045236j),(-3.619631514511215-9.812754555886666j),(-19.76047187708552-20.259268110187975j),(6.715517046204935+17.048197780608454j)
