(13367+0j),(15699+0j),(30172+0j),(33582+0j)
(32.498573386944905+11.31482368183309j),(-2.536583354084465-6.783373174434791j),(-17.874216096770418+50.29932136695143j),(-8.309136019907683+92.66733878062618j)
(8.082564411485816-5.748376709931296j),(4.257405652423368-38.8409504239678j),(7.749878105859618+42.54849916646968j),(-3.4190093965963824+53.136764179738464j)
(22.178731499557415+39.82023079320976j),(34.822939488678045-23.388883061928638j),(9.26311355163076+12.706873057206323j),(-16.704260316508133+8.090407547321867j)
(-9.802571139051903-4.1038085523746375j),(37.9492015478329-5.967735175861975j),(20.608469452496166+10.375406050648508j),(-18.056894820444867+6.301918563503342j)
(-3.51501474649898+98.39595514689945j),(-7.778122449452754+73.47548309436745j),(2.325474475407821-14.024064673326484j),(18.91446717414634-2.780061328486428j)
(-38.14094074662891-43.94280267097599j),(-18.205495756198452+52.72820274239454j),(0.6146461058624304+21.695108471993848j),(-6.297193363708291+12.478828059996971j)
(3.0977243268241637+33.07852025545476j),(-28.108420140284085+12.643868415857519j),(-6.415726854595537+8.14488675103555j),(24.445318695401973+22.203045886167473j)
(-29.371158435529843+8.290825001531392j),(-43.45628320149378-45.87976110371271j),(-9.298609513138869+18.180928995748456j),(-2.3379860229348353-10.834930906351437j)
(1.8926091293762113+33.009463518904575j),(-32.98529157249597+12.568004286431691j),(16.489356881873817+0.6735419648693357j),(13.708203932499345+20.645728807067588j)
(-28.080069865900136-14.86813998617038j),(81.69061649641846-1.8125473129140346j),(10.494537040046492-1.7261556570941021j),(3.4114741278097713+12.254217261009044j)
(35.02465051660873-24.81406664293333j),(6.850841228652172-15.640795472489575j),(4.341090601796722-28.562830418497494j),(11.685003154102953+12.461836211628391j)
(11.27783857336113+15.653665943914515j),(-27.827771554378742+43.0903309560074j),(-29.06023065169899+5.789461692434566j),(-5.400362990123889+6.988844815167122j)
(-27.920376435240243+4.960399195620269j),(2.665845675971074+14.809911103643955j),(11.36599444021775+4.704586983321555j),(12.64330109340142+5.714610721483676j)
(32.387017524990114-16.087096140384176j),(15.261875795765736-26.657892284210725j),(12.456785865626639+6.4871256681525775j),(-4.405392463453053+8.211481083808671j)
(8.5-11.258330249197702j),(-45.99999999999997+27.712812921102046j),(28.00000000000005-17.320508075688767j),(-21.999999999999943+1.732050807568882j)
(14.934561198142198+27.878986008784402j),(15.782255985992595-32.00311842115651j),(-26.781198847266577-3.051356538058256j),(-13.002897974801726-14.205960649842748j)
(-22.23063616240114+7.6010172320247555j),(-28.576144238265897-17.07106611103967j),(0.7846927172060276+31.608581373410175j),(16.037685544433398-0.825576572314894j)
(-2.1220992981270683-7.681697107192271j),(11.298373876248661+18.380344510474615j),(-1.5172209268748702+11.37992204610092j),(2+2.5226544343237025j)
(17.45003099025333+16.17459120087894j),(54.116524486535475-40.56065113591294j),(15.621695912320352+15.420378692372422j),(-13.347799530848256+6.579004697377398j)
(-45.8220709086943+20.051693540627497j),(3.491736080756713-25.468044538531256j),(-2.4667290674472984-16.124141928020038j),(-1.1847925309040974+16.440964334846665j)
(-15.800242245190006-11.146238295621638j),(-12.66649686943904+74.87819715771985j),(-6.624958948717978+22.708395109492912j),(6.595816791046579+9.09121964460805j)
(-35.78282645421355+19.641303238949092j),(23.807569714814345+71.15835522092745j),(-25.313025078069998-9.836408794204388j),(3.1120397288249686-5.583717688885638j)
(43.32052863344793-16.19243057424657j),(-49.63620248536516-43.89739115079797j),(-11.323439092657665+5.399250744059687j),(-13.450246010711021+15.591824339899329j)
(-37.27140180899193+58.743323997256326j),(-19.110099046924717+10.424955370878997j),(10.555050663510412-4.452689858249936j),(0.5889894312089252-2.1830470978739345j)
(9.609937231739316-93.28290821876465j),(36.356686014720545-39.10171582047706j),(-4.732611383407469+20.233678657760606j),(-1.1256671980047246+5.4337171211621795j)
(-2.8572870378514494+29.38382938191095j),(19.26860773621334+16.598732505058692j),(13.113885426315289-12.08783424652003j),(-14.103741179497852+2.6549110288754196j)
(27.60739087062379-12.515003723295749j),(51.985291572495996+22.46208512708103j),(-6.989356881873832+7.469694854648345j),(0.29179606750066966-4.873795443493567j)
(-20.275922592679215+8.13363687721301j),(-45.62196033159564+47.076643707335975j),(4.400891027704965-4.346141020052507j),(-6.5602497766968675+13.972540115086451j)
(-9.595827937869512-31.400195106208553j),(-53.79103553626577+32.93041031829584j),(-20.303977023130518+15.509714959674465j),(-7.1024594156550105-14.128746410330464j)
(42.5-6.062177826491073j),(-42+31.176914536239785j),(31+5.19615242270663j),(2.999999999999999+6.928203230275509j)
(-10.674666092612588+32.159495348327596j),(18.29810455569578-36.16455395583753j),(-4.295562585457367-3.4351207167594744j),(0.7125700343929378+11.01084923395164j)
