(77704+3.176126028847648e-12j),(90894+4.177991286269389e-12j),(129642+4.916955731459893e-12j),(134926+4.547473508864641e-12j)
(-52.69499994684541-375.4617376597995j),(-108.34212158526353-461.73214851800856j),(75.46830366112165-610.4841144845988j),(143.73835357766055-875.0232182334141j)
(67.25188543336402-339.99235785581516j),(59.13884683544423-444.7048599461381j),(8.14882293303905-151.6100852420736j),(-16.182979138232476-141.63448177264382j)
(31.231231515165227-356.98487948147414j),(24.61686377002833-480.5895066576239j),(43.34015549888401-52.35587131956733j),(90.93741565833005-28.94988293903539j)
(-8.320583142477659-99.32645750392105j),(-5.685073455211022-163.69495558119232j),(28.43380558210757-161.98062130376323j),(-30.095552751710706-148.10997105305103j)
(-35.28108027722524-60.274196785713364j),(-25.08495349638898-40.64965485376512j),(-0.34238552917839726-120.83945098489846j),(34.83624315497246-165.6240600144411j)
(75.64685567328686-67.02611346989886j),(76.90737209568974-60.33861719765069j),(-2.13137487729363-27.822433327214735j),(-42.91930154639413-92.98156790045039j)
(32.865381271174556-103.76708460449342j),(51.08512927661226-136.98809144115893j),(11.8188823186476-49.76677431198234j),(6.217112955214631-35.77998469859407j)
(68.150161469124-98.78704299221614j),(57.32628095090292-147.7614388142848j),(1.5174465836207847+10.712086959140333j),(-69.40819980872263+21.313491011786297j)
(14.597688697175546-59.278353414587244j),(43.594360976412695-36.694848570237944j),(-66.90426854418885-78.98545547089299j),(-60.48712316749317-98.95178413529806j)
(39.156806056145484+26.151608185581345j),(64.62364606559436-6.692129998422178j),(0.5340572516867077-46.08906374741606j),(34.67175696346356-110.78933934634861j)
(47.517123141933276+28.15393561755401j),(43.65196620537224+46.57496862159115j),(5.680172164672083-68.04269381870803j),(-22.256505810106994-96.63388656629255j)
(-11.152515621168726-28.530965083038392j),(-3.0167458913823193-40.51840338215061j),(37.74928224333724-40.423284609387j),(13.031781292107366-26.457558593424576j)
(-56.84472256836787-95.12770439082448j),(-101.67009607814457-105.29520166128287j),(37.59512152215174-14.553236300212522j),(96.47498674954487-8.22029777929901j)
(-28.789073755626145-114.92490675121796j),(-57.37721224344894-115.78231795489565j),(23.877839089107372-9.262931360610725j),(20.708841380406483+46.841441840407626j)
(45.63608109834691-49.04024401076916j),(27.462082974217154-20.668535169832413j),(48.54845218991106-46.10830293601359j),(81.48102175130688-62.42954747459372j)
(6.453015800075214-6.363358973978952j),(35.384082952791644-13.026194014355125j),(2.206372983079305-70.39295420468997j),(7.809037781069598-83.16447437725799j)
(48.83600890006276-44.90894257379041j),(44.391666460673264-63.25124612196535j),(16.10238351632065-21.406621888219124j),(24.320513981490954+6.868081833551068j)
(-37.91465403231115-46.53536602941758j),(1.5899694518729106-80.01416692701096j),(14.715147217928028-13.905483274973472j),(37.28855328097151+11.427544418491609j)
(26.05941022311429-41.53561060529029j),(-26.045903655594483-83.83330943259722j),(9.469256871579908-12.048432573129027j),(54.6776945815956-3.208064845555917j)
