113.0,198.0,533.0,672.0
89.0,163.0,535.0,671.0
117.0,197.0,535.0,673.0
106.0,161.0,482.0,372.0
114.0,196.0,605.0,301.0
83.0,149.0,535.0,670.0
114.0,197.0,536.0,671.0
89.0,166.0,538.0,671.0
115.0,205.0,603.0,293.0
91.0,167.0,535.0,671.0
115.0,196.0,535.0,672.0
90.0,167.0,537.0,673.0
114.0,197.0,606.0,301.0
89.0,167.0,538.0,673.0
113.0,194.0,538.0,673.0
85.0,163.0,538.0,672.0
112.0,196.0,538.0,667.0
86.0,163.0,605.0,298.0
113.0,195.0,534.0,673.0
87.0,166.0,537.0,673.0
113.0,196.0,538.0,673.0
80.0,156.0,605.0,295.0
113.0,196.0,537.0,672.0
87.0,163.0,536.0,672.0
115.0,198.0,537.0,673.0
110.0,167.0,489.0,544.0
113.0,199.0,607.0,300.0
91.0,166.0,534.0,672.0
114.0,199.0,538.0,671.0
85.0,170.0,534.0,672.0
112.0,197.0,605.0,298.0
89.0,165.0,533.0,673.0
114.0,198.0,538.0,674.0
90.0,163.0,535.0,673.0
112.0,197.0,604.0,295.0
84.0,161.0,537.0,672.0
112.0,203.0,537.0,672.0
81.0,166.0,538.0,673.0
112.0,196.0,539.0,670.0
89.0,165.0,605.0,299.0
112.0,195.0,537.0,672.0
89.0,164.0,537.0,673.0
113.0,198.0,537.0,672.0
91.0,168.0,605.0,294.0
113.0,205.0,535.0,672.0
86.0,165.0,534.0,671.0
113.0,197.0,535.0,672.0
112.0,167.0,541.0,659.0
113.0,195.0,607.0,297.0
86.0,165.0,536.0,671.0
117.0,197.0,538.0,672.0
86.0,162.0,539.0,672.0
113.0,218.0,607.0,299.0
86.0,164.0,538.0,672.0
112.0,195.0,537.0,672.0
85.0,165.0,538.0,674.0
112.0,197.0,605.0,298.0
87.0,165.0,535.0,672.0
105.0,195.0,537.0,673.0
85.0,163.0,535.0,670.0
113.0,197.0,537.0,671.0
86.0,163.0,603.0,298.0
113.0,200.0,535.0,671.0
87.0,165.0,534.0,672.0
112.0,195.0,539.0,671.0
85.0,161.0,603.0,297.0
112.0,195.0,537.0,672.0
80.0,163.0,535.0,671.0
113.0,194.0,535.0,671.0
84.0,163.0,539.0,663.0
112.0,196.0,609.0,301.0
85.0,162.0,538.0,673.0
112.0,195.0,538.0,671.0
83.0,162.0,537.0,673.0
112.0,194.0,603.0,295.0
82.0,163.0,535.0,671.0
108.0,194.0,537.0,671.0
81.0,162.0,537.0,672.0
135.0,196.0,493.0,631.0
86.0,162.0,603.0,294.0
112.0,197.0,533.0,668.0
87.0,162.0,534.0,668.0
113.0,197.0,535.0,667.0
85.0,176.0,606.0,295.0
111.0,198.0,538.0,672.0
86.0,165.0,537.0,670.0
