sex;age;bmi;avg4;max4;min4;avg3;max3;min3;avg2;max2;min2;avg1;max1;min1;emotion
0;21;1;122.66666666666669;143.0;97.0;189.88888888888889;213.0;160.0;549.0;609.0;485.0;561.0;676.0;297.0;5
0;21;1;123.07142857142856;160.0;98.0;202.3571428571429;239.0;163.0;547.2857142857143;612.0;480.0;564.0;674.0;298.0;7
0;21;1;123.6153846153846;159.0;96.0;201.30769230769232;242.0;159.0;546.1538461538462;605.0;479.0;566.0769230769231;671.0;293.0;4
0;21;1;124.3;163.0;98.0;203.22222222222223;240.0;159.0;549.1111111111111;610.0;495.0;559.2;673.0;291.0;3
1;24;1;126.3529411764706;144.0;112.0;146.0;165.0;125.0;263.47058823529414;287.0;234.0;272.52941176470586;304.0;245.0;0
0;21;1;126.66666666666669;162.0;105.0;215.33333333333331;247.0;176.0;538.1111111111111;599.0;471.0;551.2222222222222;665.0;297.0;0
0;21;1;127.2;154.0;93.0;193.33333333333331;231.0;144.0;557.9333333333333;613.0;482.0;557.4;687.0;294.0;7
0;21;1;127.22222222222224;155.0;98.0;182.44444444444449;208.0;163.0;676.9;771.0;628.0;715.5;927.0;409.0;2
1;24;1;127.72727272727272;147.0;111.0;155.78181818181818;172.0;133.0;269.8727272727273;304.0;241.0;287.3090909090909;320.0;258.0;3
0;21;1;128.33333333333334;166.0;109.0;200.44444444444449;230.0;178.0;550.5;611.0;481.0;553.625;680.0;299.0;5
1;24;1;128.52631578947367;144.0;112.0;161.22222222222223;176.0;144.0;265.44444444444446;294.0;240.0;282.94444444444446;314.0;254.0;4
0;21;1;130.4390243902439;157.0;96.0;155.9512195121951;192.0;112.0;300.2682926829268;338.0;190.0;319.5853658536585;367.0;197.0;5
0;21;1;131.0;303.0;0.0;199.72727272727272;303.0;0.0;476.45454545454544;605.0;0.0;507.9090909090909;670.0;0.0;1
1;23;2;131.3846153846154;170.0;112.0;153.82051282051282;197.0;128.0;317.3589743589744;337.0;282.0;345.7435897435897;369.0;293.0;1
