(20866+2.6290081223123707e-13j),(23327+8.526512829121202e-14j),(44236+1.0800249583553523e-12j),(47427-9.094947017729282e-13j)
(-21.155772136692374-12.68847448117216j),(-11.287430209617275-26.919872141112627j),(22.006855457582475+7.313137145847776j),(40.4879082347107-25.23120725760424j)
(-4.11099511762632-12.979176054017355j),(33.9293355378477+28.08795286399806j),(29.760751825933124+13.527363341850332j),(12.17386663859361-15.204451633108926j)
(-17.421377590975283+16.36527743410852j),(6.409101419378805-3.856375414974657j),(17.015469733987192-3.8665261523114567j),(23.78016997583313-32.801267237196996j)
(-36.918007657029534+1.1603295676524168j),(7.612695762135541+19.670946149126998j),(26.610217538660052+22.36609175932629j),(55.13407556365662+20.28798981752598j)
(13.354548902832605-3.9149991204618813j),(13.479200338763365+32.96970226412405j),(22.152825685014026+8.637603739756186j),(30.995240240478935-26.332695834226104j)
(-22.59710579722081-46.695757085150106j),(6.921243172182109+12.637914320475572j),(28.79025983110363+18.44429350793471j),(54.06554196703071+39.459082510320656j)
(-5.091553307341206+8.7480400959079j),(-43.670128981001795+76.91586477869356j),(24.028107718928347+37.879021440144996j),(2.021299901136926-0.5367284855374832j)
(38.773925977021115-12.984369774361586j),(-25.417987201844976+31.831858319963395j),(15.693348844063674+2.8142126131955383j),(22.63646677602484+10.596060159697235j)
(9.583141812992473+11.740665594003701j),(3.726240873704011+33.38038706089891j),(15.33384858775917+18.96190282560244j),(-7.230547861862652+27.833285582321146j)
(45.564513062669185+7.026036214195465j),(-13.724837553608694+38.66631627181142j),(8.388877467664585-16.066745904193102j),(6.6666654208494665+6.180122723739318j)
(45.01216134724817+22.688282086193176j),(13.807376207759631+1.4181045976049602j),(8.668907701718686+26.791837182742203j),(24.396038333506574+22.633843435239868j)
(-3.7558354994706793+17.672390896911615j),(-22.987484783438635+38.60352867717421j),(17.624707543613898+5.734001316601361j),(16.500076511461376+34.137100613803895j)
(60.38484064291214+0.3910642976325853j),(29.153694367879893-1.3583418322406082j),(0.21862139585623197+27.33621073206516j),(-1.4585107575544187+9.3394635551967j)
(-3.0661978288592415+60.41748719141927j),(-19.499994747210177+93.44536009004975j),(7.680183962467236+9.51957895743955j),(25.193667840963926-5.219050174805931j)
(-11.66302458188618-0.3125835682432463j),(1.2073140340915653-13.986323891180524j),(10.91559759488895+23.03438671361055j),(-9.592988539275233+49.70199994585006j)
(0.5860367501040358+58.37262924018626j),(54.99162623842886+74.28193780489104j),(9.33892911728815+11.975278932855554j),(9.528100469030363-7.944244644261582j)
(-27.860692035932395+17.2972267118846j),(-31.8372122599549-11.938922929922242j),(-0.00947310209827279+28.53508781205103j),(17.56687333009814-2.3873892877490537j)
(-5.378438357991883-8.2005398819095j),(40.57459224505007+51.149355859630724j),(20.355687993008477+35.89652756787755j),(32.655572119237796+13.569770470744755j)
(-9.341441954423157-3.338357677830812j),(19.33819055566593-11.226935539094608j),(28.292805274048476+31.967897130857704j),(33.31384821209395+10.033676095277835j)
