(7890-4.973799150320701e-14j),(15985+3.979039320256561e-13j),(57629-6.536993168992922e-13j),(60919+1.3642420526593924e-12j)
(24.857093071994576-64.66090299011873j),(-27.3904692505127-16.724144204102238j),(65.50111042800336-445.32327334827755j),(-157.3676217332419+2078.943261189053j)
(126.5138475075091-102.17594106100663j),(-8.505804226068529-24.554111667326413j),(-194.34839949388578-1274.8836736206704j),(4.576580533559081+7207.765189226109j)
(-65.1961128678476+18.86498650254512j),(-42.20550964258469-2.4532502031023657j),(-341.55174787723956+273.2171217075829j),(2097.7645929240243-2650.1147434967324j)
(-19.39223191370258-8.066376346076579j),(-12.775983054275084-31.13113162700001j),(88.76230097141303+238.26419620002162j),(743.5922305257675-1882.0383751267238j)
(-35.098021706713375+13.191198336756159j),(0.7432955353229707-7.745808769581832j),(71.28611570180834-4.93860690882048j),(660.5011141472049-1072.0297620963365j)
(-87.98734064880361-61.24676994340726j),(-3.4710014367046025+5.591168178345432j),(250.46895254259283+168.7682517413116j),(457.5228120816874-1855.0382870094174j)
(-17.639918497959872+16.809503116257073j),(-31.389777103246857-17.317360970297962j),(110.81389451606701-51.12835204358004j),(115.33631327843244-831.813346046723j)
(68.5513804098709+2.8697381822108525j),(7.43149349360642-19.293882736108763j),(-18.53804904868747-173.62422628069362j),(420.38698921437197-357.3965521098992j)
(-13.048685416397007-6.395742442743893j),(-5.820379051951054-7.279068009764089j),(19.580774280846107+131.54589047925433j),(410.43600694729787-1033.9943637879976j)
(-0.24523338444646114-30.11932013683841j),(-10.077260601826612-22.25677631616915j),(-111.0257558705463+3.8801163692649325j),(587.8949598475878-265.25963792064357j)
(9.623926371832013-43.837812092348365j),(-18.575583748811134+9.30703703284777j),(-175.02085381372353+264.3262948508748j),(911.9059209888954-772.7167126094851j)
(16.311094387162036-203.34614025622378j),(-17.24161196733612-14.36876263909912j),(95.75693257731544+823.6800503618693j),(-747.7244807250631-3000.1277288758906j)
(60.77455900249995-9.236054425788165j),(11.441852216114489-27.784389403954222j),(-15.396350203509066+15.852556934101312j),(673.219885255354+320.71430351883026j)
(6.408031587678618-18.830616578604335j),(-20.5981868009362-52.08837005412752j),(-34.475523640423184-53.83993336809125j),(749.6432293702895-18.018719490424417j)
(35.434799793211276-18.22401853207602j),(-1.4382489393555122-25.589632277049166j),(-24.193003728405724-135.66089538803757j),(844.7740031397165+248.0687038329445j)
(-114.84947082006337+10.820682644835536j),(-25.753752055450462-22.997367410944694j),(476.7309207013068+7.035363412767595j),(-554.697889826691-1523.4105949368452j)
(19.2160629827019+20.125394125969457j),(8.34492784498374-47.58260655378811j),(285.15753775660886-195.09294681722542j),(-160.01765084134598-196.00583815550047j)
