(6935+0j),(10168+0j),(40130+0j),(46295+0j)
(-82.34928856542814+27.052756069146884j),(-6.629048301500916-68.22531946355734j),(-872.7464314813869-12.295176024127368j),(-1536.1052207679277+389.10781789557615j)
(-64.65445634142208-20.014805018570858j),(-8.042781183816828-28.45363444550031j),(-219.74778523789246-600.6092354882178j),(-649.4474656308139-1108.1839248592669j)
(-38.14002372212758-14.433627276531935j),(-20.05309850760375-39.17646402448227j),(-127.18685439834144-462.58017079132827j),(-342.9114043396271-747.6967614202739j)
(-13.122883170181808-9.942562755350037j),(-12.005037116521294+6.17998246363752j),(27.302142058247227-291.67913424404946j),(76.16787832253567-492.6683216567948j)
(12.073235413964198-31.176014891976898j),(-16.206441667730815+5.883333143836575j),(90.95701662393185-197.79985972074167j),(-31.377722786274717-629.1136539606075j)
(-13.173747975859783-24.43786737905129j),(-25.364941707044977-43.447471467723744j),(187.97573267205667-382.85520139194927j),(-236.08856737389988+33.33054999786992j)
(-37.29246319770533+0.6654147898854337j),(-7.564632841193543-12.285425387877204j),(157.41301698493317-143.85442053896278j),(16.1944786197746-440.58696360474494j)
(13.191433074793906-65.87474785724963j),(-8.278351912164908-17.557846873420043j),(-70.56075155363214-89.03966511507495j),(663.5493861604052+211.87783961219202j)
(-24.340707567985646-6.0667276759462805j),(-21.586190077441927-24.9357572461994j),(55.959053391258976-89.71845727899475j),(160.71558317821928-298.6497395590967j)
(11.428007000957308+13.729325650004476j),(-20.666575390429216-19.396764289156213j),(88.6879718622099-173.49241545624506j),(-174.37802984786867-131.25596354578008j)
(2.029697947423699-16.759878520527344j),(-24.24147795682353-15.774005177114642j),(-35.632470970929035-41.40348043805527j),(255.23403583110326-347.84215827483234j)
(-42.95827540930725-19.369285274785792j),(-15.260661670232139-10.555818655109796j),(168.5218174910051+182.15161465837582j),(107.40221812586753-1139.9980254551258j)
(-11.931028148832496-23.82005934558544j),(-9.703215479428366-6.132061102975644j),(-200.9912621979895+206.39600988484733j),(1259.069093275598-1051.6136380525952j)
(39.32612103237098-17.018465236416723j),(-33.644918774928925-31.688020612024278j),(1006.0967168192216-650.2666127839515j),(-5024.220717117047+2244.5217175475036j)
(-32.692725930876406-12.09906845356224j),(-16.646964778259274-14.529084519297658j),(266.30669811627627-124.15660355454604j),(-894.1857622084801+182.33049151329158j)
(-53.26514991358093-25.273467912143854j),(-10.723116596740454-14.451968343408936j),(320.36465020597143+115.97398488048654j),(-737.2923666555226-704.7344105433654j)
(-6.006363109915412-3.6676728861024532j),(-7.621610175785264-31.85903426490785j),(238.02103341779116-41.23023761758694j),(-665.1615050723041-286.66817940628437j)
(-21.94469581003426-65.97786530368343j),(-4.686064447217234-15.114755107445728j),(32.36968974918193+123.33782895008693j),(128.7990443844335-527.7868758664149j)
(-4.867361064107428-28.773652157669225j),(-11.301016979234106-25.11598638353206j),(85.01836194136206+286.8312624839894j),(-400.8739017656362-1188.5220402868122j)
(-10.275201945316141+6.560026000550199j),(-16.32750195304311-34.02465776029849j),(178.69338903962478-572.5033403829791j),(-238.39119337865725+1790.401858689424j)
(-46.12660692865484-3.4594703876872543j),(-21.450104211141024-34.267660925964414j),(311.74488799582116-84.15085436718073j),(-669.0831113189174+114.2778764252871j)
(54.87298033013636-60.57033816051671j),(-28.091334930683843-46.313713004841254j),(-216.02128952465512+54.24888977467698j),(1051.8644542059615+138.37447139857431j)
(-69.30338469815152-35.013838308656865j),(-18.949978186255237-48.066861528105846j),(8.400204888230405+75.67767565515686j),(281.47539342789287-391.79273576365154j)
(-29.301709296374057-7.38595695910287j),(-25.841483690735913-63.90214190590595j),(46.324958722086194-175.3999394012913j),(58.36782478975397+333.36152132643144j)
(44.340236310606514-68.17991132413354j),(-18.99301109215162-67.14768650327761j),(-121.12316433875287-89.89158439304366j),(663.7633942591972-68.8757750051069j)
(-71.54481845303648-72.68958247229438j),(-9.01441354442457-70.9697917456934j),(347.34160843740005+257.8705600480211j),(-629.6216098464108-1033.5927677933723j)
(-16.972555728221167-111.4823208213381j),(-11.841254169383632-74.2290714642888j),(-84.13737505179154+601.009096648354j),(901.3369030675855-2176.344397537525j)
(42.32494804135273-104.05184090024443j),(-21.61377518286905-139.56311084985907j),(407.1235041816818-622.9330827414174j),(-2151.618241710137+2585.039498590738j)
(-13.739848639603977-177.0108074115609j),(-15.008864594619624-212.66540958074256j),(186.79398611186338-225.199499605265j),(-634.1293967557731+844.9941433604961j)
(-24.583363534883937-575.1420123514691j),(-11.142132880597277-659.8685439911831j),(394.230944045211+84.34515516780678j),(-1282.0534710730435-167.34523439642032j)
(-24.583363534883937+575.1420123514691j),(-11.142132880597277+659.8685439911831j),(394.230944045211-84.34515516780678j),(-1282.0534710730435+167.34523439642032j)
(-13.739848639603977+177.0108074115609j),(-15.008864594619624+212.66540958074256j),(186.79398611186338+225.199499605265j),(-634.1293967557731-844.9941433604961j)
(42.32494804135273+104.05184090024443j),(-21.61377518286905+139.56311084985907j),(407.1235041816818+622.9330827414174j),(-2151.618241710137-2585.039498590738j)
(-16.972555728221167+111.4823208213381j),(-11.841254169383632+74.2290714642888j),(-84.13737505179154-601.009096648354j),(901.3369030675855+2176.344397537525j)
(-71.54481845303648+72.68958247229438j),(-9.01441354442457+70.9697917456934j),(347.34160843740005-257.8705600480211j),(-629.6216098464108+1033.5927677933723j)
(44.340236310606514+68.17991132413354j),(-18.99301109215162+67.14768650327761j),(-121.12316433875287+89.89158439304366j),(663.7633942591972+68.8757750051069j)
(-29.301709296374057+7.38595695910287j),(-25.841483690735913+63.90214190590595j),(46.324958722086194+175.3999394012913j),(58.36782478975397-333.36152132643144j)
(-69.30338469815152+35.013838308656865j),(-18.949978186255237+48.066861528105846j),(8.400204888230405-75.67767565515686j),(281.47539342789287+391.79273576365154j)
(54.87298033013636+60.57033816051671j),(-28.091334930683843+46.313713004841254j),(-216.02128952465512-54.24888977467698j),(1051.8644542059615-138.37447139857431j)
(-46.12660692865484+3.4594703876872543j),(-21.450104211141024+34.267660925964414j),(311.74488799582116+84.15085436718073j),(-669.0831113189174-114.2778764252871j)
(-10.275201945316141-6.560026000550199j),(-16.32750195304311+34.02465776029849j),(178.69338903962478+572.5033403829791j),(-238.39119337865725-1790.401858689424j)
(-4.867361064107428+28.773652157669225j),(-11.301016979234106+25.11598638353206j),(85.01836194136206-286.8312624839894j),(-400.8739017656362+1188.5220402868122j)
(-21.94469581003426+65.97786530368343j),(-4.686064447217234+15.114755107445728j),(32.36968974918193-123.33782895008693j),(128.7990443844335+527.7868758664149j)
(-6.006363109915412+3.6676728861024532j),(-7.621610175785264+31.85903426490785j),(238.02103341779116+41.23023761758694j),(-665.1615050723041+286.66817940628437j)
(-53.26514991358093+25.273467912143854j),(-10.723116596740454+14.451968343408936j),(320.36465020597143-115.97398488048654j),(-737.2923666555226+704.7344105433654j)
(-32.692725930876406+12.09906845356224j),(-16.646964778259274+14.529084519297658j),(266.30669811627627+124.15660355454604j),(-894.1857622084801-182.33049151329158j)
