(15494+0j),(18187+0j),(31501+0j),(33459+0j)
(-12.240938811152432+22.009388011338697j),(-18.258397207496046+13.09850083386841j),(21.504607367311337-10.32203173972358j),(0.7436272167592506-24.360124462073514j)
(2.073014519169007+2.2235496782960293j),(-28.747185575851425+21.80789959237354j),(12.589333223153622-0.5475045401135012j),(-1.9195557745195915-8.284115073160214j)
(-23.027912468824084-2.2611261946949446j),(-5.537974228228146+23.323939793024053j),(14.445247989058801-8.366404687164625j),(8.908432544177355-3.4381817433382045j)
(-9.698898595688462-5.446113741998213j),(5.507257834426532+6.085716842386708j),(10.942643559139091-21.389517431755042j),(1.3814562887455644+8.532915913618906j)
(-14.827353456711862+0.8720612481772951j),(-2.0962623110759537-6.374991918474834j),(2.041885113874188-19.153952322062093j),(-10.40717583792355-7.637302743491116j)
(-12.47487462066863+1.9405356657205122j),(-12.537506381841128-15.434034913921383j),(11.085825293622367-23.23121768712538j),(8.01378421316018-14.796102704232563j)
(-5.952242679794933+14.160294078973632j),(-43.857146929875476-20.389810130032703j),(-18.367734102474866-16.851365804680775j),(5.363024168438362+8.510499826244791j)
(736.0000000000001+7.105427357601002e-15j),(889-1.7985612998927536e-14j),(1385.0000000000002+2.3092638912203256e-14j),(1535.0000000000002+5.329070518200751e-15j)
(-5.9522426797949315-14.160294078973632j),(-43.857146929875476+20.389810130032707j),(-18.367734102474863+16.85136580468078j),(5.363024168438363-8.510499826244791j)
(-12.474874620668627-1.9405356657205033j),(-12.53750638184117+15.434034913921398j),(11.085825293622374+23.231217687125387j),(8.013784213160205+14.796102704232554j)
(-14.827353456711862-0.8720612481772942j),(-2.0962623110759555+6.37499191847483j),(2.041885113874189+19.153952322062096j),(-10.407175837923548+7.637302743491116j)
(-9.69889859568848+5.446113741998213j),(5.507257834426516-6.085716842386699j),(10.942643559139057+21.389517431755067j),(1.3814562887455324-8.532915913618893j)
(-23.027912468824084+2.2611261946949437j),(-5.537974228228147-23.32393979302405j),(14.445247989058803+8.366404687164623j),(8.908432544177355+3.438181743338206j)
(2.073014519169018-2.2235496782960458j),(-28.747185575851418-21.80789959237355j),(12.589333223153629+0.547504540113481j),(-1.9195557745195844+8.284115073160194j)
(-12.240938811152432-22.009388011338697j),(-18.258397207496046-13.09850083386841j),(21.504607367311337+10.32203173972358j),(0.7436272167592506+24.360124462073514j)
(4.266188756004897+14.657305785170815j),(-9.20125347603849+6.163409393553958j),(2.482463056840489+3.06324054927057j),(9.205616568690559+2.988339825611287j)
(-10.954456157135532-13.85032637048894j),(5.950074635371653+11.323802139783377j),(26.838177919266123+6.48665330091032j),(1.2092090154294004-4.8237303849676865j)
(30.248557347135673+4.953029920599372j),(14.447939144589956-10.982677977007095j),(13.799082669732007-7.541106023933988j),(-21.581993450967673-8.275765243613824j)
(-7.701736621998083-5.212613121543388j),(30.714036624507862-20.89364225149814j),(12.838690874543563-17.995177395989156j),(4.313879524994021+18.480846371261848j)
(2.6848041516086534-21.687604570720147j),(15.138217874590216-34.96223879012747j),(-4.868097035276767-17.816181961738074j),(-1.2247674245285882-0.2660489652503992j)
(15.652754756401423+10.611368766322926j),(-6.478925120994887-13.021063439779407j),(-13.293254849893003-25.53928245909583j),(-3.2413138965118806+8.31595556409063j)
(1.070023622325266-1.142596143433889j),(-7.331477717278801-2.243576016788113j),(3.163677943208995-10.752544324838661j),(7.135866886489794-13.352937667167238j)
(47.80653832814805+11.061587392063466j),(6.0097349701486+6.962136216825813j),(-21.09363279950118-0.5959730993176393j),(-11.990617076153113+13.642802028742073j)
