(7610+0j),(9245+0j),(17850+0j),(19413+0j)
(50.237102823387865-144.67041154526436j),(77.95322947809521-156.09466290951758j),(3.619979000196265-16.336384990353615j),(14.215339933205732+24.566583637662433j)
(117.5492259477389-86.10383105335504j),(109.72073352262106-58.4969398634262j),(10.097663823497506+14.056559004895416j),(-12.959420346589432+4.218029821665571j)
(-17.124847935964194+14.038180352303407j),(-49.388205366632896+1.8767840677004344j),(-3.6134980360508244-8.949689992014925j),(-3.085400560835473-6.743728592265769j)
(-38.47511360970335-39.66676238120703j),(-31.57937487466426-31.10412873192071j),(-21.20939763171612+10.930848241424549j),(-7.31390844776649-10.396909131849272j)
(-0.7583302491977015+25.758330249197698j),(-8.045517328095656+41.75833024919771j),(28.03589838486224+13.866025403784441j),(17.437822173508927-9.026279441628827j)
(-49.75986671312231-16.960015603904807j),(-21.916407864998746-13.849575917288618j),(-17.107390870623817-10.355620552974699j),(-2.236067977499829-4.253254041760215j)
(49.85819480916328-33.958703253878525j),(49.303496005151445-13.870857791296286j),(5.311198216662009+13.900387830849535j),(-14.725856738819392+8.630131482364517j)
(-19.92125587414162-6.481008086038777j),(-16.894470281010314+19.54811157457538j),(-8.913176198664416-9.948278289347757j),(-1.0801411751499352-8.49253103175008j)
(-14.11158057531945-42.86574548816354j),(31.3491568655105-30.609520585585532j),(-12.713423446914113+1.8004338659827628j),(-11.188056911159165+6.685095954079375j)
(50.99999999999997+12.124355652982151j),(27.999999999999986+1.7320508075688679j),(26.49999999999997-7.794228634059962j),(-9.000000000000005-12.124355652982162j)
(10.820818332597344-19.277630874539987j),(47.22835184691063-26.629212993599644j),(-14.198178628711037-18.011016241276764j),(6.445118026608458+8.175198145418152j)
(30.023798735622222-22.580597989098834j),(36.04101966249709+3.2694413760241225j),(-0.9549150281245602+16.53123204102029j),(-2.5278640450005696-3.526711513754839j)
(-21.26297283887748+29.466114436069994j),(-27.350361735733348+3.5724051910999766j),(1.3426287246831246-12.688686589699714j),(10.387167273609816+3.1171662025223643j)
(-3.1453566147767837-11.850283455407371j),(-13.591896215320734-1.855748494025226j),(-10.615737744407737-11.293074311584492j),(-0.7356428588648036-12.80367594985685j)
