(20915+1.1013412404281553e-12j),(24288+9.023892744153272e-13j),(33609+1.8260948309034575e-12j),(34862+1.9468870959826745e-12j)
(-30.603718280471746-7.151500046287783j),(7.653987172208994+5.486499163562536j),(-36.03100131924452-53.94925353688274j),(-20.55330759401798-12.03508087087678j)
(-10.117849963104238-18.399802738589102j),(7.557325248166351+14.112698284632126j),(-7.692117424706499-54.61094744675485j),(-25.593716102167036-55.414742085828735j)
(30.403138596116097-24.855601072758063j),(-9.760154233514218-0.2989792054331899j),(-8.456853897388438-61.19075969646775j),(-11.69657574759832-38.547096113293506j)
(24.112450723344608-0.6276069095640837j),(-2.8367755756219593+17.74480433025436j),(-23.692060811049508-59.71911314256796j),(-14.95439675274983-73.53920512364333j)
(16.398023695768828-8.768472050709208j),(-12.621405451541984-18.67781183792865j),(-43.70622701816422-92.14601975283331j),(-26.378076907730094-86.67261332581711j)
(-19.186718652509718-34.797950144109684j),(-0.4048023812328525-23.164724506392044j),(-9.676656517530667-86.0895362161888j),(-1.4090350206614843-104.73108944384488j)
(9.921991168483608-51.54659538828282j),(4.874068232278578-67.10737952211842j),(-3.4046495961990617-95.35107148129407j),(-6.030108822309583-95.07007524871479j)
(-25.867745024392285-63.50761193796815j),(-0.3740402494749997-31.77046571569585j),(-32.83746228675184-89.8443814586169j),(5.669968593067928-111.19507586553536j)
(8.169032167786659-44.853714762732935j),(46.12387676548295-51.196093120160796j),(-42.83021794433014-148.52823677916214j),(-19.970793896758693-179.7576569108364j)
(3.796705254638468-80.0241146077679j),(-7.114199785157346-66.89859900220654j),(15.123917224394333-183.01972763740767j),(3.42119097608969-208.0889519690195j)
(13.94238480569453-79.84187518211546j),(-8.234867948925505-58.40607242859002j),(-8.523938870881182-327.99426259467384j),(-14.579989854510956-379.2784175078917j)
(-8.330127323622094-340.944282338069j),(-33.04838291236116-272.8821025076265j),(-15.10047866258435-921.6324935536082j),(-15.321421955093797-1048.7259244187092j)
(-8.330127323621582+340.9442823380694j),(-33.04838291236098+272.882102507627j),(-15.1004786625831+921.6324935536079j),(-15.321421955091296+1048.72592441871j)
(13.942384805694438+79.84187518211576j),(-8.234867948925128+58.406072428590136j),(-8.523938870879363+327.99426259467367j),(-14.57998985451087+379.27841750789173j)
(3.796705254639761+80.02411460776747j),(-7.11419978515643+66.89859900220677j),(15.123917224396862+183.01972763740662j),(3.42119097608834+208.08895196901943j)
