(6416+2.353672812205332e-13j),(12583+1.5631940186722204e-13j),(55837+9.094947017729282e-13j),(58859+8.526512829121202e-13j)
(287.61686586940397-33.97163452687759j),(422.5854545027907-36.042755067274314j),(51.8513900859238+105.15568582428337j),(181.2820641001185+285.8359042624878j)
(-3.3147827077226246+87.95146338097815j),(11.625818261794999+92.98019660356958j),(43.46317287684379+2.6258313824878323j),(143.31121293382486-142.5880421320849j)
(-40.18537136053881+86.70395096976283j),(-77.04684035013041+112.059595245491j),(38.08855665607915-89.19003098796453j),(-164.5175969825189-194.67537654024065j)
(38.68359038777279-81.92896073420775j),(13.924699427247948-64.77650942782807j),(-61.00450977148921+4.654921395129779j),(-318.5968927075653+451.02707531778447j)
(25.936001414179557+19.021653579106854j),(53.82810219328037-38.28440887669493j),(89.87821261840833+20.95620385284394j),(237.9227948960803-110.56037533470224j)
(50.792996087277096+19.492633396664804j),(111.71321468950698+81.13476810678247j),(-39.61386008049824+22.711395552496526j),(-209.03012154938986-83.02472098160234j)
(20.61460721130614+22.87667925175441j),(-33.040098477301335+60.290256479916735j),(43.071707671553476-7.316177520750861j),(-100.35233307200598+188.6491436772413j)
(-14.944085326777945+59.800494105547926j),(-20.672923143800922-3.043393406444676j),(19.297435318515546+21.371634484151038j),(184.83266475727856+336.6139190801677j)
(32.76140003519705-13.25012333061916j),(27.58096276162173-12.64104597068261j),(132.31031558188616-184.9679424059206j),(-327.4733319007346-5.843316572432599j)
(31.382586396451238-4.782362619358953j),(29.023527213077706+25.794789416748465j),(-181.41293316265688+86.1526986123337j),(-88.7500356641233-202.83244488314972j)
(39.86270979428777+20.340309191328238j),(102.12894245209651+41.47352387045119j),(15.243254574567466+119.23656996485761j),(272.8718815204687-120.43455900899633j)
(28.29391305084731+36.06535261901868j),(11.943893985969286+24.410642482343526j),(70.8879400128143+102.50221268226217j),(206.72024947583475-417.0705095548551j)
(3.749421995695156+2.767218491050013j),(7.318382874488599+42.808322929790485j),(52.457129706122515-48.21428592491045j),(-421.47282685124856-896.6898017784479j)
(5.640231114547532+6.413487652119141j),(-6.267554523942205-28.657308885047453j),(-193.8218312539211-28.51288890436699j),(291.1613098894636+802.2967476163711j)
(87.16510446976108+8.906463448506905j),(61.94151758643065+8.059059031639514j),(52.995946756452255-14.673423482428905j),(158.3709358933158+70.31777028799303j)
(10.521798632904963+1.5277152204006987j),(89.19014636476697+46.847480392502455j),(46.93324242164561+9.506516998033387j),(-114.44601142607006+31.402521522668415j)
(-8.297887639578569+56.67328130889779j),(34.29077940854154+44.42533187202136j),(-27.31204741833886-86.71404826799903j),(-193.89806521417927+151.60848150772233j)
(7.88932152137335-5.604622299690928j),(-1.777479462696208+20.468898035836297j),(-37.0570052000025+97.82858475700564j),(652.6595530972346+62.84490246405932j)
(0.2436718825752764-12.65598338999432j),(31.726279595424252-27.458868875747022j),(-33.91341632434167-266.85456012160665j),(289.29359095133964+449.7343800400946j)
(7.4635331504697655+12.051498946866786j),(39.698736788201906+13.056762593193653j),(-142.1009402520588-14.46194682405288j),(189.81700520657222+428.3021773296091j)
(52.52853816125946-6.75068149945503j),(58.121704454131844+54.559170012108694j),(-83.8395358315377+29.0386497401667j),(583.6915495478511+378.44719905593684j)
(-25.27255590358729+18.154225154795732j),(27.817629817478377+30.162780855492862j),(-19.668351968489148+25.278905320875534j),(1091.1876845813326-33.86345686754237j)
(26.177775628688078+28.679534827499683j),(24.140328304802146+3.162168524419247j),(1332.4851601154191+149.0987968889533j),(-7901.483722879309-1904.2550338783608j)
(24.960968534020257-19.648588234150672j),(-20.534545923097664-65.36896237951652j),(28.586384964848392+143.12138761537915j),(-611.3623883182995-107.46673684894958j)
(29.700636823286555-26.81456738676241j),(27.656938354762556+36.30078483104565j),(111.60214529790807+66.27713892104751j),(-322.2029669633479-178.33706819994572j)
(-4.12288188443485+35.30276651941684j),(67.66232266158035+14.005046412498466j),(202.25935932952734-7.559150609422133j),(-471.6706262798083-110.40873284330993j)
(27.36442454585874+12.015493951225944j),(13.11315424131273+40.62249561358305j),(57.384464198954234-206.08384398946316j),(-968.1848006089836+750.1479488338041j)
(-20.174383718628047+15.218792782793976j),(3.1049167876949384-10.265494966186296j),(195.97311279082226+143.79914179528012j),(-511.4817891310013-234.73925323474046j)
(6.149235641633564+17.423581653279662j),(28.871415923064966-24.164817921873478j),(38.24410651380502-98.46493630104878j),(-372.87112002636275+67.87859580414477j)
(38.213775908161196-17.374410177210954j),(10.8487907656116+13.982590174472385j),(29.953659474325658-71.0145740525928j),(-302.1665497889654+389.8510672167095j)
(14.43791076301152+47.77968195124708j),(37.87196693380227+28.72549242937543j),(-27.116602960203544-8.955629083210852j),(-210.69287962558369+742.9039736199952j)
(-33.07837510586098+40.599011349273525j),(-2.1732465346222423+40.691766624660104j),(590.4103281945672-281.8355401831961j),(-2072.0494933254563+1455.9350628704678j)
(37.79011576610394-3.5003710499101395j),(15.44424209697397+42.161691029998806j),(-299.57051060639515-0.07763296134461939j),(776.6730702029832-835.8251622631485j)
(-18.63708831997552+18.314905412718833j),(-4.484700117152995-0.12793451480033302j),(-142.04927768878298+194.5039735142175j),(472.2436103282287-557.2265031058148j)
(2.279866034185445+9.17891527908624j),(-1.6015591706423757+8.826658124585617j),(-40.36231019982283+258.34005067963926j),(347.62310375703726-730.0080119778804j)
(0.7888081014489476-0.3736297135682536j),(39.22082119998788+18.445161221127023j),(191.01266963280017+179.74929326143044j),(-113.83337572504456-1601.163654859135j)
(13.03604944210173+49.52205990322272j),(4.3237033504421145+111.27675288140728j),(-262.69492929614375-165.83964190450098j),(477.76404040634793+705.909697000192j)
(-37.424102719706+39.303666915524175j),(-9.564460770199757+18.467299510128715j),(80.43000251703428+31.379227505895898j),(-86.61385093988059+151.06457254879126j)
(61.900089976526665+18.139602287066367j),(15.415760201720918+32.718145615445245j),(22.11913953475914-3.6599500382490042j),(-228.4231559567562+49.41435501529734j)
(-20.660274904637692+28.910730632924803j),(36.02139607985198+53.12486809671085j),(42.751675981315564-84.92071232066738j),(-211.37838850215113+32.165338242501534j)
(-2.604192258621193+76.74044591972796j),(29.058041287901876+94.8431309674022j),(-168.10609313434747+193.6080681357421j),(646.6069532681054-215.7475766095166j)
(15.582528774329603+42.74510713628413j),(-54.28059404500229+69.32804083136851j),(122.86846164105339-328.4837633249416j),(337.663739926466+1380.6035604553056j)
(-20.701711235135598+58.76965585822749j),(57.508112801992866+83.65271529800157j),(-161.76595417792686-204.225131209208j),(383.07987147797155+700.8243563933189j)
(14.85558093072319+43.86740368879212j),(18.91061966277203+105.73516418361699j),(-205.1710418767637-82.25966061462599j),(676.6722754232827+628.8237221761502j)
(54.753486573048164+64.84664999026039j),(18.235713240284007+147.04479297721156j),(-188.50443829782694+84.67676082596287j),(1375.8464080074655+597.6572881535135j)
(-20.351703820737583+112.2339632444378j),(60.60679367804448+75.88055776814893j),(1056.780595365592+247.3615817252653j),(-4992.6017089464785-2426.7956380425567j)
(-6.136700502652516+133.3903040728929j),(-34.224775015614725+201.47916198118293j),(-1.8778103110178535+93.03414047494431j),(-661.2130804658696-644.9402510500138j)
