(23126-2.4513724383723456e-13j),(27079-9.627854069549358e-13j),(40173-2.5579538487363607e-13j),(42339-5.613287612504791e-13j)
(-22.330427867303037-9.110606735713171j),(7.163684664894235-2.6820034872461513j),(-44.01589968301366+60.07160733942392j),(-37.46830827314172-27.6566552298422j)
(-4.615544028764218-16.03758872118488j),(18.026279797840015+18.82595917785658j),(-73.6367234642241-85.95687184522485j),(-6.707416326812698-23.848286073169028j)
(-31.592822022870294-36.63637933616879j),(11.25265452177771+29.71114158755794j),(50.69504681519605+7.512505797502149j),(6.872013001488398-19.531986205167954j)
(-1.0824315635685569-20.764713578181112j),(29.888299849173805+20.320100115434094j),(-107.20077585629495-22.504369867790047j),(-3.2765648678231827-19.242248923916684j)
(-17.728140641499962-17.662772092316352j),(20.679485079801804-0.06510722269833824j),(40.818870125195886-84.99633702852725j),(15.038695112454388-63.40768890244591j)
(-1.1688048744624284-5.872022225144379j),(-13.245685757105932+21.042435621350474j),(3.480313293503233+19.29686192762589j),(-9.317689333188213-18.937532221867396j)
(-13.797365815620354-40.91009881835623j),(-19.72257641925071-10.588612587039341j),(-81.40733136831057-95.22828776921453j),(-11.063070361486208-29.631641976563035j)
(11.276255260467618+15.245493473401368j),(-19.334965250554095+13.11270372513323j),(64.6334945740764-44.503893481926106j),(-7.166555453493795-27.988370308966626j)
(2.696546555480568-0.3354073711844934j),(-36.95470398427052-39.67611842052711j),(-73.522834045135-6.971256797657134j),(-39.65948368557099-22.81900010057597j)
(-15.586491944645456+11.31468382801373j),(-31.523890499534904-45.050096634848664j),(-8.027823472630004-123.98846087240729j),(-29.622413566723576-55.62637692594729j)
(13.256406219630652+20.85793225225784j),(-5.160560698556353-54.27126843039029j),(-9.581748997282663+57.016290589022105j),(-40.298502956838-40.57603985535482j)
(3.38713152700984+28.2043400455384j),(1.4374905327085106-19.462114060006915j),(-84.81956502613188-65.48164422141839j),(-19.07389040191322-32.53292306214424j)
(7.330485549929987+32.27867407914922j),(25.236440943740416-28.806279389736968j),(42.01817836404496+8.95186521885962j),(-19.118736890948952-39.89112258931037j)
(-37.208965898100224+25.006032005056436j),(47.025793772504784-27.27388501586128j),(-67.87104347737487+9.146509676947966j),(-33.4068284022954-43.29427726359303j)
(-7.84596032784804+6.9468812224715615j),(49.47066590455892-37.015789166783j),(-34.26681162682509-99.92637357962113j),(-23.48850167828988-39.9094644344915j)
(-8.089317873907788-6.249209873551527j),(-0.3653740432903691-3.0153630061229624j),(22.33327602367542+34.54508764995844j),(-12.212835390722715-52.28040390834112j)
(8.088728642860758-22.672109528713815j),(19.138745299029782+19.39196406288655j),(-77.39484722328086-79.41200471830625j),(-20.437546547570125-44.3960233387431j)
(-2.476257162469601-26.934779875484416j),(-3.409566135213531+55.57406584448117j),(97.08495165254399-73.78972004228581j),(-0.4739871528900359-60.5318298484403j)
(4.302955649973741-32.72637365293113j),(10.535579425680645+39.39341416007824j),(-67.62160556583528+13.965483819047641j),(-10.427698578375683-74.93730308745124j)
(17.3769161297847-46.89504334219099j),(-32.47100204300618+30.82277916506591j),(2.61979061013961-146.84916812360248j),(-27.177368725244186-102.28871141077936j)
(29.40699156985533-38.46340158877728j),(-25.32784909229964-3.7265827851573725j),(55.58124484280721-37.79584320780348j),(-14.811400783881012-72.21348523815551j)
(-2.4511697975161972-55.68838140131987j),(-37.57224480411182-31.134124076252142j),(-61.39461434931055-119.90251944955708j),(-35.91910498090003-90.10456677215977j)
(30.897286834220516-47.434300150987205j),(-14.487330477760395-22.62975329218463j),(99.28026503880314-153.89508154853826j),(-14.73078021956809-123.89237457858214j)
(5.211261278169477-35.60361800631659j),(-29.48506818623925-53.39732354488578j),(-53.79595944152104-77.98460196847252j),(-6.406171794957874-108.58866710893732j)
(2.1282456109851413-42.53325627346033j),(-6.217759610169555-75.79206921879764j),(-37.301849547789544-231.11087876022194j),(-20.012929154398122-165.9808548636236j)
(-8.152257015093948-66.92845797259935j),(-12.247826097945321-98.81842233086132j),(44.58795529445527-140.57782773713598j),(-18.018580688931493-211.2789901676938j)
(-19.55404828714619-68.64502292293781j),(-7.510545308443664-62.68964503420759j),(-96.51157244578647-278.3475647931559j),(-2.568652022890177-277.20514856342396j)
(-43.70449885707365-160.8259587059033j),(50.6807949156624-75.74464940966119j),(7.083745081020368-476.57580367198943j),(-4.634380799564639-492.136462604013j)
(-28.273072458548512-425.6920738028726j),(57.66250239129434-244.83477239107776j),(-62.58961668863151-1219.952302303212j),(-30.23590508079178-1438.0552020085272j)
(-28.273072458548825+425.6920738028719j),(57.66250239129391+244.83477239107629j),(-62.58961668863185+1219.9523023032098j),(-30.235905080791895+1438.0552020085247j)
(-43.70449885707465+160.82595870590458j),(50.680794915661444+75.74464940966168j),(7.083745081017469+476.5758036719882j),(-4.634380799565889+492.1364626040142j)
(-19.55404828714616+68.64502292293761j),(-7.5105453084443035+62.68964503420821j),(-96.51157244578528+278.3475647931567j),(-2.5686520228903476+277.2051485634244j)
(-8.152257015093824+66.92845797259892j),(-12.247826097946529+98.81842233086184j),(44.58795529445688+140.5778277371361j),(-18.018580688931664+211.27899016769464j)
(2.12824561098488+42.533256273459884j),(-6.217759610169125+75.79206921879697j),(-37.301849547790056+231.11087876022057j),(-20.012929154398396+165.98085486362297j)
(5.21126127816969+35.60361800631678j),(-29.48506818623915+53.397323544885495j),(-53.79595944151991+77.98460196847292j),(-6.406171794958416+108.58866710893781j)
(30.897286834220672+47.43430015098812j),(-14.487330477760494+22.629753292186614j),(99.2802650388041+153.8950815485391j),(-14.730780219569752+123.8923745785871j)
(-2.451169797516126+55.688381401319354j),(-37.57224480411197+31.134124076252508j),(-61.394614349310224+119.90251944955781j),(-35.91910498090046+90.10456677215981j)
(29.4069915698543+38.46340158877747j),(-25.32784909229955+3.7265827851582927j),(55.58124484280703+37.79584320780457j),(-14.811400783881705+72.21348523815621j)
(17.376916129784874+46.895043342189936j),(-32.4710020430061-30.822779165066336j),(2.6197906101399298+146.8491681236008j),(-27.177368725243497+102.28871141077711j)
(4.302955649972878+32.72637365292988j),(10.535579425680332-39.393414160079445j),(-67.62160556583315-13.96548381904792j),(-10.42769857837683+74.93730308745059j)
(-2.4762571624699987+26.934779875483706j),(-3.40956613521341-55.57406584448198j),(97.08495165254386+73.78972004228623j),(-0.4739871528903592+60.53182984844004j)
(8.088728642861131+22.67210952871357j),(19.138745299030468-19.391964062887393j),(-77.39484722328069+79.41200471830562j),(-20.437546547568722+44.39602333874226j)
(-8.089317873906706+6.249209873551996j),(-0.3653740432898148+3.0153630061222696j),(22.33327602367678-34.54508764995788j),(-12.212835390722057+52.28040390834053j)
(-7.8459603278467185-6.946881222470633j),(49.47066590455985+37.01578916678293j),(-34.266811626822545+99.92637357962218j),(-23.48850167828841+39.90946443449244j)
(-37.20896589809843-25.006032005056174j),(47.0257937725059+27.273885015861904j),(-67.87104347737365-9.146509676945739j),(-33.40682840229573+43.2942772635932j)
(7.330485549929447-32.27867407914939j),(25.236440943740043+28.80627938973569j),(42.01817836404423-8.951865218860302j),(-19.118736890949528+39.891122589307834j)
(3.3871315270095375-28.204340045538054j),(1.4374905327082264+19.462114060006986j),(-84.81956502613212+65.48164422141942j),(-19.073890401914255+32.53292306214531j)
(13.256406219630751-20.857932252257235j),(-5.160560698556051+54.271268430390535j),(-9.581748997282844-57.016290589021466j),(-40.29850295683794+40.5760398553554j)
(-15.58649194464644-11.314683828013544j),(-31.523890499535657+45.05009663484968j),(-8.02782347263082+123.98846087240868j),(-29.622413566723484+55.626376925946346j)
(2.69654655548006+0.33540737118458497j),(-36.954703984270665+39.67611842052652j),(-73.52283404513553+6.971256797656128j),(-39.65948368557084+22.81900010057506j)
(11.276255260468009-15.245493473400646j),(-19.334965250553147-13.112703725133674j),(64.63349457407809+44.503893481926305j),(-7.166555453493071+27.988370308967028j)
(-13.797365815620335+40.910098818356644j),(-19.722576419249673+10.588612587040092j),(-81.4073313683098+95.22828776921538j),(-11.063070361486464+29.631641976565252j)
