(18722-1.3500311979441904e-13j),(21262+1.4921397450962104e-13j),(34587+2.5579538487363607e-13j),(36596+1.1084466677857563e-12j)
(-66.57208270512501+14.490082630725896j),(-105.4448713159701-2.5327073991515516j),(28.793161049032467-87.70424131631441j),(54.44798783505485-117.29584647351746j)
(8.24185754691576+5.984061167833436j),(-24.813216717429945-5.216684641150341j),(-19.4409586241512-49.38455495587337j),(-11.99179082266077-44.71259993222121j)
(5.881100324367566+3.117510274677622j),(-11.379217474602415-5.106825391798164j),(-24.77513652400103-34.28140486319956j),(-15.884780492788929-26.223644821739338j)
(-17.8135162360905-30.948401467549193j),(-15.99220140951409-11.488335820649489j),(-23.34733399373465-22.600036219129112j),(-8.02752719336505-30.24797080536946j)
(1.9048770501221242-12.714194187452783j),(-24.68340849417995-27.78816011261917j),(-24.270393127278183-40.77802305247743j),(-16.47878069669543-20.48900042844302j)
(3.496323008240853-16.257030437938663j),(-16.786269619926884-40.330359381891704j),(-4.3247636341991615-23.35474358136508j),(-5.256844364513807-19.945133621395936j)
(-20.567836586545504-27.965142469073907j),(-40.885745569217306-35.443246719342426j),(-14.95473128798165-11.041217594297873j),(-4.070981134268103+1.392304003888082j)
(-35.1015297240439-15.661692956432509j),(-18.412567545747546-10.730560755174608j),(-11.419202086117588+2.7066406279804043j),(-5.5733502293074055-8.687251770836316j)
(-31.008187532420752-5.744012515524107j),(-27.33609718495839-26.76417773672742j),(-4.331084319658843-16.948159844213915j),(-4.172635245431569-6.991726994863816j)
(-13.480035247726876-9.915969103033687j),(-1.0515157192576854-21.024886036524954j),(7.790020185508356+9.116708431469087j),(-12.063324172166231-0.06440240549456577j)
(-24.91336074418669-19.873167950870286j),(-19.885202004096477-22.492097202961656j),(-38.23829140078625-21.411367548985208j),(-19.325771266888545-0.9317289082958347j)
(-26.481592055615387-2.3430540132080733j),(-29.019381568528-5.1733411596098335j),(-6.433088394944433+1.7277452983311865j),(11.730186602764897-7.538204187274765j)
(-8.604066423332597-2.665203980595382j),(9.430590243561916-22.528641087700002j),(-1.337877277406534+19.376870797379596j),(-18.515812141278964-17.521096606353492j)
(-2.2156491761243933-21.67674802778342j),(-29.809328153303852-6.1091935113131175j),(-18.914779887553294-4.117333017357905j),(-30.550642920729583-21.26721857344959j)
(-13.541719637465839-30.439132676869818j),(-23.02638059670387-41.97688339334245j),(-27.20403424940684-10.454282965115905j),(-11.562104861138687-1.2057385408522423j)
(-18.88941261955105-24.57198260733632j),(-28.326873143337494-19.252710507796106j),(-23.385457189761865-9.543536214543016j),(-22.460311019105756-9.964705074713068j)
