(37738+5.755396159656812e-13j),(44620+9.521272659185342e-13j),(70438+1.3358203432289883e-12j),(74279+9.094947017729282e-13j)
(-437.7569838865263-691.8992614985808j),(-642.319957851977-1039.8425874250493j),(152.39405740234412+468.4312211600882j),(303.7941855127631+652.4184189466046j)
(-193.0136381226397+11.040114407426541j),(-303.8110804518543+35.154007476745605j),(12.909375996575045-57.9680267201613j),(38.94891543526851-52.11665781555237j)
(-375.82196676336787+121.93765427864415j),(-534.1654196597664+129.05820786083015j),(151.42193195626888+67.85769686749111j),(253.82074091722646+0.3211053191769899j)
(-220.92320516430036+147.49167712611472j),(-319.04670482742864+170.0609242243313j),(117.42201831778486-2.413639699320875j),(153.89604283632707-49.716154656680224j)
(-236.29911810726986+216.18368186232362j),(-357.40798110173824+282.7628932134405j),(142.8494544003925-45.9448657922573j),(227.1556449357457-174.07577838050065j)
(-102.17948891562868+245.74188886442414j),(-131.8623393045837+353.5472905529165j),(138.77030123571808-58.317432574514385j),(196.80720390233188-128.89648519070096j)
(-78.22250663566182+248.35845480388457j),(-111.729576256247+350.043182780081j),(115.05813571942568-89.2450271102343j),(179.9132183709941-148.19526748819902j)
(-13.792888026575469+265.1198229665684j),(-16.990691452334232+337.0223508779759j),(116.78963165990886-45.99252019474528j),(133.1228783539888-94.92653308171661j)
(70.4631723600778+129.5363423748242j),(103.47969485503995+202.42280853564336j),(52.395489417883276-89.97623212757318j),(27.248059695237565-144.3668080751654j)
(117.39529566599037+155.82346255981733j),(113.97217485060187+202.32923095702685j),(-10.875980162499218-85.84055466921139j),(0.01141772999048385-121.65607824145553j)
(49.76417997726605+134.21367780727314j),(99.13150840684187+193.7124381978347j),(25.42536348448547-80.81357785110272j),(-17.989211016724774-134.5911266796776j)
(93.634075006623+14.111478900507258j),(167.09661224645467+58.03543073714968j),(-19.56132214167434-98.22546528265487j),(-34.766754331424494-137.7792515121568j)
(78.65210736147046+47.8052387543523j),(103.38919036777173+60.10832595298144j),(-16.586005174453497-64.85496033655158j),(-46.36775632362777-76.57829263460545j)
(57.65292304930177-19.01997100345478j),(102.52425721743515+3.8259076465104798j),(-23.974640053237223-68.82820072162015j),(-32.06431595182136-69.63885052062692j)
(36.97197408203836+1.9560978680681227j),(49.40614192219009+19.33101075228082j),(-19.474973863236514-41.53515756634404j),(-23.030333594376604-20.967671489708565j)
(-24.833734569404072-36.81241624930264j),(-32.575240661770486-61.94093960052444j),(-54.50409554870795-8.53802412087946j),(-30.571539347903386+3.7126471165319197j)
(28.06708436070455-68.38547193616508j),(47.98295094759213-40.019979306744155j),(-32.19240154895991+16.41490904562896j),(-37.88756875539009+29.51107926939864j)
